DATE,BAMLC0A4CBBB
2017-04-27,1.55
2017-04-28,1.55
2017-04-30,1.55
2017-05-01,1.55
2017-05-02,1.54
2017-05-03,1.54
2017-05-04,1.53
2017-05-05,1.53
2017-05-08,1.52
2017-05-09,1.51
2017-05-10,1.5
2017-05-11,1.49
2017-05-12,1.49
2017-05-15,1.48
2017-05-16,1.48
2017-05-17,1.49
2017-05-18,1.5
2017-05-19,1.49
2017-05-22,1.49
2017-05-23,1.48
2017-05-24,1.49
2017-05-25,1.49
2017-05-26,1.48
2017-05-29,1.48
2017-05-30,1.48
2017-05-31,1.51
2017-06-01,1.51
2017-06-02,1.51
2017-06-05,1.5
2017-06-06,1.5
2017-06-07,1.5
2017-06-08,1.5
2017-06-09,1.5
2017-06-12,1.49
2017-06-13,1.49
2017-06-14,1.48
2017-06-15,1.48
2017-06-16,1.49
2017-06-19,1.48
2017-06-20,1.48
2017-06-21,1.49
2017-06-22,1.49
2017-06-23,1.49
2017-06-26,1.49
2017-06-27,1.48
2017-06-28,1.47
2017-06-29,1.46
2017-06-30,1.46
2017-07-03,1.45
2017-07-04,1.45
2017-07-05,1.45
2017-07-06,1.44
2017-07-07,1.43
2017-07-10,1.43
2017-07-11,1.43
2017-07-12,1.43
2017-07-13,1.42
2017-07-14,1.42
2017-07-17,1.41
2017-07-18,1.41
2017-07-19,1.4
2017-07-20,1.4
2017-07-21,1.4
2017-07-24,1.39
2017-07-25,1.38
2017-07-26,1.38
2017-07-27,1.37
2017-07-28,1.37
2017-07-31,1.39
2017-08-01,1.39
2017-08-02,1.39
2017-08-03,1.4
2017-08-04,1.4
2017-08-07,1.41
2017-08-08,1.41
2017-08-09,1.44
2017-08-10,1.46
2017-08-11,1.48
2017-08-14,1.47
2017-08-15,1.46
2017-08-16,1.46
2017-08-17,1.46
2017-08-18,1.47
2017-08-21,1.47
2017-08-22,1.47
2017-08-23,1.47
2017-08-24,1.47
2017-08-25,1.47
2017-08-28,1.47
2017-08-29,1.47
2017-08-30,1.47
2017-08-31,1.48
2017-09-01,1.47
2017-09-04,1.47
2017-09-05,1.48
2017-09-06,1.48
2017-09-07,1.49
2017-09-08,1.49
2017-09-11,1.49
2017-09-12,1.48
2017-09-13,1.47
2017-09-14,1.46
2017-09-15,1.45
2017-09-18,1.43
2017-09-19,1.42
2017-09-20,1.41
2017-09-21,1.41
2017-09-22,1.41
2017-09-25,1.41
2017-09-26,1.40
2017-09-27,1.39
2017-09-28,1.38
2017-09-29,1.36
2017-09-30,1.37
2017-10-02,1.36
2017-10-03,1.35
2017-10-04,1.34
2017-10-05,1.33
2017-10-06,1.33
2017-10-09,1.33
2017-10-10,1.33
2017-10-11,1.33
2017-10-12,1.33
2017-10-13,1.34
2017-10-16,1.33
2017-10-17,1.33
2017-10-18,1.32
2017-10-19,1.32
2017-10-20,1.31
2017-10-23,1.30
2017-10-24,1.29
2017-10-25,1.29
2017-10-26,1.29
2017-10-27,1.29
2017-10-30,1.30
2017-10-31,1.30
2017-11-01,1.31
2017-11-02,1.32
2017-11-03,1.32
2017-11-06,1.33
2017-11-07,1.34
2017-11-08,1.35
2017-11-09,1.36
2017-11-10,1.36
2017-11-13,1.36
2017-11-14,1.37
2017-11-15,1.39
2017-11-16,1.38
2017-11-17,1.37
2017-11-20,1.36
2017-11-21,1.35
2017-11-22,1.35
2017-11-23,1.35
2017-11-24,1.35
2017-11-27,1.34
2017-11-28,1.34
2017-11-29,1.34
2017-11-30,1.32
2017-12-01,1.33
2017-12-04,1.32
2017-12-05,1.32
2017-12-06,1.32
2017-12-07,1.32
2017-12-08,1.32
2017-12-11,1.31
2017-12-12,1.31
2017-12-13,1.31
2017-12-14,1.31
2017-12-15,1.30
2017-12-18,1.30
2017-12-19,1.29
2017-12-20,1.28
2017-12-21,1.28
2017-12-22,1.28
2017-12-25,.
2017-12-26,1.28
2017-12-27,1.28
2017-12-28,1.27
2017-12-29,1.28
2017-12-31,1.28
2018-01-01,.
2018-01-02,1.28
2018-01-03,1.27
2018-01-04,1.27
2018-01-05,1.26
2018-01-08,1.26
2018-01-09,1.24
2018-01-10,1.23
2018-01-11,1.23
2018-01-12,1.22
2018-01-15,1.22
2018-01-16,1.21
2018-01-17,1.21
2018-01-18,1.21
2018-01-19,1.21
2018-01-22,1.21
2018-01-23,1.21
2018-01-24,1.20
2018-01-25,1.20
2018-01-26,1.18
2018-01-29,1.17
2018-01-30,1.17
2018-01-31,1.17
2018-02-01,1.16
2018-02-02,1.15
2018-02-05,1.17
2018-02-06,1.19
2018-02-07,1.18
2018-02-08,1.19
2018-02-09,1.24
2018-02-12,1.24
2018-02-13,1.27
2018-02-14,1.25
2018-02-15,1.24
2018-02-16,1.24
2018-02-19,1.24
2018-02-20,1.24
2018-02-21,1.24
2018-02-22,1.25
2018-02-23,1.26
2018-02-26,1.26
2018-02-27,1.26
2018-02-28,1.28
2018-03-01,1.31
2018-03-02,1.32
2018-03-05,1.31
2018-03-06,1.31
2018-03-07,1.31
2018-03-08,1.32
2018-03-09,1.33
2018-03-12,1.34
2018-03-13,1.35
2018-03-14,1.36
2018-03-15,1.38
2018-03-16,1.37
2018-03-19,1.38
2018-03-20,1.38
2018-03-21,1.39
2018-03-22,1.42
2018-03-23,1.43
2018-03-26,1.44
2018-03-27,1.44
2018-03-28,1.44
2018-03-29,1.44
2018-03-30,.
2018-03-31,1.45
2018-04-02,1.45
2018-04-03,1.45
2018-04-04,1.44
2018-04-05,1.42
2018-04-06,1.42
2018-04-09,1.42
2018-04-10,1.42
2018-04-11,1.41
2018-04-12,1.40
2018-04-13,1.39
2018-04-16,1.39
2018-04-17,1.38
2018-04-18,1.38
2018-04-19,1.39
2018-04-20,1.39
2018-04-23,1.39
2018-04-24,1.39
2018-04-25,1.39
2018-04-26,1.40
2018-04-27,1.41
2018-04-30,1.44
2018-05-01,1.44
2018-05-02,1.45
2018-05-03,1.47
2018-05-04,1.48
2018-05-07,1.48
2018-05-08,1.48
2018-05-09,1.47
2018-05-10,1.46
2018-05-11,1.45
2018-05-14,1.44
2018-05-15,1.44
2018-05-16,1.44
2018-05-17,1.44
2018-05-18,1.45
2018-05-21,1.45
2018-05-22,1.45
2018-05-23,1.46
2018-05-24,1.46
2018-05-25,1.47
2018-05-28,1.47
2018-05-29,1.51
2018-05-30,1.52
2018-05-31,1.54
2018-06-01,1.53
2018-06-04,1.52
2018-06-05,1.52
2018-06-06,1.52
2018-06-07,1.53
2018-06-08,1.54
2018-06-11,1.54
2018-06-12,1.54
2018-06-13,1.53
2018-06-14,1.53
2018-06-15,1.53
2018-06-18,1.55
2018-06-19,1.56
2018-06-20,1.57
2018-06-21,1.59
2018-06-22,1.59
2018-06-25,1.61
2018-06-26,1.61
2018-06-27,1.62
2018-06-28,1.62
2018-06-29,1.62
2018-06-30,1.63
2018-07-02,1.63
2018-07-03,1.63
2018-07-04,1.63
2018-07-05,1.61
2018-07-06,1.61
2018-07-09,1.59
2018-07-10,1.57
2018-07-11,1.57
2018-07-12,1.56
2018-07-13,1.56
2018-07-16,1.54
2018-07-17,1.54
2018-07-18,1.54
2018-07-19,1.54
2018-07-20,1.53
2018-07-23,1.52
2018-07-24,1.50
2018-07-25,1.49
2018-07-26,1.47
2018-07-27,1.46
2018-07-30,1.46
2018-07-31,1.47
2018-08-01,1.46
2018-08-02,1.46
2018-08-03,1.46
2018-08-06,1.46
2018-08-07,1.45
2018-08-08,1.46
2018-08-09,1.47
2018-08-10,1.50
2018-08-13,1.52
2018-08-14,1.51
2018-08-15,1.52
2018-08-16,1.51
2018-08-17,1.50
2018-08-20,1.51
2018-08-21,1.50
2018-08-22,1.51
2018-08-23,1.52
2018-08-24,1.52
2018-08-27,1.51
2018-08-28,1.51
2018-08-29,1.50
2018-08-30,1.52
2018-08-31,1.53
2018-09-03,1.53
2018-09-04,1.53
2018-09-05,1.53
2018-09-06,1.53
2018-09-07,1.52
2018-09-10,1.52
2018-09-11,1.51
2018-09-12,1.50
2018-09-13,1.49
2018-09-14,1.47
2018-09-17,1.47
2018-09-18,1.46
2018-09-19,1.45
2018-09-20,1.44
2018-09-21,1.43
2018-09-24,1.44
2018-09-25,1.43
2018-09-26,1.43
2018-09-27,1.42
2018-09-28,1.41
2018-09-30,1.43
2018-10-01,1.43
2018-10-02,1.43
2018-10-03,1.41
2018-10-04,1.42
2018-10-05,1.43
2018-10-08,1.43
2018-10-09,1.43
2018-10-10,1.43
2018-10-11,1.47
2018-10-12,1.47
2018-10-15,1.46
2018-10-16,1.47
2018-10-17,1.47
2018-10-18,1.48
2018-10-19,1.48
2018-10-22,1.49
2018-10-23,1.52
2018-10-24,1.51
2018-10-25,1.54
2018-10-26,1.56
2018-10-29,1.56
2018-10-30,1.58
2018-10-31,1.58
