DATE,BAMLC0A4CBBBEY
2017-04-27,3.62
2017-04-28,3.61
2017-04-30,3.63
2017-05-01,3.66
2017-05-02,3.62
2017-05-03,3.63
2017-05-04,3.67
2017-05-05,3.66
2017-05-08,3.67
2017-05-09,3.69
2017-05-10,3.69
2017-05-11,3.67
2017-05-12,3.61
2017-05-15,3.6
2017-05-16,3.59
2017-05-17,3.51
2017-05-18,3.53
2017-05-19,3.54
2017-05-22,3.54
2017-05-23,3.56
2017-05-24,3.55
2017-05-25,3.54
2017-05-26,3.53
2017-05-29,3.53
2017-05-30,3.5
2017-05-31,3.53
2017-06-01,3.54
2017-06-02,3.5
2017-06-05,3.51
2017-06-06,3.48
2017-06-07,3.51
2017-06-08,3.52
2017-06-09,3.52
2017-06-12,3.53
2017-06-13,3.53
2017-06-14,3.46
2017-06-15,3.49
2017-06-16,3.48
2017-06-19,3.5
2017-06-20,3.47
2017-06-21,3.48
2017-06-22,3.48
2017-06-23,3.47
2017-06-26,3.46
2017-06-27,3.5
2017-06-28,3.5
2017-06-29,3.53
2017-06-30,3.57
2017-07-03,3.6
2017-07-04,3.6
2017-07-05,3.59
2017-07-06,3.61
2017-07-07,3.62
2017-07-10,3.59
2017-07-11,3.58
2017-07-12,3.54
2017-07-13,3.56
2017-07-14,3.53
2017-07-17,3.51
2017-07-18,3.47
2017-07-19,3.47
2017-07-20,3.46
2017-07-21,3.43
2017-07-24,3.45
2017-07-25,3.5
2017-07-26,3.45
2017-07-27,3.47
2017-07-28,3.45
2017-07-31,3.48
2017-08-01,3.45
2017-08-02,3.46
2017-08-03,3.44
2017-08-04,3.47
2017-08-07,3.47
2017-08-08,3.49
2017-08-09,3.48
2017-08-10,3.48
2017-08-11,3.48
2017-08-14,3.49
2017-08-15,3.52
2017-08-16,3.48
2017-08-17,3.47
2017-08-18,3.47
2017-08-21,3.46
2017-08-22,3.48
2017-08-23,3.45
2017-08-24,3.47
2017-08-25,3.45
2017-08-28,3.44
2017-08-29,3.43
2017-08-30,3.44
2017-08-31,3.44
2017-09-01,3.46
2017-09-04,3.46
2017-09-05,3.39
2017-09-06,3.43
2017-09-07,3.39
2017-09-08,3.4
2017-09-11,3.45
2017-09-12,3.47
2017-09-13,3.48
2017-09-14,3.47
2017-09-15,3.47
2017-09-18,3.48
2017-09-19,3.48
2017-09-20,3.5
2017-09-21,3.5
2017-09-22,3.49
2017-09-25,3.46
2017-09-26,3.46
2017-09-27,3.51
2017-09-28,3.49
2017-09-29,3.49
2017-09-30,3.51
2017-10-02,3.51
2017-10-03,3.49
2017-10-04,3.49
2017-10-05,3.50
2017-10-06,3.51
2017-10-09,3.51
2017-10-10,3.49
2017-10-11,3.49
2017-10-12,3.48
2017-10-13,3.45
2017-10-16,3.47
2017-10-17,3.47
2017-10-18,3.49
2017-10-19,3.48
2017-10-20,3.52
2017-10-23,3.50
2017-10-24,3.51
2017-10-25,3.54
2017-10-26,3.55
2017-10-27,3.53
2017-10-30,3.49
2017-10-31,3.51
2017-11-01,3.52
2017-11-02,3.51
2017-11-03,3.51
2017-11-06,3.50
2017-11-07,3.50
2017-11-08,3.52
2017-11-09,3.54
2017-11-10,3.60
2017-11-13,3.61
2017-11-14,3.60
2017-11-15,3.59
2017-11-16,3.60
2017-11-17,3.59
2017-11-20,3.61
2017-11-21,3.60
2017-11-22,3.56
2017-11-23,3.56
2017-11-24,3.57
2017-11-27,3.55
2017-11-28,3.56
2017-11-29,3.59
2017-11-30,3.62
2017-12-01,3.58
2017-12-04,3.60
2017-12-05,3.58
2017-12-06,3.56
2017-12-07,3.59
2017-12-08,3.59
2017-12-11,3.60
2017-12-12,3.60
2017-12-13,3.56
2017-12-14,3.55
2017-12-15,3.56
2017-12-18,3.58
2017-12-19,3.63
2017-12-20,3.65
2017-12-21,3.64
2017-12-22,3.64
2017-12-25,.
2017-12-26,3.63
2017-12-27,3.58
2017-12-28,3.59
2017-12-29,3.58
2017-12-31,3.59
2018-01-01,.
2018-01-02,3.63
2018-01-03,3.62
2018-01-04,3.63
2018-01-05,3.64
2018-01-08,3.63
2018-01-09,3.66
2018-01-10,3.66
2018-01-11,3.64
2018-01-12,3.65
2018-01-15,3.65
2018-01-16,3.64
2018-01-17,3.67
2018-01-18,3.69
2018-01-19,3.71
2018-01-22,3.73
2018-01-23,3.70
2018-01-24,3.72
2018-01-25,3.69
2018-01-26,3.71
2018-01-29,3.73
2018-01-30,3.74
2018-01-31,3.76
2018-02-01,3.80
2018-02-02,3.84
2018-02-05,3.80
2018-02-06,3.81
2018-02-07,3.86
2018-02-08,3.88
2018-02-09,3.90
