DATE,BAMLH0A0HYM2EY
2017-04-27,5.65
2017-04-28,5.62
2017-04-30,5.7
2017-05-01,5.7
2017-05-02,5.68
2017-05-03,5.68
2017-05-04,5.75
2017-05-05,5.77
2017-05-08,5.76
2017-05-09,5.73
2017-05-10,5.72
2017-05-11,5.71
2017-05-12,5.69
2017-05-15,5.64
2017-05-16,5.62
2017-05-17,5.65
2017-05-18,5.68
2017-05-19,5.62
2017-05-22,5.58
2017-05-23,5.55
2017-05-24,5.54
2017-05-25,5.52
2017-05-26,5.52
2017-05-29,5.52
2017-05-30,5.5
2017-05-31,5.57
2017-06-01,5.53
2017-06-02,5.49
2017-06-05,5.49
2017-06-06,5.51
2017-06-07,5.54
2017-06-08,5.59
2017-06-09,5.57
2017-06-12,5.56
2017-06-13,5.53
2017-06-14,5.49
2017-06-15,5.54
2017-06-16,5.56
2017-06-19,5.54
2017-06-20,5.59
2017-06-21,5.66
2017-06-22,5.68
2017-06-23,5.66
2017-06-26,5.63
2017-06-27,5.63
2017-06-28,5.63
2017-06-29,5.65
2017-06-30,5.71
2017-07-03,5.7
2017-07-04,5.7
2017-07-05,5.7
2017-07-06,5.77
2017-07-07,5.84
2017-07-10,5.82
2017-07-11,5.82
2017-07-12,5.75
2017-07-13,5.72
2017-07-14,5.65
2017-07-17,5.6
2017-07-18,5.57
2017-07-19,5.52
2017-07-20,5.49
2017-07-21,5.49
2017-07-24,5.51
2017-07-25,5.48
2017-07-26,5.45
2017-07-27,5.46
2017-07-28,5.47
2017-07-31,5.51
2017-08-01,5.47
2017-08-02,5.48
2017-08-03,5.49
2017-08-04,5.51
2017-08-07,5.51
2017-08-08,5.53
2017-08-09,5.67
2017-08-10,5.76
2017-08-11,5.8
2017-08-14,5.72
2017-08-15,5.74
2017-08-16,5.72
2017-08-17,5.74
2017-08-18,5.79
2017-08-21,5.8
2017-08-22,5.76
2017-08-23,5.75
2017-08-24,5.72
2017-08-25,5.69
2017-08-28,5.67
2017-08-29,5.66
2017-08-30,5.63
2017-08-31,5.63
2017-09-01,5.63
2017-09-04,5.63
2017-09-05,5.64
2017-09-06,5.6
2017-09-07,5.6
2017-09-08,5.64
2017-09-11,5.62
2017-09-12,5.62
2017-09-13,5.61
2017-09-14,5.58
2017-09-15,5.58
2017-09-18,5.55
2017-09-19,5.54
2017-09-20,5.52
2017-09-21,5.54
2017-09-22,5.55
2017-09-25,5.53
2017-09-26,5.50
2017-09-27,5.51
2017-09-28,5.50
2017-09-29,5.49
2017-09-30,5.53
2017-10-02,5.53
2017-10-03,5.52
2017-10-04,5.52
2017-10-05,5.51
2017-10-06,5.53
2017-10-09,5.52
2017-10-10,5.51
2017-10-11,5.52
2017-10-12,5.55
2017-10-13,5.55
2017-10-16,5.51
2017-10-17,5.49
2017-10-18,5.48
2017-10-19,5.48
2017-10-20,5.47
2017-10-23,5.43
2017-10-24,5.43
2017-10-25,5.50
2017-10-26,5.50
2017-10-27,5.51
2017-10-30,5.50
2017-10-31,5.56
2017-11-01,5.54
2017-11-02,5.56
2017-11-03,5.56
2017-11-06,5.57
2017-11-07,5.59
2017-11-08,5.70
2017-11-09,5.83
2017-11-10,5.85
2017-11-13,5.87
2017-11-14,5.93
2017-11-15,6.02
2017-11-16,5.87
2017-11-17,5.84
2017-11-20,5.81
2017-11-21,5.78
2017-11-22,5.76
2017-11-23,5.76
2017-11-24,5.76
2017-11-27,5.73
2017-11-28,5.75
2017-11-29,5.74
2017-11-30,5.78
2017-12-01,5.77
2017-12-04,5.74
2017-12-05,5.74
2017-12-06,5.77
2017-12-07,5.79
2017-12-08,5.80
2017-12-11,5.78
2017-12-12,5.77
2017-12-13,5.77
2017-12-14,5.77
2017-12-15,5.79
2017-12-18,5.81
2017-12-19,5.82
2017-12-20,5.83
2017-12-21,5.82
2017-12-22,5.82
2017-12-25,.
2017-12-26,5.82
2017-12-27,5.79
2017-12-28,5.78
2017-12-29,5.78
2017-12-31,5.84
2018-01-01,.
2018-01-02,5.81
2018-01-03,5.73
2018-01-04,5.67
2018-01-05,5.64
2018-01-08,5.64
2018-01-09,5.66
2018-01-10,5.75
2018-01-11,5.72
2018-01-12,5.72
2018-01-15,5.69
2018-01-16,5.69
2018-01-17,5.71
2018-01-18,5.75
2018-01-19,5.77
2018-01-22,5.76
2018-01-23,5.72
2018-01-24,5.71
2018-01-25,5.69
2018-01-26,5.69
2018-01-29,5.74
2018-01-30,5.82
2018-01-31,5.80
2018-02-01,5.85
2018-02-02,5.96
2018-02-05,6.02
2018-02-06,6.12
2018-02-07,6.03
2018-02-08,6.18
2018-02-09,6.36
2018-02-12,6.29
2018-02-13,6.35
2018-02-14,6.33
2018-02-15,6.21
2018-02-16,6.13
2018-02-19,6.13
2018-02-20,6.13
2018-02-21,6.14
2018-02-22,6.19
2018-02-23,6.20
2018-02-26,6.11
2018-02-27,6.13
2018-02-28,6.13
2018-03-01,6.19
2018-03-02,6.29
2018-03-05,6.25
2018-03-06,6.19
2018-03-07,6.22
2018-03-08,6.21
2018-03-09,6.20
2018-03-12,6.20
2018-03-13,6.22
2018-03-14,6.23
2018-03-15,6.24
2018-03-16,6.24
2018-03-19,6.29
2018-03-20,6.30
2018-03-21,6.29
2018-03-22,6.33
2018-03-23,6.36
2018-03-26,6.37
2018-03-27,6.34
2018-03-28,6.36
2018-03-29,6.35
2018-03-30,.
2018-03-31,6.30
2018-04-02,6.33
2018-04-03,6.32
2018-04-04,6.32
2018-04-05,6.24
2018-04-06,6.24
2018-04-09,6.22
2018-04-10,6.15
2018-04-11,6.13
2018-04-12,6.10
2018-04-13,6.05
2018-04-16,6.00
2018-04-17,5.95
2018-04-18,5.96
2018-04-19,6.08
2018-04-20,6.11
2018-04-23,6.16
2018-04-24,6.21
2018-04-25,6.30
2018-04-26,6.23
2018-04-27,6.22
2018-04-30,6.25
2018-05-01,6.29
2018-05-02,6.26
2018-05-03,6.29
2018-05-04,6.27
2018-05-07,6.25
2018-05-08,6.27
2018-05-09,6.27
2018-05-10,6.24
2018-05-11,6.23
2018-05-14,6.21
2018-05-15,6.27
2018-05-16,6.29
2018-05-17,6.28
2018-05-18,6.29
2018-05-21,6.29
2018-05-22,6.28
2018-05-23,6.30
2018-05-24,6.29
2018-05-25,6.29
2018-05-28,6.29
2018-05-29,6.34
2018-05-30,6.31
2018-05-31,6.31
2018-06-01,6.30
2018-06-04,6.28
2018-06-05,6.27
2018-06-06,6.25
2018-06-07,6.22
2018-06-08,6.24
2018-06-11,6.20
2018-06-12,6.19
2018-06-13,6.17
2018-06-14,6.12
2018-06-15,6.12
2018-06-18,6.13
2018-06-19,6.16
2018-06-20,6.13
2018-06-21,6.15
2018-06-22,6.15
2018-06-25,6.20
2018-06-26,6.22
2018-06-27,6.25
2018-06-28,6.35
2018-06-29,6.33
2018-06-30,6.44
2018-07-02,6.54
2018-07-03,6.50
2018-07-04,6.50
2018-07-05,6.49
2018-07-06,6.47
2018-07-09,6.41
2018-07-10,6.37
2018-07-11,6.40
2018-07-12,6.37
2018-07-13,6.35
2018-07-16,6.34
2018-07-17,6.33
2018-07-18,6.32
2018-07-19,6.33
