DATE,BUSAPPWNSAUS
2006-01-07,39580
2006-01-14,36920
2006-01-21,63300
2006-01-28,51910
2006-02-04,61430
2006-02-11,62890
2006-02-18,61790
2006-02-25,57910
2006-03-04,52080
2006-03-11,63440
2006-03-18,60960
2006-03-25,62540
2006-04-01,61960
2006-04-08,62270
2006-04-15,59090
2006-04-22,54940
2006-04-29,54730
2006-05-06,57850
2006-05-13,58370
2006-05-20,54980
2006-05-27,53850
2006-06-03,52340
2006-06-10,40240
2006-06-17,53600
2006-06-24,53530
2006-07-01,50250
2006-07-08,49860
2006-07-15,35330
2006-07-22,51020
2006-07-29,49810
2006-08-05,48770
2006-08-12,48230
2006-08-19,48930
2006-08-26,48690
2006-09-02,50030
2006-09-09,49260
2006-09-16,36730
2006-09-23,48350
2006-09-30,48180
2006-10-07,49720
2006-10-14,48950
2006-10-21,37310
2006-10-28,44830
2006-11-04,45420
2006-11-11,44700
2006-11-18,35360
2006-11-25,50500
2006-12-02,35770
2006-12-09,43310
2006-12-16,44670
2006-12-23,45490
2006-12-30,60800
2007-01-06,41440
2007-01-13,17620
2007-01-20,74560
2007-01-27,50830
2007-02-03,61230
2007-02-10,61290
2007-02-17,57370
2007-02-24,54140
2007-03-03,45900
2007-03-10,61500
2007-03-17,66150
2007-03-24,59610
2007-03-31,59220
2007-04-07,57310
2007-04-14,56190
2007-04-21,53200
2007-04-28,55490
2007-05-05,57480
2007-05-12,56280
2007-05-19,53460
2007-05-26,53220
2007-06-02,53860
2007-06-09,41440
2007-06-16,54530
2007-06-23,50780
2007-06-30,50230
2007-07-07,50800
2007-07-14,38480
2007-07-21,48400
2007-07-28,50200
2007-08-04,47390
2007-08-11,52990
2007-08-18,48820
2007-08-25,46110
2007-09-01,48320
2007-09-08,50050
2007-09-15,35250
2007-09-22,49400
2007-09-29,60640
2007-10-06,54530
2007-10-13,54660
2007-10-20,43180
2007-10-27,51220
2007-11-03,50390
2007-11-10,49050
2007-11-17,48000
2007-11-24,42610
2007-12-01,33760
2007-12-08,46190
2007-12-15,47360
2007-12-22,47130
2007-12-29,50250
2008-01-05,32470
2008-01-12,33750
2008-01-19,60520
2008-01-26,60280
2008-02-02,54580
2008-02-09,61480
2008-02-16,57290
2008-02-23,55620
2008-03-01,52400
2008-03-08,61610
2008-03-15,59920
2008-03-22,59210
2008-03-29,57540
2008-04-05,56030
2008-04-12,58290
2008-04-19,56520
2008-04-26,56180
2008-05-03,54570
2008-05-10,55600
2008-05-17,53870
2008-05-24,53230
2008-05-31,51650
2008-06-07,42490
2008-06-14,51710
2008-06-21,48880
2008-06-28,47930
2008-07-05,40790
2008-07-12,38780
2008-07-19,47580
2008-07-26,48280
2008-08-02,48680
2008-08-09,48420
2008-08-16,56160
2008-08-23,46180
2008-08-30,47030
2008-09-06,47610
2008-09-13,38590
2008-09-20,48680
2008-09-27,47130
2008-10-04,47840
2008-10-11,46430
2008-10-18,45190
2008-10-25,38920
2008-11-01,45400
2008-11-08,43780
2008-11-15,42590
2008-11-22,41180
2008-11-29,44530
2008-12-06,29480
2008-12-13,41660
2008-12-20,43230
2008-12-27,41940
2009-01-03,23770
2009-01-10,32480
2009-01-17,55290
2009-01-24,53980
2009-01-31,47950
2009-02-07,54330
2009-02-14,53280
2009-02-21,51360
2009-02-28,49110
2009-03-07,53980
2009-03-14,53480
2009-03-21,53680
2009-03-28,53850
2009-04-04,54100
2009-04-11,52930
2009-04-18,49480
2009-04-25,50160
2009-05-02,51330
2009-05-09,51740
2009-05-16,49380
2009-05-23,49140
2009-05-30,48390
2009-06-06,39910
2009-06-13,49120
2009-06-20,48040
2009-06-27,47110
2009-07-04,45410
2009-07-11,38430
2009-07-18,47020
2009-07-25,45740
2009-08-01,45330
2009-08-08,45870
2009-08-15,44640
2009-08-22,43680
2009-08-29,44740
2009-09-05,46920
2009-09-12,47190
2009-09-19,36470
2009-09-26,45550
2009-10-03,46120
2009-10-10,44520
2009-10-17,46520
2009-10-24,39840
2009-10-31,46340
2009-11-07,45300
2009-11-14,44870
2009-11-21,41360
2009-11-28,43590
2009-12-05,31560
2009-12-12,42200
2009-12-19,44160
2009-12-26,43460
2010-01-02,30100
2010-01-09,30230
2010-01-16,55000
2010-01-23,52420
2010-01-30,50010
2010-02-06,59190
2010-02-13,56770
2010-02-20,50330
2010-02-27,48880
2010-03-06,55390
2010-03-13,57600
2010-03-20,57220
2010-03-27,49880
2010-04-03,57350
2010-04-10,53380
2010-04-17,50950
2010-04-24,53000
2010-05-01,53000
2010-05-08,54210
2010-05-15,51650
2010-05-22,51050
2010-05-29,50890
2010-06-05,50860
2010-06-12,40180
2010-06-19,48580
2010-06-26,46900
2010-07-03,46350
2010-07-10,46200
2010-07-17,37690
2010-07-24,46600
2010-07-31,46040
2010-08-07,45290
2010-08-14,47170
2010-08-21,44340
2010-08-28,47280
2010-09-04,48420
2010-09-11,47840
