DATE,CCLDCBW027SBOG
2000-06-28,211.4984
2000-07-05,212.0107
2000-07-12,210.8742
2000-07-19,212.5366
2000-07-26,211.7756
2000-08-02,212.4394
2000-08-09,214.5659
2000-08-16,218.6049
2000-08-23,220.4607
2000-08-30,218.8592
2000-09-06,219.8773
2000-09-13,219.3777
2000-09-20,225.987
2000-09-27,224.8153
2000-10-04,220.3909
2000-10-11,219.1619
2000-10-18,222.0038
2000-10-25,221.2843
2000-11-01,219.9675
2000-11-08,217.4811
2000-11-15,222.6708
2000-11-22,224.2385
2000-11-29,225.5842
2000-12-06,223.1734
2000-12-13,223.68
2000-12-20,229.2182
2000-12-27,233.0936
2001-01-03,232.9889
2001-01-10,228.9328
2001-01-17,231.9051
2001-01-24,232.2033
2001-01-31,229.9704
2001-02-07,227.7511
2001-02-14,230.5233
2001-02-21,231.9361
2001-02-28,228.2468
2001-03-07,227.0124
2001-03-14,227.1997
2001-03-21,228.2443
2001-03-28,230.1796
2001-04-04,228.7803
2001-04-11,229.9186
2001-04-18,232.9274
2001-04-25,233.9271
2001-05-02,234.7157
2001-05-09,232.9341
2001-05-16,236.6926
2001-05-23,237.5309
2001-05-30,235.6714
2001-06-06,233.9698
2001-06-13,232.1767
2001-06-20,233.0493
2001-06-27,234.8652
2001-07-04,230.6438
2001-07-11,230.0882
2001-07-18,232.1244
2001-07-25,234.0251
2001-08-01,231.7344
2001-08-08,231.1019
2001-08-15,233.7091
2001-08-22,236.2331
2001-08-29,234.1195
2001-09-05,233.5651
2001-09-12,232.0039
2001-09-19,235.9118
2001-09-26,231.6402
2001-10-03,230.2352
2001-10-10,228.5563
2001-10-17,235.2685
2001-10-24,235.9837
2001-10-31,235.5644
2001-11-07,236.1718
2001-11-14,236.4002
2001-11-21,241.1606
2001-11-28,243.0804
2001-12-05,239.302
2001-12-12,240.1738
2001-12-19,241.4302
2001-12-26,245.5666
2002-01-02,242.2459
2002-01-09,241.0884
2002-01-16,241.5737
2002-01-23,241.9768
2002-01-30,240.2342
2002-02-06,243.0731
2002-02-13,237.3696
2002-02-20,241.2013
2002-02-27,241.5046
2002-03-06,240.0992
2002-03-13,236.7762
2002-03-20,241.6657
2002-03-27,242.9781
2002-04-03,240.7822
2002-04-10,241.51
2002-04-17,248.753
2002-04-24,249.5224
2002-05-01,245.6269
2002-05-08,245.2117
2002-05-15,246.2596
2002-05-22,243.2801
2002-05-29,246.0166
2002-06-05,240.56
2002-06-12,241.2564
2002-06-19,248.015
2002-06-26,245.8678
2002-07-03,237.1198
2002-07-10,236.2629
2002-07-17,240.1459
2002-07-24,241.993
2002-07-31,242.7586
2002-08-07,243.9644
2002-08-14,246.9618
2002-08-21,251.6195
2002-08-28,254.3916
2002-09-04,254.5653
2002-09-11,253.6787
2002-09-18,257.5606
2002-09-25,256.2312
2002-10-02,254.7278
2002-10-09,252.4655
2002-10-16,257.7749
2002-10-23,257.3263
2002-10-30,256.1949
2002-11-06,251.4531
2002-11-13,251.0828
2002-11-20,252.3523
2002-11-27,253.441
2002-12-04,252.0461
2002-12-11,254.0174
2002-12-18,256.9072
2002-12-25,256.2294
2003-01-01,254.1355
2003-01-08,252.0484
2003-01-15,251.7568
2003-01-22,252.6687
2003-01-29,249.7618
2003-02-05,244.8297
2003-02-12,244.646
2003-02-19,249.38
2003-02-26,249.3108
2003-03-05,246.0348
2003-03-12,241.6229
2003-03-19,246.4973
2003-03-26,243.7112
2003-04-02,240.8501
2003-04-09,239.3655
2003-04-16,239.456
2003-04-23,240.1491
2003-04-30,240.3113
2003-05-07,245.6238
2003-05-14,247.7939
2003-05-21,248.8603
2003-05-28,252.5166
2003-06-04,244.492
2003-06-11,244.398
2003-06-18,247.7917
2003-06-25,244.214
2003-07-02,244.6016
2003-07-09,243.1819
2003-07-16,245.6887
2003-07-23,246.7632
2003-07-30,248.747
2003-08-06,243.7542
2003-08-13,244.3823
2003-08-20,247.4722
2003-08-27,246.6915
2003-09-03,244.7394
2003-09-10,243.7468
2003-09-17,246.2032
2003-09-24,244.4957
2003-10-01,240.6567
2003-10-08,238.6276
2003-10-15,240.8845
2003-10-22,239.6227
2003-10-29,240.1149
2003-11-05,267.3088
2003-11-12,269.7625
2003-11-19,274.5857
2003-11-26,272.615
2003-12-03,270.5175
2003-12-10,271.4298
2003-12-17,283.7356
2003-12-24,287.1536
2003-12-31,285.5736
2004-01-07,283.8893
2004-01-14,282.671
2004-01-21,284.9892
2004-01-28,283.4915
2004-02-04,279.7021
2004-02-11,278.5917
2004-02-18,285.6437
2004-02-25,283.876
2004-03-03,278.0699
2004-03-10,277.345
2004-03-17,279.6292
2004-03-24,282.7267
2004-03-31,278.9973
2004-04-07,279.6347
2004-04-14,281.1128
2004-04-21,281.0766
2004-04-28,282.7097
2004-05-05,281.1718
2004-05-12,280.6967
2004-05-19,287.7818
2004-05-26,287.859
2004-06-02,287.0612
2004-06-09,287.0512
2004-06-16,287.8765
2004-06-23,289.761
2004-06-30,285.4
2004-07-07,286.3641
2004-07-14,286.975
2004-07-21,289.5966
2004-07-28,289.3096
2004-08-04,287.476
2004-08-11,286.6148
2004-08-18,291.5551
2004-08-25,294.0906
2004-09-01,292.3816
2004-09-08,291.8603
2004-09-15,295.7122
2004-09-22,296.6918
2004-09-29,293.2541
2004-10-06,291.5646
2004-10-13,288.5759
2004-10-20,292.7851
2004-10-27,291.9028
2004-11-03,291.002
2004-11-10,286.7989
2004-11-17,287.3981
2004-11-24,287.3742
2004-12-01,286.7767
2004-12-08,287.4577
2004-12-15,290.9726
2004-12-22,296.9451
2004-12-29,309.0105
2005-01-05,309.0285
2005-01-12,305.4432
2005-01-19,304.1629
2005-01-26,302.7468
2005-02-02,298.0711
2005-02-09,294.2674
2005-02-16,301.2388
2005-02-23,301.2582
2005-03-02,300.9549
2005-03-09,298.2715
2005-03-16,300.1145
2005-03-23,299.8731
2005-03-30,300.3797
2005-04-06,299.7813
2005-04-13,298.441
2005-04-20,303.2926
2005-04-27,304.1587
2005-05-04,299.5949
2005-05-11,297.2541
2005-05-18,300.881
2005-05-25,299.7985
2005-06-01,298.4117
2005-06-08,298.961
2005-06-15,302.138
2005-06-22,304.4573
2005-06-29,301.8861
2005-07-06,300.7306
2005-07-13,300.5873
2005-07-20,304.3865
2005-07-27,304.798
2005-08-03,301.8724
2005-08-10,301.3631
2005-08-17,302.8204
2005-08-24,303.0835
2005-08-31,300.915
2005-09-07,300.9647
2005-09-14,305.4782
2005-09-21,306.3263
2005-09-28,306.0265
2005-10-05,294.9103
2005-10-12,293.4065
2005-10-19,295.5213
2005-10-26,298.0348
2005-11-02,299.5896
2005-11-09,297.6692
2005-11-16,301.8678
2005-11-23,301.7405
2005-11-30,299.2015
2005-12-07,297.9711
2005-12-14,304.3603
2005-12-21,303.7768
2005-12-28,305.74
2006-01-04,303.4335
2006-01-11,300.724
2006-01-18,304.8722
2006-01-25,304.066
2006-02-01,297.8137
2006-02-08,296.4687
2006-02-15,297.9754
2006-02-22,296.7016
2006-03-01,293.1362
2006-03-08,291.1846
2006-03-15,290.8848
2006-03-22,293.6574
2006-03-29,293.0861
2006-04-05,289.9417
2006-04-12,293.4821
2006-04-19,295.9117
2006-04-26,298.3818
2006-05-03,297.0176
2006-05-10,298.0456
2006-05-17,303.7826
2006-05-24,304.6022
2006-05-31,301.9508
2006-06-07,298.5656
2006-06-14,301.841
2006-06-21,296.5138
2006-06-28,296.7586
2006-07-05,297.7571
2006-07-12,296.0409
2006-07-19,303.035
2006-07-26,302.4243
2006-08-02,299.9436
2006-08-09,300.6511
2006-08-16,304.1208
2006-08-23,306.6269
2006-08-30,304.4141
2006-09-06,304.6243
2006-09-13,303.4991
2006-09-20,304.7594
2006-09-27,303.5496
2006-10-04,301.0176
2006-10-11,300.8072
2006-10-18,300.6893
2006-10-25,300.176
2006-11-01,300.4966
2006-11-08,300.7958
2006-11-15,302.877
2006-11-22,304.1404
2006-11-29,305.5832
2006-12-06,307.8169
2006-12-13,311.6804
2006-12-20,312.9622
2006-12-27,315.845
2007-01-03,315.1708
2007-01-10,314.6149
2007-01-17,316.9156
2007-01-24,317.8534
2007-01-31,312.0209
2007-02-07,311.3775
2007-02-14,314.9941
2007-02-21,311.8804
2007-02-28,302.8509
2007-03-07,303.0423
2007-03-14,301.8974
2007-03-21,303.8526
2007-03-28,302.4292
2007-04-04,304.5254
2007-04-11,305.8785
2007-04-18,308.9752
2007-04-25,310.2553
2007-05-02,308.9518
2007-05-09,308.6056
2007-05-16,310.7952
2007-05-23,310.8138
