DATE,CD12NRJD
2009-05-18,1.29
2009-05-25,1.27
2009-06-01,1.25
2009-06-08,1.23
2009-06-15,1.22
2009-06-22,1.20
2009-06-29,1.19
2009-07-06,1.19
2009-07-13,1.15
2009-07-20,1.15
2009-07-27,1.13
2009-08-03,1.11
2009-08-10,1.12
2009-08-17,1.11
2009-08-24,1.10
2009-08-31,1.08
2009-09-07,1.05
2009-09-14,1.07
2009-09-21,1.04
2009-09-28,1.03
2009-10-05,1.01
2009-10-12,1.00
2009-10-19,1.04
2009-10-26,1.01
2009-11-02,1.04
2009-11-09,1.03
2009-11-16,1.02
2009-11-23,1.01
2009-11-30,1.00
2009-12-07,0.98
2009-12-14,0.95
2009-12-21,0.94
2009-12-28,0.93
2010-01-04,0.93
2010-01-11,0.92
2010-01-18,0.90
2010-01-25,0.90
2010-02-01,0.88
2010-02-08,0.87
2010-02-15,0.86
2010-02-22,0.86
2010-03-01,0.86
2010-03-08,0.84
2010-03-15,0.83
2010-03-22,0.83
2010-03-29,0.82
2010-04-05,0.82
2010-04-12,0.81
2010-04-19,0.81
2010-04-26,0.80
2010-05-03,0.80
2010-05-10,0.80
2010-05-17,0.80
2010-05-24,0.80
2010-05-31,0.79
2010-06-07,0.78
2010-06-14,0.78
2010-06-21,0.77
2010-06-28,0.77
2010-07-05,0.76
2010-07-12,0.76
2010-07-19,0.75
2010-07-26,0.74
2010-08-02,0.74
2010-08-09,0.73
2010-08-16,0.71
2010-08-23,0.70
2010-08-30,0.69
2010-09-06,0.67
2010-09-13,0.66
2010-09-20,0.65
2010-09-27,0.64
2010-10-04,0.63
2010-10-11,0.62
2010-10-18,0.60
2010-10-25,0.59
2010-11-01,0.59
2010-11-08,0.58
2010-11-15,0.57
2010-11-22,0.56
2010-11-29,0.56
2010-12-06,0.55
2010-12-13,0.55
2010-12-20,0.54
2010-12-27,0.54
2011-01-03,0.54
2011-01-10,0.53
2011-01-17,0.53
2011-01-24,0.53
2011-01-31,0.53
2011-02-07,0.53
2011-02-14,0.52
2011-02-21,0.52
2011-02-28,0.52
2011-03-07,0.51
2011-03-14,0.51
2011-03-21,0.51
2011-03-28,0.51
2011-04-04,0.51
2011-04-11,0.50
2011-04-18,0.50
2011-04-25,0.50
2011-05-02,0.49
2011-05-09,0.49
2011-05-16,0.49
2011-05-23,0.48
2011-05-30,0.48
2011-06-06,0.48
2011-06-13,0.47
2011-06-20,0.47
2011-06-27,0.47
2011-07-04,0.46
2011-07-11,0.46
2011-07-18,0.46
2011-07-25,0.46
2011-08-01,0.46
2011-08-08,0.45
2011-08-15,0.44
2011-08-22,0.43
2011-08-29,0.42
2011-09-05,0.41
2011-09-12,0.40
2011-09-19,0.40
2011-09-26,0.39
2011-10-03,0.39
2011-10-10,0.38
2011-10-17,0.38
2011-10-24,0.38
2011-10-31,0.37
2011-11-07,0.37
2011-11-14,0.37
2011-11-21,0.37
2011-11-28,0.36
2011-12-05,0.36
2011-12-12,0.36
2011-12-19,0.36
2011-12-26,0.36
2012-01-02,0.36
2012-01-09,0.35
2012-01-16,0.35
2012-01-23,0.35
2012-01-30,0.35
2012-02-06,0.34
2012-02-13,0.34
2012-02-20,0.33
2012-02-27,0.32
2012-03-05,0.32
2012-03-12,0.32
2012-03-19,0.32
