DATE,CIBOARD
1985-04-03,367.6022
1985-04-10,362.19
1985-04-17,357.5212
1985-04-24,356.6661
1985-05-01,356.3917
1985-05-08,358.7742
1985-05-15,359.9619
1985-05-22,360.9562
1985-05-29,360.877
1985-06-05,360.7696
1985-06-12,360.271
1985-06-19,361.0835
1985-06-26,360.5181
1985-07-03,362.2744
1985-07-10,362.6791
1985-07-17,364.1043
1985-07-24,364.1539
1985-07-31,365.896
1985-08-07,364.7613
1985-08-14,364.8942
1985-08-21,365.0931
1985-08-28,365.8382
1985-09-04,366.8761
1985-09-11,367.9621
1985-09-18,367.742
1985-09-25,368.4314
1985-10-02,366.811
1985-10-09,366.6155
1985-10-16,364.9221
1985-10-23,365.7469
1985-10-30,364.8703
1985-11-06,365.7572
1985-11-13,364.7502
1985-11-20,365.6513
1985-11-27,366.0082
1985-12-04,366.8318
1985-12-11,366.1016
1985-12-18,366.2755
1985-12-25,364.5003
1986-01-01,365.8843
1986-01-08,366.8772
1986-01-15,368.0828
1986-01-22,367.6953
1986-01-29,365.7049
1986-02-05,364.6529
1986-02-12,364.3264
1986-02-19,365.85
1986-02-26,367.2987
1986-03-05,368.3883
1986-03-12,368.1426
1986-03-19,368.0397
1986-03-26,363.9736
1986-04-02,375.3381
1986-04-09,371.9914
1986-04-16,369.3529
1986-04-23,367.0112
1986-04-30,367.6866
1986-05-07,369.1079
1986-05-14,369.7322
1986-05-21,369.0431
1986-05-28,369.6988
1986-06-04,370.496
1986-06-11,370.9285
1986-06-18,370.5581
1986-06-25,372.4592
1986-07-02,372.0287
1986-07-09,371.6737
1986-07-16,372.1089
1986-07-23,371.3677
1986-07-30,371.5276
1986-08-06,372.1542
1986-08-13,371.63
1986-08-20,371.7602
1986-08-27,373.3608
1986-09-03,373.3078
1986-09-10,373.3448
1986-09-17,372.9912
1986-09-24,372.1289
1986-10-01,373.359
1986-10-08,371.6486
1986-10-15,372.2996
1986-10-22,372.7458
1986-10-29,371.0608
1986-11-05,373.3497
1986-11-12,375.2537
1986-11-19,375.5306
1986-11-26,376.2255
1986-12-03,378.4407
1986-12-10,379.8831
1986-12-17,381.9576
1986-12-24,388.231
1986-12-31,397.6547
1987-01-07,395.4196
1987-01-14,392.9913
1987-01-21,391.7876
1987-01-28,392.8319
1987-02-04,392.3693
1987-02-11,390.2087
1987-02-18,389.1559
1987-02-25,390.1515
1987-03-04,390.0556
1987-03-11,389.6508
