DATE,FINCP
2001-01-03,685.824039512
2001-01-10,656.15428125
2001-01-17,656.041882813
2001-01-24,658.92884375
2001-01-31,659.211296875
2001-02-07,658.723242188
2001-02-14,658.063484375
2001-02-21,655.323320313
2001-02-28,646.304351563
2001-03-07,639.85271875
2001-03-14,639.593039063
2001-03-21,641.496617188
2001-03-28,647.71153125
2001-04-04,663.375125
2001-04-11,670.699648438
2001-04-18,661.923867188
2001-04-25,668.987671875
2001-05-02,674.091421875
2001-05-09,670.45346875
2001-05-16,662.864929688
2001-05-23,647.451125
2001-05-30,633.588054688
2001-06-06,628.224421875
2001-06-13,640.920585938
2001-06-20,646.36071875
2001-06-27,653.361664063
2001-07-04,657.910164063
2001-07-11,646.604054688
2001-07-18,644.194554688
2001-07-25,635.84296875
2001-08-01,627.0568125
2001-08-08,614.446875
2001-08-15,595.544945313
2001-08-22,580.479710938
2001-08-29,576.304671875
2001-09-05,564.152179688
2001-09-12,539.80746875
2001-09-19,577.628734375
2001-09-26,589.773335938
2001-10-03,575.210476563
2001-10-10,573.191117188
2001-10-17,563.717976563
2001-10-24,552.068898438
2001-10-31,566.64109375
2001-11-07,560.894945313
2001-11-14,558.056539063
2001-11-21,557.040609375
2001-11-28,555.930585938
2001-12-05,549.623390625
2001-12-12,549.136726563
2001-12-19,556.403898438
2001-12-26,564.705921875
2002-01-02,563.110476563
2002-01-09,556.6265
2002-01-16,559.803101563
2002-01-23,554.731398438
2002-01-30,547.89228125
2002-02-06,545.446679688
2002-02-13,546.803640625
2002-02-20,548.850851563
2002-02-27,552.679976563
2002-03-06,556.742179688
2002-03-13,556.303265625
2002-03-20,557.01734375
2002-03-27,539.633421875
2002-04-03,539.584484375
2002-04-10,540.540007813
2002-04-17,543.165554688
2002-04-24,543.34615625
2002-05-01,537.266828125
2002-05-08,537.446078125
2002-05-15,537.509960938
2002-05-22,536.761296875
2002-05-29,536.785265625
2002-06-05,536.745234375
2002-06-12,541.347484375
2002-06-19,531.625492188
2002-06-26,530.4630625
2002-07-03,530.986632813
2002-07-10,530.033359375
2002-07-17,526.069359375
2002-07-24,527.936359375
2002-07-31,526.18778125
2002-08-07,526.128132813
2002-08-14,526.722320313
2002-08-21,528.78059375
2002-08-28,526.716507813
2002-09-04,524.393023438
2002-09-11,525.280046875
2002-09-18,529.221703125
2002-09-25,521.548039063
2002-10-02,518.447757813
2002-10-09,523.332921875
2002-10-16,524.227828125
2002-10-23,524.565171875
2002-10-30,520.660460938
2002-11-06,525.0334375
2002-11-13,526.335132813
2002-11-20,525.539101563
2002-11-27,528.153648438
2002-12-04,534.314554688
2002-12-11,530.636085938
2002-12-18,530.117929688
2002-12-25,526.858023438
2003-01-01,529.29240625
2003-01-08,538.828507813
2003-01-15,538.677734375
2003-01-22,539.147382813
2003-01-29,544.91028125
2003-02-05,552.258492188
2003-02-12,536.403992188
2003-02-19,528.220554688
2003-02-26,525.857082738
2003-03-05,518.222949703
2003-03-12,521.071282463
2003-03-19,516.935591355
2003-03-26,538.389352973
2003-04-02,538.371736394
2003-04-09,543.407770142
2003-04-16,547.106944152
2003-04-23,542.468042047
2003-04-30,539.266826755
2003-05-07,539.180218354
2003-05-14,537.686730561
2003-05-21,532.052335556
2003-05-28,536.324636331
2003-06-04,542.431016212
2003-06-11,543.321851317
2003-06-18,546.922531757
2003-06-25,544.759233822
2003-07-02,553.852639252
2003-07-09,561.24474789
2003-07-16,551.947762879
2003-07-23,543.445429041
2003-07-30,526.636370549
2003-08-06,516.176479596
2003-08-13,523.831157478
2003-08-20,518.224334664
2003-08-27,512.56152882
2003-09-03,503.375660767
2003-09-10,505.70392527
2003-09-17,507.780389893
2003-09-24,510.38098251
2003-10-01,501.087253302
2003-10-08,509.455251003
2003-10-15,516.595230804
2003-10-22,517.601682145
2003-10-29,526.188672288
2003-11-05,533.753234544
2003-11-12,530.483844276
2003-11-19,521.463199644
2003-11-26,515.638229009
2003-12-03,512.681524763
2003-12-10,511.893848744
2003-12-17,514.055887937
2003-12-24,506.384700341
2003-12-31,508.167660386
2004-01-07,524.358628932
2004-01-14,533.647626106
2004-01-21,531.101936251
2004-01-28,538.149638998
2004-02-04,539.213840806
2004-02-11,540.45451253
2004-02-18,542.139012478
2004-02-25,537.456098977
2004-03-03,537.977342387
2004-03-10,538.69903463
2004-03-17,539.436259876
2004-03-24,539.22642989
2004-03-31,538.576605893
2004-04-07,535.70065957
2004-04-14,532.425830734
2004-04-21,533.104290415
2004-04-28,541.049149607
2004-05-05,541.989888247
2004-05-12,543.932313001
2004-05-19,544.716004174
2004-05-26,543.6342681
2004-06-02,544.706171833
2004-06-09,549.322232063
2004-06-16,539.311346357
2004-06-23,546.797474856
2004-06-30,543.623269126
2004-07-07,550.43959818
2004-07-14,551.831995708
2004-07-21,552.49181944
2004-07-28,556.511198865
2004-08-04,549.694647734
2004-08-11,550.870176115
2004-08-18,548.724555664
2004-08-25,554.401220337
2004-09-01,556.931702164
2004-09-08,554.888422439
2004-09-15,553.016718469
2004-09-22,555.700511298
2004-09-29,565.413928848
2004-10-06,562.523687955
2004-10-13,563.531876011
2004-10-20,562.283986377
2004-10-27,569.964959397
2004-11-03,567.379099729
2004-11-10,567.489027869
2004-11-17,574.232720481
2004-11-24,572.945091018
2004-12-01,575.184175164
2004-12-08,576.403795527
2004-12-15,578.905825442
2004-12-22,581.017765319
2004-12-29,583.656675071
2005-01-05,592.760771295
2005-01-12,586.756439767
2005-01-19,583.676629802
2005-01-26,578.45717403
2005-02-02,575.240287285
2005-02-09,574.535418317
2005-02-16,574.357201653
2005-02-23,575.398513513
2005-03-02,576.980365513
2005-03-09,577.044799854
2005-03-16,579.740025096
2005-03-23,583.068355525
2005-03-30,572.138416892
2005-04-06,585.821553445
2005-04-13,595.378220951
2005-04-20,599.79238723
2005-04-27,593.64572881
2005-05-04,592.415862614
2005-05-11,600.365717532
2005-05-18,604.427288947
2005-05-25,609.116304008
2005-06-01,612.341771598
2005-06-08,617.076726663
2005-06-15,624.100515988
2005-06-22,647.094667626
2005-06-29,641.062172235
2005-07-06,625.215589776
2005-07-13,631.145872486
2005-07-20,623.155225461
2005-07-27,630.336693055
2005-08-03,643.496766998
2005-08-10,644.631002812
2005-08-17,646.444387842
2005-08-24,646.603192955
2005-08-31,651.210194366
2005-09-07,656.947481642
2005-09-14,660.369372362
2005-09-21,663.838918079
2005-09-28,666.02682839
2005-10-05,668.42686612
2005-10-12,669.695482324
2005-10-19,672.579881409
2005-10-26,670.144919598
2005-11-02,669.981992911
2005-11-09,676.917600022
2005-11-16,669.738015848
2005-11-23,664.34147927
2005-11-30,665.193043283
2005-12-07,656.908598419
2005-12-14,644.564769658
2005-12-21,641.149831391
2005-12-28,636.973845396
2006-01-04,641.104509998
2006-01-11,674.893701989
2006-01-18,664.906005691
2006-01-25,668.165661649
2006-02-01,672.225334142
2006-02-08,666.173976258
2006-02-15,649.433204825
2006-02-22,659.340375188
2006-03-01,665.787462298
2006-03-08,669.322266554
2006-03-15,681.230585099
2006-03-22,684.350962701
2006-03-29,674.876953654
2006-04-05,653.132282892
2006-04-12,648.645868222
2006-04-19,644.4175215
2006-04-26,664.37763963
2006-05-03,683.921667414
2006-05-10,685.445935752
2006-05-17,682.379785323
2006-05-24,684.135888842
2006-05-31,699.466610881
2006-06-07,705.660074812
2006-06-14,684.366461692
2006-06-21,669.382633033
2006-06-28,667.217767707
2006-07-05,671.06407249
2006-07-12,672.537783883
2006-07-19,672.527451218
2006-07-26,677.44043885
2006-08-02,670.416267868
2006-08-09,672.20621927
2006-08-16,679.452306842
2006-08-23,700.647482345
2006-08-30,700.702415473
2006-09-06,713.190513862
2006-09-13,714.814551924
2006-09-20,724.418904488
2006-09-27,722.867171101
2006-10-04,717.799719226
2006-10-11,730.648067371
2006-10-18,720.449646815
2006-10-25,725.238223631
2006-11-01,722.582289837
2006-11-08,717.293623993
2006-11-15,729.685935188
2006-11-22,723.458123169
2006-11-29,729.671129442
2006-12-06,724.661214566
2006-12-13,744.707738219
2006-12-20,716.897299695
2006-12-27,715.057900922
2007-01-03,723.255818155
2007-01-10,720.802206283
2007-01-17,724.598008083
2007-01-24,729.728442381
2007-01-31,749.220294594
2007-02-07,762.806555663
2007-02-14,787.445970048
2007-02-21,767.706849274
2007-02-28,775.218048077
2007-03-07,751.973224372
2007-03-14,750.466269212
2007-03-21,748.494812747
2007-03-28,784.113983754
2007-04-04,763.155193729
2007-04-11,768.435736354
2007-04-18,761.408009149
2007-04-25,770.007296025
2007-05-02,758.201736819
2007-05-09,777.203164592
2007-05-16,766.981746293
2007-05-23,766.641747689
2007-05-30,777.799095722
2007-06-06,772.919233121
2007-06-13,763.859050394
2007-06-20,757.145278127
2007-06-27,758.674454975
2007-07-04,779.538041058
2007-07-11,776.910104226
2007-07-18,791.942853647
2007-07-25,801.900820606
2007-08-01,798.706781722
2007-08-08,793.722039536
2007-08-15,760.757260737
2007-08-22,741.824060323
2007-08-29,755.01613783
2007-09-05,742.202664909
2007-09-12,755.190794515
2007-09-19,722.618984088
2007-09-26,727.905883096
2007-10-03,740.394823137
2007-10-10,752.004472055
2007-10-17,764.271403736
2007-10-24,775.722620312
2007-10-31,807.330566883
2007-11-07,820.398307949
2007-11-14,827.751815373
2007-11-21,813.845353577
2007-11-28,837.536115408
2007-12-05,840.263263715
2007-12-12,846.574116004
2007-12-19,824.968545584
2007-12-26,838.421491148
2008-01-02,834.218977146
2008-01-09,840.220043267
2008-01-16,846.079110063
2008-01-23,833.54438481
2008-01-30,840.275770016
2008-02-06,836.064019132
2008-02-13,829.78317072
2008-02-20,817.437631011
2008-02-27,834.135622362
2008-03-05,856.039275796
2008-03-12,846.599277488
2008-03-19,832.400068485
2008-03-26,841.219595989
2008-04-02,835.521956087
2008-04-09,832.665237859
2008-04-16,820.157471878
2008-04-23,803.370833573
2008-04-30,799.029370975
2008-05-07,804.25150851
2008-05-14,807.320585046
2008-05-21,828.219947845
2008-05-28,816.748916009
2008-06-04,823.448493723
2008-06-11,834.13474522
2008-06-18,826.669295912
2008-06-25,829.968197717
2008-07-02,840.682308674
2008-07-09,823.551386318
2008-07-16,815.547916762
2008-07-23,805.879372996
2008-07-30,806.834885565
2008-08-06,810.990396851
2008-08-13,838.404758342
2008-08-20,834.396315395
2008-08-27,827.638703386
2008-09-03,813.408253318
2008-09-10,816.866819431
2008-09-17,799.990492208
2008-09-24,748.216313873
2008-10-01,683.145146479
2008-10-08,640.303295367
2008-10-15,604.217754676
2008-10-22,558.830918353
2008-10-29,628.161638195
2008-11-05,672.641852561
2008-11-12,656.952271839
2008-11-19,668.116068086
2008-11-26,684.081765075
2008-12-03,709.002543169
2008-12-10,743.575122568
2008-12-17,758.676314897
2008-12-24,764.902894373
2008-12-31,759.914187908
2009-01-07,760.357568699
2009-01-14,741.266469454
2009-01-21,735.325601481
2009-01-28,641.79407562
2009-02-04,636.815976357
2009-02-11,613.383601818
2009-02-18,594.372917293
2009-02-25,604.777541653
2009-03-04,568.951239808
2009-03-11,577.265288554
2009-03-18,588.03218567
2009-03-25,614.747418534
2009-04-01,605.439066694
2009-04-08,646.439149316
2009-04-15,616.996400849
2009-04-22,634.829732221
2009-04-29,616.185775476
2009-05-06,594.724514095
2009-05-13,547.463304688
2009-05-20,551.250960938
2009-05-27,533.781757813
2009-06-03,530.498023438
2009-06-10,546.370664063
2009-06-17,546.281726563
2009-06-24,564.080381302
2009-07-01,560.769252073
2009-07-08,554.151609375
2009-07-15,541.37621875
2009-07-22,544.102625
2009-07-29,517.475484375
2009-08-05,517.083546875
2009-08-12,529.18871875
2009-08-19,567.3005
2009-08-26,579.7414375
2009-09-02,569.259643879
2009-09-09,575.441658131
2009-09-16,565.731582251
2009-09-23,580.114078329
2009-09-30,603.439327913
2009-10-07,634.094000695
2009-10-14,656.863160622
2009-10-21,684.835350604
2009-10-28,705.843799697
2009-11-04,665.841385005
2009-11-11,600.845178083
2009-11-18,641.538355089
2009-11-25,642.285203091
2009-12-02,624.928245028
2009-12-09,608.206448279
2009-12-16,557.159531856
2009-12-23,570.971258105
2009-12-30,580.163695332
2010-01-06,543.669370019
2010-01-13,556.582379912
2010-01-20,545.170461036
2010-01-27,602.721728889
2010-02-03,575.084784657
2010-02-10,587.669913974
2010-02-17,592.874860033
2010-02-24,617.555022937
2010-03-03,594.548923423
2010-03-10,609.341758802
2010-03-17,584.749199793
2010-03-24,573.572161066
2010-03-31,570.482734154
2010-04-07,552.838487192
2010-04-14,538.587928592
2010-04-21,538.595078468
2010-04-28,562.281971412
2010-05-05,554.582415517
2010-05-12,548.825153095
2010-05-19,510.571489623
2010-05-26,508.166215965
2010-06-02,496.695773457
2010-06-09,499.825030185
2010-06-16,515.795285491
2010-06-23,525.337424093
2010-06-30,519.90874976
2010-07-07,521.370215103
2010-07-14,522.415842293
2010-07-21,524.180765848
2010-07-28,527.717761296
2010-08-04,514.363197344
2010-08-11,514.998544185
2010-08-18,510.122811777
2010-08-25,509.831618129
2010-09-01,499.091906922
2010-09-08,510.587869601
2010-09-15,505.116174355
2010-09-22,534.286635794
2010-09-29,553.740353262
2010-10-06,586.453030526
2010-10-13,587.096946559
2010-10-20,598.720402004
2010-10-27,614.893449736
2010-11-03,592.800672994
2010-11-10,595.621169515
2010-11-17,556.461549621
2010-11-24,558.228173263
2010-12-01,525.437568162
2010-12-08,521.841584116
2010-12-15,507.96306058
2010-12-22,502.808425689
2010-12-29,493.69499238
2011-01-05,489.189564026
2011-01-12,462.3948908
2011-01-19,449.807517953
2011-01-26,525.775697619
2011-02-02,536.710668322
2011-02-09,550.257187136
2011-02-16,564.58852194
2011-02-23,564.064601198
2011-03-02,577.667321456
2011-03-09,572.263859174
2011-03-16,575.987904718
2011-03-23,566.343462659
2011-03-30,572.019247404
2011-04-06,586.666505554
2011-04-13,591.406601312
2011-04-20,590.963818618
2011-04-27,593.06921236
2011-05-04,608.534094798
2011-05-11,633.668697209
2011-05-18,647.017236539
2011-05-25,652.623673171
2011-06-01,654.560621266
2011-06-08,656.731094214
2011-06-15,638.926677625
2011-06-22,638.693238604
2011-06-29,639.456901117
2011-07-06,618.189812213
2011-07-13,621.208608001
2011-07-20,599.091004128
2011-07-27,594.723423594
2011-08-03,567.314529349
2011-08-10,557.040359375
2011-08-17,543.30590625
2011-08-24,543.935328125
2011-08-31,545.221265625
2011-09-07,537.324922923
2011-09-14,540.893102786
2011-09-21,528.087286155
2011-09-28,517.449787983
2011-10-05,493.305679688
2011-10-12,474.993531963
2011-10-19,457.479179454
2011-10-26,451.776772057
2011-11-02,467.948232048
2011-11-09,449.630169857
2011-11-16,474.283742826
2011-11-23,475.918451495
2011-11-30,481.37244847
2011-12-07,470.60802711
2011-12-14,459.367242506
2011-12-21,453.33017426
2011-12-28,435.026595412
2012-01-04,421.507226513
2012-01-11,428.181042263
2012-01-18,441.438387379
2012-01-25,446.060303421
2012-02-01,450.450805676
2012-02-08,454.732874248
2012-02-15,444.507195096
2012-02-22,428.526505113
2012-02-29,423.090433805
2012-03-07,412.602698618
2012-03-14,419.848871401
2012-03-21,421.42609649
2012-03-28,438.600835665
2012-04-04,432.8054375
2012-04-11,427.562703125
2012-04-18,430.067328125
2012-04-25,421.320015625
2012-05-02,428.068265625
2012-05-09,454.1993125
2012-05-16,472.249625
2012-05-23,479.983625
2012-05-30,502.517359375
2012-06-06,484.943703125
2012-06-13,476.273484375
2012-06-20,465.9139375
2012-06-27,490.744140625
2012-07-04,484.1815625
2012-07-11,480.05996875
2012-07-18,485.02634375
2012-07-25,493.543953125
2012-08-01,526.93940625
2012-08-08,504.2863125
2012-08-15,518.8675625
2012-08-22,521.090546875
2012-08-29,532.412875
2012-09-05,529.038640625
2012-09-12,526.51675625
2012-09-19,515.87646875
