DATE,FLINSUREDUR
1986-02-08,1.37
1986-02-15,1.27
1986-02-22,1.43
1986-03-01,1.34
1986-03-08,1.32
1986-03-15,1.39
1986-03-22,1.33
1986-03-29,1.33
1986-04-05,1.25
1986-04-12,1.36
1986-04-19,1.26
1986-04-26,1.29
1986-05-03,1.28
1986-05-10,1.23
1986-05-17,1.33
1986-05-24,1.26
1986-05-31,1.34
1986-06-07,1.33
1986-06-14,1.38
1986-06-21,1.40
1986-06-28,1.20
1986-07-05,1.63
1986-07-12,1.53
1986-07-19,1.60
1986-07-26,1.56
1986-08-02,1.58
1986-08-09,1.51
1986-08-16,1.59
1986-08-23,1.50
1986-08-30,1.45
1986-09-06,1.57
1986-09-13,1.54
1986-09-20,1.47
1986-09-27,1.44
1986-10-04,1.38
1986-10-11,1.37
1986-10-18,1.43
1986-10-25,1.29
1986-11-01,1.25
1986-11-08,1.19
1986-11-15,1.37
1986-11-22,0.86
1986-11-29,1.47
1986-12-06,1.24
1986-12-13,1.18
1986-12-20,0.78
1986-12-27,1.49
1987-01-03,1.30
1987-01-10,1.25
1987-01-17,1.11
1987-01-24,1.30
1987-01-31,1.22
1987-02-07,1.24
1987-02-14,1.21
1987-02-21,1.23
1987-02-28,1.30
1987-03-07,1.20
1987-03-14,1.23
1987-03-21,1.18
1987-03-28,1.10
1987-04-04,1.09
1987-04-11,1.11
1987-04-18,1.08
1987-04-25,1.09
1987-05-02,1.05
1987-05-09,1.08
1987-05-16,1.06
1987-05-23,0.97
1987-05-30,1.13
1987-06-06,1.08
1987-06-13,1.13
1987-06-20,1.13
1987-06-27,1.03
1987-07-04,1.25
1987-07-11,1.25
1987-07-18,1.33
1987-07-25,1.36
1987-08-01,1.29
1987-08-08,1.28
1987-08-15,1.29
1987-08-22,1.28
1987-08-29,1.25
1987-09-05,1.15
1987-09-12,1.26
1987-09-19,1.19
1987-09-26,1.17
1987-10-03,1.13
1987-10-10,1.04
1987-10-17,1.17
1987-10-24,1.05
1987-10-31,1.04
1987-11-07,0.94
1987-11-14,1.11
1987-11-21,0.72
1987-11-28,1.26
1987-12-05,0.94
1987-12-12,1.03
1987-12-19,0.86
1987-12-26,0.97
1988-01-02,1.16
1988-01-09,1.06
1988-01-16,0.98
1988-01-23,1.08
1988-01-30,1.04
1988-02-06,1.06
1988-02-13,0.98
1988-02-20,1.13
1988-02-27,1.05
1988-03-05,1.05
1988-03-12,1.03
