DATE,GASDESMWW
1994-03-21,1.087
1994-03-28,1.089
1994-04-04,1.087
1994-04-11,1.090
1994-04-18,1.086
1994-04-25,1.085
1994-05-02,1.085
1994-05-09,1.080
1994-05-16,1.080
1994-05-23,1.081
1994-05-30,1.082
1994-06-06,1.083
1994-06-13,1.081
1994-06-20,1.086
1994-06-27,1.092
1994-07-04,1.094
1994-07-11,1.094
1994-07-18,1.094
1994-07-25,1.094
1994-08-01,1.102
1994-08-08,1.116
1994-08-15,1.116
1994-08-22,1.109
1994-08-29,1.108
1994-09-05,1.107
1994-09-12,1.107
1994-09-19,1.103
1994-09-26,1.092
1994-10-03,1.089
1994-10-10,1.091
1994-10-17,1.091
1994-10-24,1.094
1994-10-31,1.107
1994-11-07,1.104
1994-11-14,1.107
1994-11-21,1.099
1994-11-28,1.095
1994-12-05,1.095
1994-12-12,1.085
1994-12-19,1.082
1994-12-26,1.084
1995-01-02,1.081
1995-01-09,1.078
1995-01-16,1.077
1995-01-23,1.069
1995-01-30,1.065
1995-02-06,1.062
1995-02-13,1.065
1995-02-20,1.065
1995-02-27,1.069
1995-03-06,1.067
1995-03-13,1.069
1995-03-20,1.065
1995-03-27,1.069
1995-04-03,1.076
1995-04-10,1.083
1995-04-17,1.085
1995-04-24,1.093
1995-05-01,1.094
1995-05-08,1.103
1995-05-15,1.100
1995-05-22,1.097
1995-05-29,1.107
1995-06-05,1.100
1995-06-12,1.099
1995-06-19,1.094
1995-06-26,1.090
1995-07-03,1.081
1995-07-10,1.077
1995-07-17,1.073
1995-07-24,1.077
1995-07-31,1.067
1995-08-07,1.077
1995-08-14,1.089
1995-08-21,1.086
1995-08-28,1.089
1995-09-04,1.093
1995-09-11,1.100
1995-09-18,1.104
1995-09-25,1.099
1995-10-02,1.093
1995-10-09,1.091
1995-10-16,1.092
1995-10-23,1.086
1995-10-30,1.080
1995-11-06,1.096
1995-11-13,1.095
1995-11-20,1.096
1995-11-27,1.105
1995-12-04,1.104
1995-12-11,1.104
1995-12-18,1.108
1995-12-25,1.123
1996-01-01,1.125
1996-01-08,1.120
1996-01-15,1.126
1996-01-22,1.116
1996-01-29,1.110
1996-02-05,1.104
1996-02-12,1.111
1996-02-19,1.130
1996-02-26,1.148
1996-03-04,1.165
1996-03-11,1.163
1996-03-18,1.160
1996-03-25,1.198
1996-04-01,1.208
1996-04-08,1.236
1996-04-15,1.301
1996-04-22,1.287
1996-04-29,1.260
1996-05-06,1.267
1996-05-13,1.262
1996-05-20,1.248
1996-05-27,1.226
1996-06-03,1.208
1996-06-10,1.176
1996-06-17,1.154
1996-06-24,1.142
1996-07-01,1.135
1996-07-08,1.140
1996-07-15,1.150
1996-07-22,1.161
1996-07-29,1.156
1996-08-05,1.168
1996-08-12,1.176
1996-08-19,1.193
1996-08-26,1.207
1996-09-02,1.220
1996-09-09,1.237
1996-09-16,1.260
1996-09-23,1.260
1996-09-30,1.270
1996-10-07,1.291
1996-10-14,1.309
1996-10-21,1.312
1996-10-28,1.316
1996-11-04,1.309
1996-11-11,1.303
1996-11-18,1.320
1996-11-25,1.323
1996-12-02,1.321
1996-12-09,1.317
1996-12-16,1.298
1996-12-23,1.280
1996-12-30,1.274
1997-01-06,1.266
1997-01-13,1.274
1997-01-20,1.270
1997-01-27,1.259
1997-02-03,1.269
1997-02-10,1.262
1997-02-17,1.253
1997-02-24,1.244
1997-03-03,1.226
1997-03-10,1.205
1997-03-17,1.193
1997-03-24,1.196
1997-03-31,1.202
1997-04-07,1.188
1997-04-14,1.192
1997-04-21,1.188
1997-04-28,1.185
1997-05-05,1.188
1997-05-12,1.183
1997-05-19,1.185
1997-05-26,1.198
1997-06-02,1.187
1997-06-09,1.184
1997-06-16,1.167
1997-06-23,1.154
1997-06-30,1.144
1997-07-07,1.150
1997-07-14,1.141
1997-07-21,1.137
1997-07-28,1.137
1997-08-04,1.145
1997-08-11,1.152
1997-08-18,1.149
1997-08-25,1.144
1997-09-01,1.141
1997-09-08,1.134
1997-09-15,1.125
1997-09-22,1.126
1997-09-29,1.135
1997-10-06,1.154
1997-10-13,1.162
1997-10-20,1.164
1997-10-27,1.162
1997-11-03,1.162
1997-11-10,1.164
1997-11-17,1.170
1997-11-24,1.171
1997-12-01,1.166
1997-12-08,1.151
1997-12-15,1.136
1997-12-22,1.127
1997-12-29,1.120
1998-01-05,1.114
1998-01-12,1.091
1998-01-19,1.076
1998-01-26,1.062
1998-02-02,1.060
1998-02-09,1.058
1998-02-16,1.059
1998-02-23,1.063
1998-03-02,1.062
1998-03-09,1.052
1998-03-16,1.043
1998-03-23,1.033
1998-03-30,1.054
1998-04-06,1.048
1998-04-13,1.047
1998-04-20,1.046
1998-04-27,1.053
1998-05-04,1.052
1998-05-11,1.054
1998-05-18,1.048
1998-05-25,1.038
1998-06-01,1.033
1998-06-08,1.028
1998-06-15,1.022
1998-06-22,1.012
1998-06-29,1.014
1998-07-06,1.018
1998-07-13,1.012
1998-07-20,1.009
1998-07-27,0.998
1998-08-03,0.992
1998-08-10,0.986
1998-08-17,0.984
1998-08-24,0.981
1998-08-31,0.980
1998-09-07,0.991
1998-09-14,1.003
1998-09-21,1.016
1998-09-28,1.024
1998-10-05,1.024
1998-10-12,1.023
1998-10-19,1.017
1998-10-26,1.017
1998-11-02,1.016
1998-11-09,1.015
1998-11-16,1.008
1998-11-23,0.994
1998-11-30,0.983
1998-12-07,0.962
1998-12-14,0.949
1998-12-21,0.946
1998-12-28,0.941
1999-01-04,0.937
1999-01-11,0.947
1999-01-18,0.949
1999-01-25,0.944
1999-02-01,0.944
1999-02-08,0.943
1999-02-15,0.940
1999-02-22,0.930
1999-03-01,0.935
1999-03-08,0.943
1999-03-15,0.974
1999-03-22,0.995
1999-03-29,1.020
1999-04-05,1.043
1999-04-12,1.050
1999-04-19,1.046
1999-04-26,1.047
1999-05-03,1.051
1999-05-10,1.059
1999-05-17,1.048
1999-05-24,1.040
1999-05-31,1.038
1999-06-07,1.027
1999-06-14,1.033
1999-06-21,1.052
1999-06-28,1.059
1999-07-05,1.071
1999-07-12,1.083
1999-07-19,1.104
1999-07-26,1.105
1999-08-02,1.117
1999-08-09,1.122
1999-08-16,1.153
1999-08-23,1.164
1999-08-30,1.174
1999-09-06,1.182
1999-09-13,1.196
1999-09-20,1.220
1999-09-27,1.218
1999-10-04,1.228
1999-10-11,1.217
1999-10-18,1.216
1999-10-25,1.219
1999-11-01,1.220
1999-11-08,1.225
1999-11-15,1.257
1999-11-22,1.292
1999-11-29,1.307
1999-12-06,1.291
1999-12-13,1.282
1999-12-20,1.277
1999-12-27,1.296
2000-01-03,1.301
2000-01-10,1.294
2000-01-17,1.286
2000-01-24,1.369
2000-01-31,1.370
2000-02-07,1.406
2000-02-14,1.418
2000-02-21,1.439
2000-02-28,1.454
2000-03-06,1.484
2000-03-13,1.482
2000-03-20,1.460
2000-03-27,1.426
2000-04-03,1.426
2000-04-10,1.406
2000-04-17,1.382
2000-04-24,1.440
2000-05-01,1.423
2000-05-08,1.400
2000-05-15,1.422
2000-05-22,1.442
2000-05-29,1.441
2000-06-05,1.424
2000-06-12,1.410
2000-06-19,1.435
2000-06-26,1.442
2000-07-03,1.453
2000-07-10,1.442
2000-07-17,1.422
2000-07-24,1.407
2000-07-31,1.378
2000-08-07,1.382
2000-08-14,1.423
2000-08-21,1.441
2000-08-28,1.498
2000-09-04,1.580
2000-09-11,1.602
2000-09-18,1.629
2000-09-25,1.629
2000-10-02,1.589
2000-10-09,1.572
2000-10-16,1.643
2000-10-23,1.611
2000-10-30,1.590
2000-11-06,1.570
2000-11-13,1.561
2000-11-20,1.582
2000-11-27,1.606
2000-12-04,1.577
2000-12-11,1.519
2000-12-18,1.493
2000-12-25,1.470
2001-01-01,1.486
2001-01-08,1.494
2001-01-15,1.487
2001-01-22,1.515
2001-01-29,1.524
2001-02-05,1.502
2001-02-12,1.506
2001-02-19,1.460
2001-02-26,1.428
2001-03-05,1.394
2001-03-12,1.381
2001-03-19,1.367
2001-03-26,1.356
2001-04-02,1.366
2001-04-09,1.371
2001-04-16,1.424
2001-04-23,1.424
2001-04-30,1.423
2001-05-07,1.489
2001-05-14,1.535
2001-05-21,1.535
2001-05-28,1.588
2001-06-04,1.561
2001-06-11,1.511
2001-06-18,1.482
2001-06-25,1.424
2001-07-02,1.371
2001-07-09,1.365
2001-07-16,1.359
2001-07-23,1.321
2001-07-30,1.332
2001-08-06,1.337
2001-08-13,1.368
2001-08-20,1.409
2001-08-27,1.521
2001-09-03,1.559
2001-09-10,1.550
2001-09-17,1.594
2001-09-24,1.515
2001-10-01,1.412
2001-10-08,1.398
2001-10-15,1.373
2001-10-22,1.329
2001-10-29,1.323
2001-11-05,1.300
2001-11-12,1.275
2001-11-19,1.260
2001-11-26,1.230
2001-12-03,1.198
2001-12-10,1.174
2001-12-17,1.138
2001-12-24,1.140
2001-12-31,1.148
2002-01-07,1.147
2002-01-14,1.134
2002-01-21,1.112
2002-01-28,1.119
2002-02-04,1.119
2002-02-11,1.128
2002-02-18,1.130
2002-02-25,1.128
2002-03-04,1.151
2002-03-11,1.193
2002-03-18,1.228
2002-03-25,1.259
2002-04-01,1.278
2002-04-08,1.315
2002-04-15,1.309
2002-04-22,1.285
2002-04-29,1.281
2002-05-06,1.283
2002-05-13,1.277
2002-05-20,1.294
2002-05-27,1.292
2002-06-03,1.283
2002-06-10,1.261
2002-06-17,1.253
2002-06-24,1.260
2002-07-01,1.273
2002-07-08,1.279
2002-07-15,1.289
2002-07-22,1.302
2002-07-29,1.291
2002-08-05,1.288
2002-08-12,1.286
2002-08-19,1.316
2002-08-26,1.361
2002-09-02,1.380
2002-09-09,1.381
2002-09-16,1.399
2002-09-23,1.408
2002-09-30,1.434
2002-10-07,1.458
2002-10-14,1.459
2002-10-21,1.471
2002-10-28,1.457
2002-11-04,1.441
2002-11-11,1.425
2002-11-18,1.406
2002-11-25,1.412
2002-12-02,1.410
2002-12-09,1.408
2002-12-16,1.399
2002-12-23,1.438
2002-12-30,1.493
2003-01-06,1.495
2003-01-13,1.467
2003-01-20,1.459
2003-01-27,1.472
2003-02-03,1.532
2003-02-10,1.652
2003-02-17,1.681
2003-02-24,1.689
2003-03-03,1.735
2003-03-10,1.738
2003-03-17,1.708
2003-03-24,1.596
2003-03-31,1.526
2003-04-07,1.496
2003-04-14,1.496
2003-04-21,1.500
2003-04-28,1.488
2003-05-05,1.460
2003-05-12,1.424
2003-05-19,1.434
2003-05-26,1.424
2003-06-02,1.416
2003-06-09,1.418
2003-06-16,1.410
2003-06-23,1.401
2003-06-30,1.398
2003-07-07,1.404
2003-07-14,1.408
2003-07-21,1.410
2003-07-28,1.409
2003-08-04,1.430
2003-08-11,1.474
2003-08-18,1.474
2003-08-25,1.479
2003-09-01,1.479
2003-09-08,1.472
2003-09-15,1.460
2003-09-22,1.426
2003-09-29,1.411
2003-10-06,1.435
2003-10-13,1.486
2003-10-20,1.508
2003-10-27,1.498
2003-11-03,1.478
2003-11-10,1.467
2003-11-17,1.465
2003-11-24,1.469
2003-12-01,1.448
2003-12-08,1.448
2003-12-15,1.454
2003-12-22,1.476
2003-12-29,1.472
2004-01-05,1.473
2004-01-12,1.518
2004-01-19,1.526
2004-01-26,1.564
2004-02-02,1.551
2004-02-09,1.525
2004-02-16,1.544
2004-02-23,1.555
2004-03-01,1.579
2004-03-08,1.588
2004-03-15,1.582
2004-03-22,1.615
2004-03-29,1.616
2004-04-05,1.610
2004-04-12,1.631
2004-04-19,1.679
2004-04-26,1.670
2004-05-03,1.657
2004-05-10,1.667
2004-05-17,1.688
2004-05-24,1.687
2004-05-31,1.684
2004-06-07,1.675
2004-06-14,1.657
2004-06-21,1.652
2004-06-28,1.650
2004-07-05,1.670
2004-07-12,1.694
2004-07-19,1.699
2004-07-26,1.709
2004-08-02,1.738
2004-08-09,1.781
2004-08-16,1.797
2004-08-23,1.846
2004-08-30,1.844
2004-09-06,1.845
2004-09-13,1.847
2004-09-20,1.882
2004-09-27,1.982
2004-10-04,2.019
2004-10-11,2.055
2004-10-18,2.161
2004-10-25,2.185
2004-11-01,2.172
2004-11-08,2.123
2004-11-15,2.096
2004-11-22,2.083
2004-11-29,2.086
2004-12-06,2.033
2004-12-13,1.953
2004-12-20,1.944
2004-12-27,1.959
2005-01-03,1.929
2005-01-10,1.911
2005-01-17,1.928
2005-01-24,1.928
2005-01-31,1.954
2005-02-07,1.938
2005-02-14,1.935
2005-02-21,1.953
2005-02-28,2.064
2005-03-07,2.113
2005-03-14,2.140
2005-03-21,2.196
2005-03-28,2.203
2005-04-04,2.258
2005-04-11,2.263
2005-04-18,2.194
2005-04-25,2.230
2005-05-02,2.194
2005-05-09,2.157
2005-05-16,2.129
2005-05-23,2.097
2005-05-30,2.111
2005-06-06,2.198
2005-06-13,2.248
2005-06-20,2.294
2005-06-27,2.314
2005-07-04,2.328
2005-07-11,2.384
2005-07-18,2.361
2005-07-25,2.292
2005-08-01,2.292
2005-08-08,2.336
2005-08-15,2.524
2005-08-22,2.540
2005-08-29,2.532
2005-09-05,2.843
2005-09-12,2.782
2005-09-19,2.648
2005-09-26,2.739
2005-10-03,3.083
2005-10-10,3.123
2005-10-17,3.144
2005-10-24,3.235
2005-10-31,2.907
2005-11-07,2.671
2005-11-14,2.575
2005-11-21,2.477
2005-11-28,2.442
2005-12-05,2.390
2005-12-12,2.409
2005-12-19,2.443
2005-12-26,2.420
2006-01-02,2.412
2006-01-09,2.451
2006-01-16,2.408
2006-01-23,2.423
2006-01-30,2.431
2006-02-06,2.445
2006-02-13,2.419
2006-02-20,2.398
2006-02-27,2.417
2006-03-06,2.500
2006-03-13,2.491
2006-03-20,2.533
2006-03-27,2.523
2006-04-03,2.578
2006-04-10,2.614
2006-04-17,2.735
2006-04-24,2.847
2006-05-01,2.853
2006-05-08,2.841
2006-05-15,2.870
2006-05-22,2.836
2006-05-29,2.824
2006-06-05,2.837
2006-06-12,2.874
2006-06-19,2.873
2006-06-26,2.819
2006-07-03,2.887
2006-07-10,2.919
2006-07-17,2.927
2006-07-24,2.951
2006-07-31,2.988
2006-08-07,3.070
2006-08-14,3.065
2006-08-21,3.041
2006-08-28,3.026
2006-09-04,2.937
2006-09-11,2.787
2006-09-18,2.624
2006-09-25,2.506
2006-10-02,2.467
2006-10-09,2.448
2006-10-16,2.459
2006-10-23,2.502
2006-10-30,2.501
2006-11-06,2.493
2006-11-13,2.562
2006-11-20,2.554
2006-11-27,2.554
2006-12-04,2.578
2006-12-11,2.563
2006-12-18,2.555
2006-12-25,2.550
2007-01-01,2.534
2007-01-08,2.483
2007-01-15,2.408
2007-01-22,2.371
2007-01-29,2.349
2007-02-05,2.377
2007-02-12,2.429
2007-02-19,2.444
2007-02-26,2.523
2007-03-05,2.606
2007-03-12,2.673
2007-03-19,2.666
2007-03-26,2.655
2007-04-02,2.780
2007-04-09,2.835
2007-04-16,2.864
2007-04-23,2.831
2007-04-30,2.775
2007-05-07,2.754
2007-05-14,2.740
2007-05-21,2.773
2007-05-28,2.783
2007-06-04,2.764
2007-06-11,2.753
2007-06-18,2.774
2007-06-25,2.806
2007-07-02,2.805
2007-07-09,2.822
2007-07-16,2.878
2007-07-23,2.882
2007-07-30,2.885
2007-08-06,2.887
2007-08-13,2.835
2007-08-20,2.864
2007-08-27,2.870
2007-09-03,2.910
2007-09-10,2.942
2007-09-17,2.984
2007-09-24,3.054
2007-10-01,3.061
2007-10-08,3.028
2007-10-15,3.025
2007-10-22,3.067
2007-10-29,3.122
2007-11-05,3.278
2007-11-12,3.403
2007-11-19,3.389
2007-11-26,3.423
2007-12-03,3.385
2007-12-10,3.276
2007-12-17,3.271
2007-12-24,3.277
2007-12-31,3.309
2008-01-07,3.345
2008-01-14,3.288
2008-01-21,3.228
2008-01-28,3.218
2008-02-04,3.243
2008-02-11,3.249
2008-02-18,3.365
2008-02-25,3.525
2008-03-03,3.639
2008-03-10,3.784
2008-03-17,3.958
2008-03-24,3.964
2008-03-31,3.929
2008-04-07,3.917
2008-04-14,4.013
2008-04-21,4.098
2008-04-28,4.133
2008-05-05,4.101
2008-05-12,4.298
2008-05-19,4.463
2008-05-26,4.667
2008-06-02,4.643
2008-06-09,4.615
2008-06-16,4.618
2008-06-23,4.574
2008-06-30,4.571
2008-07-07,4.654
2008-07-14,4.698
2008-07-21,4.649
2008-07-28,4.518
2008-08-04,4.419
2008-08-11,4.267
2008-08-18,4.130
2008-08-25,4.073
2008-09-01,4.066
2008-09-08,4.015
2008-09-15,3.973
2008-09-22,3.931
2008-09-29,3.936
2008-10-06,3.858
2008-10-13,3.641
2008-10-20,3.447
2008-10-27,3.244
2008-11-03,3.018
2008-11-10,2.888
2008-11-17,2.764
2008-11-24,2.624
2008-12-01,2.578
2008-12-08,2.491
2008-12-15,2.406
2008-12-22,2.359
2008-12-29,2.314
2009-01-05,2.272
2009-01-12,2.289
2009-01-19,2.264
2009-01-26,2.232
2009-02-02,2.201
2009-02-09,2.173
2009-02-16,2.137
2009-02-23,2.071
2009-03-02,2.030
2009-03-09,1.988
2009-03-16,1.965
2009-03-23,2.038
2009-03-30,2.176
2009-04-06,2.178
2009-04-13,2.175
2009-04-20,2.166
2009-04-27,2.142
2009-05-04,2.124
2009-05-11,2.156
2009-05-18,2.170
2009-05-25,2.229
2009-06-01,2.322
2009-06-08,2.474
2009-06-15,2.546
2009-06-22,2.587
2009-06-29,2.578
2009-07-06,2.565
2009-07-13,2.512
2009-07-20,2.470
2009-07-27,2.500
2009-08-03,2.520
2009-08-10,2.601
2009-08-17,2.623
2009-08-24,2.637
2009-08-31,2.649
2009-09-07,2.628
2009-09-14,2.607
2009-09-21,2.598
2009-09-28,2.585
2009-10-05,2.561
2009-10-12,2.581
2009-10-19,2.693
2009-10-26,2.790
2009-11-02,2.786
2009-11-09,2.779
2009-11-16,2.769
2009-11-23,2.762
2009-11-30,2.748
2009-12-07,2.742
2009-12-14,2.720
2009-12-21,2.708
2009-12-28,2.707
2010-01-04,2.771
2010-01-11,2.844
2010-01-18,2.834
2010-01-25,2.790
2010-02-01,2.731
2010-02-08,2.724
2010-02-15,2.705
2010-02-22,2.794
2010-03-01,2.825
2010-03-08,2.871
2010-03-15,2.895
2010-03-22,2.922
2010-03-29,2.910
2010-04-05,2.989
2010-04-12,3.045
2010-04-19,3.044
2010-04-26,3.053
2010-05-03,3.096
2010-05-10,3.102
2010-05-17,3.067
2010-05-24,2.985
2010-05-31,2.940
2010-06-07,2.904
2010-06-14,2.892
2010-06-21,2.936
2010-06-28,2.930
2010-07-05,2.890
2010-07-12,2.865
2010-07-19,2.866
2010-07-26,2.891
2010-08-02,2.900
2010-08-09,2.966
2010-08-16,2.953
2010-08-23,2.927
2010-08-30,2.909
2010-09-06,2.900
2010-09-13,2.920
2010-09-20,2.944
2010-09-27,2.928
