DATE,HBUSAPPWNSAUS
2006-01-07,22590
2006-01-14,23160
2006-01-21,37470
2006-01-28,30740
2006-02-04,35700
2006-02-11,36190
2006-02-18,34940
2006-02-25,33390
2006-03-04,29860
2006-03-11,36010
2006-03-18,34810
2006-03-25,36380
2006-04-01,35280
2006-04-08,35140
2006-04-15,33340
2006-04-22,30510
2006-04-29,30340
2006-05-06,33750
2006-05-13,34190
2006-05-20,31980
2006-05-27,31160
2006-06-03,30430
2006-06-10,22920
2006-06-17,30630
2006-06-24,30890
2006-07-01,29040
2006-07-08,28910
2006-07-15,20300
2006-07-22,29230
2006-07-29,28530
2006-08-05,28080
2006-08-12,27870
2006-08-19,27980
2006-08-26,27810
2006-09-02,28470
2006-09-09,27640
2006-09-16,21130
2006-09-23,27570
2006-09-30,27730
2006-10-07,28340
2006-10-14,28040
2006-10-21,21640
2006-10-28,25930
2006-11-04,26560
2006-11-11,26230
2006-11-18,20860
2006-11-25,29290
2006-12-02,20390
2006-12-09,25370
2006-12-16,26110
2006-12-23,26650
2006-12-30,35470
2007-01-06,24360
2007-01-13,10690
2007-01-20,44800
2007-01-27,30390
2007-02-03,35780
2007-02-10,35550
2007-02-17,32980
2007-02-24,30980
2007-03-03,26070
2007-03-10,34920
2007-03-17,38030
2007-03-24,34460
2007-03-31,33870
2007-04-07,32970
2007-04-14,31880
2007-04-21,29940
2007-04-28,30720
2007-05-05,33300
2007-05-12,32500
2007-05-19,30740
2007-05-26,31160
2007-06-02,31440
2007-06-09,23950
2007-06-16,31090
2007-06-23,29170
2007-06-30,29000
2007-07-07,29490
2007-07-14,22460
2007-07-21,27800
2007-07-28,28950
2007-08-04,26690
2007-08-11,30620
2007-08-18,28090
2007-08-25,26410
2007-09-01,27910
2007-09-08,28710
2007-09-15,19540
2007-09-22,27900
2007-09-29,31370
2007-10-06,27390
2007-10-13,27370
2007-10-20,21300
2007-10-27,24770
2007-11-03,25020
2007-11-10,24350
2007-11-17,23680
2007-11-24,21160
2007-12-01,16670
2007-12-08,22750
2007-12-15,23320
2007-12-22,23560
2007-12-29,25420
2008-01-05,16630
2008-01-12,17700
2008-01-19,30730
2008-01-26,30550
2008-02-02,26740
2008-02-09,30410
2008-02-16,27980
2008-02-23,26810
2008-03-01,25470
2008-03-08,30150
2008-03-15,29190
2008-03-22,29000
2008-03-29,28150
2008-04-05,27240
2008-04-12,28200
