DATE,LTDACBW027SBOG
1973-01-03,93.1580
1973-01-10,93.9470
1973-01-17,94.1800
1973-01-24,94.8130
1973-01-31,95.1627
1973-02-07,96.2083
1973-02-14,96.9095
1973-02-21,97.7219
1973-02-28,98.9691
1973-03-07,100.2612
1973-03-14,101.4970
1973-03-21,101.9981
1973-03-28,102.7490
1973-04-04,103.0791
1973-04-11,103.9735
1973-04-18,103.8563
1973-04-25,104.3482
1973-05-02,104.6367
1973-05-09,105.8017
1973-05-16,106.1433
1973-05-23,106.9107
1973-05-30,107.2381
1973-06-06,107.1412
1973-06-13,107.3188
1973-06-20,106.6539
1973-06-27,107.3154
1973-07-04,107.4342
1973-07-11,107.7480
1973-07-18,108.6934
1973-07-25,110.0365
1973-08-01,111.1732
1973-08-08,112.4276
1973-08-15,113.5000
1973-08-22,114.3235
1973-08-29,114.9371
1973-09-05,114.9344
1973-09-12,115.0536
1973-09-19,115.3677
1973-09-26,115.5475
1973-10-03,115.0437
1973-10-10,114.9382
1973-10-17,115.0624
1973-10-24,115.3597
1973-10-31,115.0302
1973-11-07,114.1606
1973-11-14,113.7945
1973-11-21,113.9017
1973-11-28,113.9902
1973-12-05,113.9114
1973-12-12,114.9626
1973-12-19,114.7750
1973-12-26,115.4782
1974-01-02,115.8868
1974-01-09,116.7981
1974-01-16,117.2346
1974-01-23,118.1297
1974-01-30,118.5720
1974-02-06,118.4709
1974-02-13,118.6323
1974-02-20,118.6686
1974-02-27,119.0708
1974-03-06,119.2851
1974-03-13,119.8766
1974-03-20,119.9737
1974-03-27,120.9418
1974-04-03,122.1747
1974-04-10,123.6283
1974-04-17,124.2869
1974-04-24,125.6204
1974-05-01,126.0154
1974-05-08,127.1730
1974-05-15,127.8277
1974-05-22,129.2411
1974-05-29,129.7272
1974-06-05,129.8391
1974-06-12,130.1444
1974-06-19,130.0952
1974-06-26,130.5416
1974-07-03,131.1099
1974-07-10,131.2972
1974-07-17,132.5805
1974-07-24,133.8044
1974-07-31,134.4704
1974-08-07,135.1365
1974-08-14,135.7328
1974-08-21,136.3175
1974-08-28,136.8159
1974-09-04,136.8096
1974-09-11,137.1454
1974-09-18,136.8394
1974-09-25,137.4503
1974-10-02,138.1140
1974-10-09,138.0262
1974-10-16,138.0919
1974-10-23,138.3564
1974-10-30,137.3798
1974-11-06,136.8653
1974-11-13,136.8064
1974-11-20,136.5380
1974-11-27,137.2422
1974-12-04,137.9116
1974-12-11,139.7242
1974-12-18,141.1880
1974-12-25,142.0455
1975-01-01,138.0979
1975-01-08,138.1602
1975-01-15,138.4850
1975-01-22,138.9510
1975-01-29,139.1994
1975-02-05,139.7765
1975-02-12,141.3245
1975-02-19,141.0266
1975-02-26,140.7838
1975-03-05,140.9985
1975-03-12,141.0940
1975-03-19,141.4013
1975-03-26,141.1405
1975-04-02,142.1539
1975-04-09,143.0048
1975-04-16,143.5349
1975-04-23,143.8193
1975-04-30,143.4264
1975-05-07,143.1557
1975-05-14,143.4802
1975-05-21,142.9670
1975-05-28,142.0814
1975-06-04,142.7277
1975-06-11,142.8959
1975-06-18,142.9764
1975-06-25,142.2770
1975-07-02,142.0819
1975-07-09,143.1041
1975-07-16,142.8877
1975-07-23,142.9506
1975-07-30,142.8185
1975-08-06,143.3372
1975-08-13,143.2764
1975-08-20,142.6353
1975-08-27,141.9820
1975-09-03,142.7621
1975-09-10,142.9380
1975-09-17,142.6283
1975-09-24,142.6030
1975-10-01,142.6170
1975-10-08,143.3667
1975-10-15,143.1101
1975-10-22,143.2415
1975-10-29,142.7407
1975-11-05,141.3920
1975-11-12,141.2157
1975-11-19,140.6123
