DATE,NONM1
1975-01-06,260.100
1975-01-13,260.900
1975-01-20,261.500
1975-01-27,262.400
1975-02-03,261.700
1975-02-10,262.800
1975-02-17,264.000
1975-02-24,265.600
1975-03-03,266.300
1975-03-10,267.300
1975-03-17,268.500
1975-03-24,269.400
1975-03-31,270.900
1975-04-07,271.500
1975-04-14,273.100
1975-04-21,274.400
1975-04-28,275.400
1975-05-05,275.800
1975-05-12,276.600
1975-05-19,277.200
1975-05-26,278.500
1975-06-02,279.600
1975-06-09,280.800
1975-06-16,282.600
1975-06-23,284.500
1975-06-30,286.000
1975-07-07,286.500
1975-07-14,287.600
1975-07-21,288.500
1975-07-28,289.300
1975-08-04,289.700
1975-08-11,290.100
1975-08-18,290.400
1975-08-25,291.100
1975-09-01,292.400
1975-09-08,292.600
1975-09-15,292.800
1975-09-22,293.300
1975-09-29,294.400
1975-10-06,294.200
1975-10-13,295.100
1975-10-20,296.100
1975-10-27,296.800
1975-11-03,296.800
1975-11-10,297.700
1975-11-17,298.700
1975-11-24,300.000
1975-12-01,300.800
1975-12-08,302.200
1975-12-15,303.200
1975-12-22,304.200
1975-12-29,305.000
1976-01-05,304.200
1976-01-12,306.100
1976-01-19,307.600
1976-01-26,309.600
1976-02-02,311.000
1976-02-09,312.400
1976-02-16,313.700
1976-02-23,314.400
1976-03-01,314.800
1976-03-08,314.900
1976-03-15,315.800
1976-03-22,316.100
1976-03-29,316.700
1976-04-05,316.600
1976-04-12,318.000
1976-04-19,319.100
1976-04-26,321.000
1976-05-03,322.000
1976-05-10,323.000
1976-05-17,324.000
1976-05-24,324.700
1976-05-31,324.900
1976-06-07,324.600
1976-06-14,324.700
1976-06-21,325.100
1976-06-28,325.800
1976-07-05,325.600
1976-07-12,327.100
1976-07-19,328.400
1976-07-26,329.700
1976-08-02,330.700
1976-08-09,331.500
1976-08-16,332.800
1976-08-23,334.100
1976-08-30,336.1
1976-09-06,337.400
1976-09-13,338.800
1976-09-20,340.000
1976-09-27,341.600
1976-10-04,342.200
1976-10-11,343.600
1976-10-18,345.400
1976-10-25,347.900
1976-11-01,349.2
1976-11-08,350.200
1976-11-15,350.900
1976-11-22,352.200
1976-11-29,353.500
1976-12-06,354.800
1976-12-13,356.600
1976-12-20,358.000
1976-12-27,358.300
1977-01-03,359.100
1977-01-10,360.400
1977-01-17,361.800
1977-01-24,363.600
1977-01-31,364.200
1977-02-07,364.400
1977-02-14,365.200
1977-02-21,366.100
1977-02-28,367.200
1977-03-07,368.000
1977-03-14,369.200
1977-03-21,370.200
1977-03-28,371.300
1977-04-04,371.900
1977-04-11,372.400
1977-04-18,373.300
1977-04-25,374.400
1977-05-02,374.800
1977-05-09,375.600
1977-05-16,376.100
1977-05-23,376.500
1977-05-30,377.100
1977-06-06,377.300
1977-06-13,377.700
1977-06-20,378.400
1977-06-27,379.000
1977-07-04,379.100
1977-07-11,379.600
1977-07-18,380.200
1977-07-25,380.900
1977-08-01,381.500
1977-08-08,381.300
1977-08-15,381.800
1977-08-22,382.000
1977-08-29,382.500
1977-09-05,382.500
1977-09-12,382.800
1977-09-19,382.600
1977-09-26,383.500
1977-10-03,383.500
1977-10-10,383.400
1977-10-17,383.700
1977-10-24,384.200
1977-10-31,384.100
1977-11-07,383.900
1977-11-14,384.600
1977-11-21,385.200
1977-11-28,385.600
1977-12-05,385.600
1977-12-12,385.900
1977-12-19,385.600
1977-12-26,386.700
1978-01-02,387.600
1978-01-09,387.400
1978-01-16,388.000
1978-01-23,388.300
1978-01-30,388.700
1978-02-06,388.500
1978-02-13,388.900
1978-02-20,389.700
1978-02-27,390.200
1978-03-06,390.300
1978-03-13,390.500
1978-03-20,390.900
1978-03-27,391.000
1978-04-03,391.300
1978-04-10,391.100
1978-04-17,391.900
1978-04-24,392.400
1978-05-01,392.200
1978-05-08,392.300
1978-05-15,392.900
1978-05-22,393.300
1978-05-29,394.300
1978-06-05,394.200
1978-06-12,394.200
1978-06-19,394.500
1978-06-26,395.700
1978-07-03,396.300
1978-07-10,395.100
1978-07-17,395.100
1978-07-24,395.400
1978-07-31,396.200
1978-08-07,395.800
1978-08-14,396.700
1978-08-21,396.600
1978-08-28,397.600
1978-09-04,399.000
1978-09-11,398.900
1978-09-18,399.700
1978-09-25,401.000
1978-10-02,402.200
1978-10-09,402.500
1978-10-16,401.600
1978-10-23,401.300
1978-10-30,401.800
1978-11-06,401.300
1978-11-13,401.800
1978-11-20,400.500
1978-11-27,402.100
1978-12-04,402.100
1978-12-11,400.600
1978-12-18,400.400
1978-12-25,401.700
1979-01-01,403.900
1979-01-08,402.400
1979-01-15,401.800
1979-01-22,401.700
1979-01-29,401.900
1979-02-05,401.400
1979-02-12,401.800
1979-02-19,401.900
1979-02-26,402.000
1979-03-05,401.800
1979-03-12,402.2
1979-03-19,402.700
1979-03-26,403.600
1979-04-02,404.300
1979-04-09,405.200
1979-04-16,405.900
1979-04-23,407.000
1979-04-30,407.200
1979-05-07,407.700
1979-05-14,408.000
1979-05-21,408.900
1979-05-28,410.000
1979-06-04,411.100
1979-06-11,412.100
1979-06-18,413.200
1979-06-25,414.100
1979-07-02,413.900
1979-07-09,414.900
1979-07-16,416.100
1979-07-23,417.300
1979-07-30,418.300
1979-08-06,419.000
1979-08-13,419.600
1979-08-20,421.000
1979-08-27,422.000
1979-09-03,422.000
1979-09-10,422.900
1979-09-17,423.000
1979-09-24,423.600
1979-10-01,424.200
1979-10-08,424.600
1979-10-15,424.600
1979-10-22,425.600
1979-10-29,426.200
1979-11-05,426.700
1979-11-12,427.400
1979-11-19,428.100
1979-11-26,428.600
1979-12-03,429.200
1979-12-10,430.100
1979-12-17,430.700
1979-12-24,431.300
1979-12-31,430.300
1980-01-07,430.300
1980-01-14,431.600
1980-01-21,432.300
1980-01-28,435.300
1980-02-04,475.600
1980-02-11,475.800
1980-02-18,478.000
1980-02-25,480.300
1980-03-03,482.300
