DATE,NUGACBW027SBOG
2009-07-01,-52.6962
2009-07-08,-45.8420
2009-07-15,-50.8012
2009-07-22,-48.7358
2009-07-29,-46.5679
2009-08-05,-41.1058
2009-08-12,-42.7470
2009-08-19,-39.6708
2009-08-26,-36.9589
2009-09-02,-30.0279
2009-09-09,-30.4986
2009-09-16,-30.6342
2009-09-23,-28.7736
2009-09-30,-14.3476
2009-10-07,-13.9013
2009-10-14,-14.8484
2009-10-21,-14.0084
2009-10-28,-11.2861
2009-11-04,-10.9516
2009-11-11,-10.3664
2009-11-18,-8.5505
2009-11-25,-4.6700
2009-12-02,-4.0214
2009-12-09,-2.9830
2009-12-16,-5.0734
2009-12-23,-6.9127
2009-12-30,-7.2016
2010-01-06,-13.0852
2010-01-13,-10.6165
2010-01-20,-8.9205
2010-01-27,-6.8390
2010-02-03,-2.5479
2010-02-10,-3.5984
2010-02-17,-4.0679
2010-02-24,-3.0898
2010-03-03,-1.5958
2010-03-10,-2.6917
2010-03-17,-1.2770
2010-03-24,-2.1134
2010-03-31,-2.4158
2010-04-07,-4.8863
2010-04-14,-5.2535
2010-04-21,-1.9329
2010-04-28,-0.3334
2010-05-05,3.9195
2010-05-12,3.2813
2010-05-19,7.6725
2010-05-26,8.7257
2010-06-02,5.0772
2010-06-09,7.9682
2010-06-16,6.5007
2010-06-23,10.9904
2010-06-30,13.4799
2010-07-07,13.6292
2010-07-14,13.2463
2010-07-21,15.9238
2010-07-28,15.9557
2010-08-04,20.1169
2010-08-11,19.3115
2010-08-18,19.0884
2010-08-25,21.4603
2010-09-01,16.3172
2010-09-08,17.2873
2010-09-15,17.5999
2010-09-22,20.0572
2010-09-29,21.3093
2010-10-06,19.1935
2010-10-13,19.5409
2010-10-20,20.8421
2010-10-27,19.682
2010-11-03,21.3813
2010-11-10,18.6979
2010-11-17,17.4227
2010-11-24,18.8826
2010-12-01,9.3176
2010-12-08,6.6449
2010-12-15,2.0555
2010-12-22,6.1939
2010-12-29,7.1318
2011-01-05,-1.7347
2011-01-12,-0.014
2011-01-19,0.3903
2011-01-26,0.97
2011-02-02,-2.2053
2011-02-09,-3.368
2011-02-16,-2.9482
2011-02-23,1.7323
2011-03-02,-1.3431
2011-03-09,-0.5622
2011-03-16,2.8177
2011-03-23,1.5186
2011-03-30,-0.0153
2011-04-06,-0.9014
2011-04-13,0.7404
2011-04-20,3.3982
2011-04-27,6.2748
2011-05-04,11.8439
2011-05-11,12.2682
2011-05-18,13.3651
2011-05-25,16.2929
2011-06-01,17.2464
2011-06-08,19.7362
2011-06-15,18.0488
2011-06-22,20.1463
2011-06-29,18.1163
2011-07-06,15.0970
2011-07-13,17.5293
2011-07-20,18.1508
2011-07-27,17.7273
2011-08-03,23.9584
2011-08-10,29.7873
2011-08-17,29.1802
2011-08-24,22.8027
2011-08-31,24.6929
2011-09-07,29.1209
2011-09-14,29.4331
2011-09-21,33.4909
2011-09-28,31.8613
2011-10-05,26.7542
2011-10-12,20.0753
2011-10-19,20.8276
2011-10-26,21.3954
2011-11-02,23.3544
2011-11-09,22.6178
2011-11-16,21.4628
2011-11-23,23.9801
2011-11-30,21.13
2011-12-07,20.3339
2011-12-14,21.8722
2011-12-21,21.923
2011-12-28,22.5774
2012-01-04,20.3279
2012-01-11,23.4575
2012-01-18,24.755
2012-01-25,24.1316
2012-02-01,26.8654
2012-02-08,27.839
2012-02-15,28.8455
2012-02-22,28.4934
2012-02-29,29.32
2012-03-07,27.7858
2012-03-14,23.9125
2012-03-21,24.5175
2012-03-28,26.2861
2012-04-04,24.7351
2012-04-11,29.6099
2012-04-18,31.1301
2012-04-25,31.1427
2012-05-02,31.6759
2012-05-09,34.4585
2012-05-16,35.4509
2012-05-23,36.5648
2012-05-30,39.1904
2012-06-06,32.3957
2012-06-13,32.9476
2012-06-20,32.4838
2012-06-27,37.9593
2012-07-04,30.7499
2012-07-11,34.3131
2012-07-18,35.9270
2012-07-25,39.5508
2012-08-01,36.9068
2012-08-08,36.3126
2012-08-15,33.5784
2012-08-22,35.2936
2012-08-29,38.0417
2012-09-05,38.5494
2012-09-12,37.1951
2012-09-19,37.9255
2012-09-26,43.0518
2012-10-03,43.7539
2012-10-10,42.1312
2012-10-17,40.3502
2012-10-24,42.4880
2012-10-31,42.1761
2012-11-07,41.6183
2012-11-14,41.6222
2012-11-21,41.1768
2012-11-28,43.5037
2012-12-05,43.1116
2012-12-12,40.8383
2012-12-19,37.9166
2012-12-26,40.2611
2013-01-02,37.2554
2013-01-09,38.3648
2013-01-16,38.8324
2013-01-23,39.7793
2013-01-30,36.5021
2013-02-06,34.5911
2013-02-13,32.7249
2013-02-20,32.9138
2013-02-27,36.2080
2013-03-06,33.3874
2013-03-13,31.2887
2013-03-20,32.5368
2013-03-27,35.2528
2013-04-03,34.7572
2013-04-10,34.8203
2013-04-17,36.1034
2013-04-24,37.9649
2013-05-01,38.1118
2013-05-08,37.1649
2013-05-15,34.5563
2013-05-22,32.8460
2013-05-29,30.2821
2013-06-05,18.6608
2013-06-12,17.2889
2013-06-19,15.2457
2013-06-26,6.1717
2013-07-03,-5.5081
2013-07-10,-7.5754
2013-07-17,-3.1758
2013-07-24,-4.9687
2013-07-31,-6.5635
2013-08-07,-6.2772
2013-08-14,-9.0186
2013-08-21,-15.9843
2013-08-28,-13.2525
2013-09-04,-19.8596
2013-09-11,-17.7683
2013-09-18,-9.8676
2013-09-25,-4.4970
2013-10-02,-1.8616
2013-10-09,-4.4127
2013-10-16,-3.7102
2013-10-23,2.0729
2013-10-30,3.3844
2013-11-06,1.3220
2013-11-13,-1.4514
2013-11-20,-0.9157
2013-11-27,-0.7263
2013-12-04,-8.1432
2013-12-11,-5.2265
2013-12-18,-8.3251
2013-12-25,-10.1953
2014-01-01,-12.0092
