DATE,NUGLCBW027NBOG
1996-10-02,0.1118
1996-10-09,-0.0552
1996-10-16,0.2152
1996-10-23,-0.0224
1996-10-30,-0.0704
1996-11-06,0.9266
1996-11-13,0.7248
1996-11-20,0.7856
1996-11-27,0.7863
1996-12-04,1.5263
1996-12-11,1.3361
1996-12-18,1.5347
1996-12-25,1.4875
1997-01-01,0.6949
1997-01-08,0.6210
1997-01-15,0.8615
1997-01-22,0.9102
1997-01-29,0.8197
1997-02-05,0.5961
1997-02-12,1.0748
1997-02-19,0.8845
1997-02-26,0.9155
1997-03-05,0.6948
1997-03-12,0.9326
1997-03-19,0.8261
1997-03-26,0.7702
1997-04-02,-0.3628
1997-04-09,-0.3753
1997-04-16,-0.1080
1997-04-23,-0.2708
1997-04-30,0.0898
1997-05-07,0.0305
1997-05-14,0.0991
1997-05-21,0.1189
1997-05-28,0.1449
1997-06-04,0.3169
1997-06-11,0.3536
1997-06-18,0.3736
1997-06-25,0.4118
1997-07-02,1.0370
1997-07-09,1.1197
1997-07-16,1.1303
1997-07-23,1.0797
1997-07-30,1.0778
1997-08-06,2.4919
1997-08-13,2.2641
1997-08-20,2.3956
1997-08-27,2.2931
1997-09-03,1.6899
1997-09-10,1.7405
1997-09-17,1.7497
1997-09-24,1.7602
1997-10-01,2.5712
1997-10-08,2.8686
1997-10-15,2.5678
1997-10-22,2.3405
1997-10-29,2.2798
1997-11-05,2.8307
1997-11-12,2.2957
1997-11-19,2.4442
1997-11-26,2.4179
1997-12-03,1.7640
1997-12-10,1.7753
1997-12-17,1.8157
1997-12-24,1.7877
1997-12-31,2.4802
1998-01-07,2.3438
1998-01-14,2.3291
1998-01-21,2.3177
1998-01-28,2.2625
1998-02-04,2.4965
1998-02-11,2.3432
1998-02-18,2.3534
1998-02-25,2.2984
1998-03-04,1.7034
1998-03-11,1.9304
1998-03-18,1.9475
1998-03-25,1.9882
1998-04-01,1.7486
1998-04-08,2.0918
1998-04-15,2.1795
1998-04-22,1.8020
1998-04-29,1.7756
1998-05-06,1.6479
1998-05-13,1.6888
1998-05-20,1.6398
1998-05-27,1.6492
1998-06-03,2.4242
1998-06-10,2.1749
1998-06-17,2.1469
1998-06-24,2.1458
1998-07-01,2.0777
1998-07-08,2.4803
1998-07-15,2.2797
1998-07-22,2.4545
1998-07-29,2.1926
1998-08-05,1.5903
1998-08-12,1.6988
1998-08-19,1.7037
1998-08-26,1.9453
1998-09-02,2.6615
1998-09-09,2.3814
1998-09-16,2.2209
1998-09-23,2.3352
1998-09-30,3.6118
1998-10-07,4.0374
1998-10-14,3.6397
1998-10-21,3.5959
1998-10-28,3.5662
1998-11-04,1.3790
1998-11-11,1.6057
1998-11-18,1.7632
1998-11-25,1.8107
1998-12-02,1.4855
1998-12-09,1.6898
1998-12-16,1.6616
1998-12-23,1.6669
1998-12-30,1.4243
1999-01-06,2.2064
1999-01-13,2.2073
1999-01-20,1.5297
1999-01-27,1.6031
1999-02-03,1.6495
1999-02-10,1.3826
1999-02-17,1.2231
1999-02-24,1.0361
1999-03-03,-1.6416
1999-03-10,-1.1634
1999-03-17,-1.0649
1999-03-24,-1.0628
1999-03-31,-0.7917
1999-04-07,-0.8101
1999-04-14,-0.4569
1999-04-21,-0.4688
1999-04-28,-0.5655
1999-05-05,-0.9270
1999-05-12,-0.9438
1999-05-19,-0.9652
1999-05-26,-0.8248
1999-06-02,-2.7694
1999-06-09,-2.7983
1999-06-16,-2.9127
1999-06-23,-2.9103
1999-06-30,-4.0612
1999-07-07,-4.8912
1999-07-14,-4.4050
1999-07-21,-4.4373
1999-07-28,-5.3121
1999-08-04,-5.7697
1999-08-11,-5.9512
1999-08-18,-5.7587
1999-08-25,-5.6159
1999-09-01,-6.8872
1999-09-08,-6.7149
1999-09-15,-6.5570
1999-09-22,-6.6201
1999-09-29,-6.5012
1999-10-06,-7.4566
1999-10-13,-7.7480
1999-10-20,-7.7416
1999-10-27,-6.8850
1999-11-03,-7.3038
1999-11-10,-7.1513
1999-11-17,-7.2181
1999-11-24,-7.2618
1999-12-01,-7.9314
1999-12-08,-7.6372
1999-12-15,-7.6853
1999-12-22,-7.8677
