DATE,PAICLAIMS
1986-02-15,24335
1986-02-22,23417
1986-03-01,23330
1986-03-08,23466
1986-03-15,21969
1986-03-22,22299
1986-03-29,22445
1986-04-05,20082
1986-04-12,26530
1986-04-19,22922
1986-04-26,23397
1986-05-03,21726
1986-05-10,20967
1986-05-17,20246
1986-05-24,20595
1986-05-31,19477
1986-06-07,23022
1986-06-14,22572
1986-06-21,21884
1986-06-28,20800
1986-07-05,31743
1986-07-12,26336
1986-07-19,24422
1986-07-26,22273
1986-08-02,21205
1986-08-09,21290
1986-08-16,20486
1986-08-23,18752
1986-08-30,18517
1986-09-06,19384
1986-09-13,21398
1986-09-20,19158
1986-09-27,18848
1986-10-04,19724
1986-10-11,23058
1986-10-18,19112
1986-10-25,19966
1986-11-01,19905
1986-11-08,23224
1986-11-15,22246
1986-11-22,24630
1986-11-29,22806
1986-12-06,30578
1986-12-13,27678
1986-12-20,24885
1986-12-27,33184
1987-01-03,37649
1987-01-10,49088
1987-01-17,41884
1987-01-24,24418
1987-01-31,30559
1987-02-07,28976
1987-02-14,21421
1987-02-21,20557
1987-02-28,19633
1987-03-07,19689
1987-03-14,17971
1987-03-21,17480
1987-03-28,16516
1987-04-04,18679
1987-04-11,24677
1987-04-18,20800
1987-04-25,16850
1987-05-02,19795
1987-05-09,18528
1987-05-16,16479
1987-05-23,16356
1987-05-30,15346
1987-06-06,18515
1987-06-13,18306
1987-06-20,18417
1987-06-27,16777
1987-07-04,23673
1987-07-11,22901
1987-07-18,20976
1987-07-25,17194
1987-08-01,16497
1987-08-08,16028
1987-08-15,14471
1987-08-22,13942
1987-08-29,14339
1987-09-05,14824
1987-09-12,12728
1987-09-19,14627
1987-09-26,13707
1987-10-03,14198
1987-10-10,17188
1987-10-17,14063
1987-10-24,14782
1987-10-31,16052
1987-11-07,16925
1987-11-14,17497
1987-11-21,21467
1987-11-28,19505
1987-12-05,25643
1987-12-12,23768
1987-12-19,20546
1987-12-26,30697
1988-01-02,33194
1988-01-09,38797
1988-01-16,37561
1988-01-23,23728
1988-01-30,24309
1988-02-06,24043
1988-02-13,21887
1988-02-20,16850
1988-02-27,17747
1988-03-05,17447
1988-03-12,17410
1988-03-19,15966
1988-03-26,15583
1988-04-02,15715
1988-04-09,20301
1988-04-16,17469
1988-04-23,15605
1988-04-30,14245
1988-05-07,15234
1988-05-14,14842
1988-05-21,15770
1988-05-28,17151
1988-06-04,14859
1988-06-11,17455
1988-06-18,15417
1988-06-25,15151
1988-07-02,15374
1988-07-09,20936
1988-07-16,22218
1988-07-23,17150
1988-07-30,15883
1988-08-06,15404
1988-08-13,13753
1988-08-20,13597
1988-08-27,12740
1988-09-03,12594
1988-09-10,12002
1988-09-17,12907
1988-09-24,12108
1988-10-01,12439
1988-10-08,15745
1988-10-15,13221
1988-10-22,14251
1988-10-29,14486
1988-11-05,17587
1988-11-12,18088
1988-11-19,14917
1988-11-26,17401
1988-12-03,23265
1988-12-10,23133
1988-12-17,21582
1988-12-24,25844
1988-12-31,42736
1989-01-07,35045
1989-01-14,33224
1989-01-21,20831
1989-01-28,20759
1989-02-04,20080
1989-02-11,20107
1989-02-18,18902
1989-02-25,16941
1989-03-04,17295
1989-03-11,18310
1989-03-18,16703
1989-03-25,15482
1989-04-01,16344
1989-04-08,21451
1989-04-15,15936
1989-04-22,14179
1989-04-29,15087
1989-05-06,17812
1989-05-13,19535
1989-05-20,19000
1989-05-27,16373
1989-06-03,14955
1989-06-10,18698
1989-06-17,20519
1989-06-24,18734
1989-07-01,18537
1989-07-08,25738
1989-07-15,23527
1989-07-22,18560
1989-07-29,17291
1989-08-05,17938
1989-08-12,15446
1989-08-19,15061
1989-08-26,14685
1989-09-02,15669
1989-09-09,14656
1989-09-16,15313
1989-09-23,15581
1989-09-30,16170
1989-10-07,19808
1989-10-14,15518
1989-10-21,20965
1989-10-28,20215
1989-11-04,20818
1989-11-11,17936
1989-11-18,22376
1989-11-25,24470
1989-12-02,27423
1989-12-09,26395
1989-12-16,25771
1989-12-23,33575
1989-12-30,42161
1990-01-06,32581
1990-01-13,39416
1990-01-20,25197
1990-01-27,23671
1990-02-03,23586
1990-02-10,23005
1990-02-17,20644
1990-02-24,19495
1990-03-03,21361
1990-03-10,21422
1990-03-17,19130
1990-03-24,18354
1990-03-31,18160
1990-04-07,24482
1990-04-14,21073
1990-04-21,18675
1990-04-28,17485
1990-05-05,18945
1990-05-12,17780
1990-05-19,18014
1990-05-26,18552
1990-06-02,17829
1990-06-09,21532
1990-06-16,20220
1990-06-23,19693
1990-06-30,18561
1990-07-07,28385
1990-07-14,26150
1990-07-21,20777
1990-07-28,18733
1990-08-04,18981
1990-08-11,18553
1990-08-18,16754
1990-08-25,19571
1990-09-01,19886
1990-09-08,19344
1990-09-15,18164
1990-09-22,17621
1990-09-29,17718
1990-10-06,20902
1990-10-13,22173
1990-10-20,21069
1990-10-27,22426
1990-11-03,23847
1990-11-10,25131
1990-11-17,23981
1990-11-24,27863
1990-12-01,30951
1990-12-08,32032
1990-12-15,27771
1990-12-22,35120
1990-12-29,41790
1991-01-05,40959
1991-01-12,48439
1991-01-19,39715
1991-01-26,30219
1991-02-02,31362
1991-02-09,31731
1991-02-16,27605
1991-02-23,24729
1991-03-02,26400
1991-03-09,27329
1991-03-16,24142
1991-03-23,23858
1991-03-30,25401
1991-04-06,25995
1991-04-13,26949
1991-04-20,23248
1991-04-27,24521
1991-05-04,24511
1991-05-11,23064
1991-05-18,20588
1991-05-25,21352
1991-06-01,20345
1991-06-08,24401
