DATE,TNMACBW027SBOG
2009-07-01,350.7704
2009-07-08,358.9135
2009-07-15,368.104
2009-07-22,367.3094
2009-07-29,373.6373
2009-08-05,387.9336
2009-08-12,398.4718
2009-08-19,405.9067
2009-08-26,408.0842
2009-09-02,411.9674
2009-09-09,412.5408
2009-09-16,409.5583
2009-09-23,416.017
2009-09-30,415.2961
2009-10-07,409.3394
2009-10-14,408.0886
2009-10-21,412.4374
2009-10-28,412.7687
2009-11-04,414.5091
2009-11-11,420.6131
2009-11-18,423.4845
2009-11-25,426.6801
2009-12-02,434.1305
2009-12-09,448.4172
2009-12-16,446.0832
2009-12-23,439.2543
2009-12-30,448.3594
2010-01-06,443.6321
2010-01-13,441.8544
2010-01-20,448.1488
2010-01-27,453.2547
2010-02-03,453.4286
2010-02-10,452.7477
2010-02-17,455.2578
2010-02-24,456.0037
2010-03-03,448.5388
2010-03-10,457.4335
2010-03-17,471.2593
2010-03-24,475.5154
2010-03-31,487.1222
2010-04-07,494.1349
2010-04-14,495.1691
2010-04-21,499.2044
2010-04-28,502.119
2010-05-05,494.5149
2010-05-12,492.5009
2010-05-19,498.6275
2010-05-26,488.3517
2010-06-02,488.3163
2010-06-09,491.276
2010-06-16,488.8068
2010-06-23,495.9369
2010-06-30,505.2589
2010-07-07,508.4354
2010-07-14,512.0945
2010-07-21,517.5616
2010-07-28,521.9276
2010-08-04,525.5887
2010-08-11,532.3123
2010-08-18,534.5201
2010-08-25,540.8932
2010-09-01,545.4938
2010-09-08,546.647
2010-09-15,550.7338
2010-09-22,557.8411
2010-09-29,545.5827
2010-10-06,549.6982
2010-10-13,557.6277
2010-10-20,552.3604
2010-10-27,543.1533
2010-11-03,544.6053
2010-11-10,539.2438
2010-11-17,533.7217
2010-11-24,536.3782
2010-12-01,537.1199
2010-12-08,538.136
2010-12-15,526.4985
2010-12-22,525.8629
2010-12-29,531.3089
2011-01-05,525.6353
2011-01-12,534.7816
2011-01-19,536.0248
2011-01-26,533.3069
2011-02-02,528.4375
2011-02-09,532.5867
2011-02-16,530.3814
2011-02-23,522.1921
2011-03-02,521.375
2011-03-09,525.4629
2011-03-16,529.4946
2011-03-23,526.4041
2011-03-30,524.1754
2011-04-06,529.2543
2011-04-13,524.7297
2011-04-20,523.5203
2011-04-27,521.1302
2011-05-04,516.2297
2011-05-11,520.2541
2011-05-18,513.0476
2011-05-25,511.5901
2011-06-01,514.601
2011-06-08,509.1391
2011-06-15,507.1382
2011-06-22,495.987
2011-06-29,488.3403
2011-07-06,486.8334
2011-07-13,488.3002
2011-07-20,487.0422
2011-07-27,486.748
2011-08-03,481.5681
2011-08-10,486.0165
2011-08-17,486.1755
2011-08-24,482.0739
2011-08-31,475.9218
2011-09-07,477.5687
2011-09-14,471.5291
2011-09-21,471.2612
2011-09-28,469.5646
2011-10-05,462.5504
2011-10-12,465.2448
2011-10-19,461.0277
2011-10-26,465.3113
2011-11-02,464.1094
2011-11-09,457.4089
2011-11-16,460.6232
2011-11-23,462.2882
2011-11-30,453.6204
2011-12-07,448.9972
2011-12-14,446.8755
2011-12-21,446.7662
2011-12-28,446.6265
2012-01-04,448.7058
2012-01-11,452.5157
2012-01-18,454.6852
2012-01-25,454.4159
2012-02-01,449.2714
2012-02-08,449.49
2012-02-15,455.3571
2012-02-22,459.6451
2012-02-29,466.1418
2012-03-07,453.2969
2012-03-14,453.3362
2012-03-21,458.496
2012-03-28,464.7221
2012-04-04,459.9544
2012-04-11,456.9566
2012-04-18,461.9912
2012-04-25,462.94
2012-05-02,462.6885
2012-05-09,466.4123
2012-05-16,466.7242
2012-05-23,473.4758
2012-05-30,472.6011
2012-06-06,466.5161
2012-06-13,464.4942
2012-06-20,466.4041
2012-06-27,485.957
2012-07-04,489.1962
2012-07-11,501.4556
2012-07-18,499.7003
2012-07-25,502.0076
2012-08-01,501.9338
2012-08-08,503.7769
2012-08-15,508.6727
2012-08-22,502.0849
2012-08-29,504.1651
2012-09-05,502.9671
2012-09-12,503.5271
2012-09-19,507.8338
2012-09-26,509.0289
2012-10-03,505.6355
2012-10-10,511.0293
2012-10-17,515.5081
2012-10-24,520.6682
2012-10-31,519.5573
2012-11-07,518.9367
2012-11-14,517.9915
2012-11-21,528.0627
2012-11-28,528.8768
2012-12-05,524.2551
2012-12-12,524.8603
2012-12-19,537.5993
2012-12-26,532.8564
2013-01-02,526.9915
2013-01-09,528.2824
2013-01-16,522.9756
2013-01-23,521.2581
2013-01-30,518.0058
2013-02-06,517.4707
2013-02-13,519.9376
2013-02-20,518.2857
2013-02-27,514.7686
2013-03-06,511.2367
2013-03-13,514.4902
2013-03-20,511.5698
2013-03-27,509.7578
2013-04-03,510.4971
2013-04-10,509.5295
2013-04-17,512.3008
2013-04-24,505.7341
2013-05-01,497.8922
2013-05-08,496.5114
2013-05-15,491.4803
2013-05-22,489.6766
2013-05-29,489.9581
2013-06-05,491.653
2013-06-12,488.7148
2013-06-19,483.82
2013-06-26,489.0134
2013-07-03,477.7077
2013-07-10,470.4895
2013-07-17,473.0283
2013-07-24,471.8227
2013-07-31,467.1061
2013-08-07,468.2335
2013-08-14,467.8502
2013-08-21,470.1879
2013-08-28,468.5636
2013-09-04,466.2166
2013-09-11,468.9593
2013-09-18,470.5426
2013-09-25,464.1181
2013-10-02,468.8525
2013-10-09,472.0344
2013-10-16,469.5502
2013-10-23,468.4707
2013-10-30,470.1652
2013-11-06,467.5966
2013-11-13,470.3581
2013-11-20,479.2364
2013-11-27,480.2629
2013-12-04,476.714
2013-12-11,477.9407
2013-12-18,484.364
2013-12-25,487.7923
2014-01-01,483.5413
2014-01-08,485.8737
2014-01-15,484.0988
2014-01-22,484.966
2014-01-29,489.6646
2014-02-05,489.3987
2014-02-12,489.0573
2014-02-19,495.5489
2014-02-26,497.5189
2014-03-05,498.9016
2014-03-12,504.8997
2014-03-19,509.3676
2014-03-26,518.5526
2014-04-02,518.4689
2014-04-09,520.0967
2014-04-16,519.1012
2014-04-23,529.7915
2014-04-30,530.8762
2014-05-07,541.8437
2014-05-14,538.3384
2014-05-21,541.5019
2014-05-28,543.1707
2014-06-04,546.1464
2014-06-11,549.9722
2014-06-18,551.6487
2014-06-25,554.3529
2014-07-02,566.4784
2014-07-09,574.6011
2014-07-16,572.632
2014-07-23,574.8442
2014-07-30,580.275
2014-08-06,582.1196
2014-08-13,579.9495
2014-08-20,584.0002
2014-08-27,588.5285
2014-09-03,598.1618
2014-09-10,605.2446
2014-09-17,607.1547
2014-09-24,609.8947
2014-10-01,612.3322
2014-10-08,616.016
2014-10-15,608.9648
2014-10-22,600.0333
2014-10-29,599.7818
2014-11-05,604.758
2014-11-12,609.0038
2014-11-19,614.5938
2014-11-26,614.849
2014-12-03,630.2112
2014-12-10,640.0158
2014-12-17,638.0304
2014-12-24,640.8956
2014-12-31,642.8665
2015-01-07,642.9612
2015-01-14,646.1133
2015-01-21,651.5919
2015-01-28,650.119
2015-02-04,662.1086
2015-02-11,662.1075
2015-02-18,652.8217
2015-02-25,652.7307
2015-03-04,648.7033
2015-03-11,650.3562
2015-03-18,646.1845
2015-03-25,649.4853
2015-04-01,649.6985
2015-04-08,652.1408
2015-04-15,652.2129
2015-04-22,654.7673
2015-04-29,660.2458
2015-05-06,666.4113
2015-05-13,667.899
2015-05-20,671.5447
2015-05-27,670.0757
2015-06-03,665.3513
2015-06-10,666.0067
2015-06-17,669.6353
2015-06-24,665.6288
2015-07-01,657.8516
2015-07-08,654.5101
2015-07-15,655.8
2015-07-22,658.9972
2015-07-29,656.8802
2015-08-05,667.5518
2015-08-12,653.4973
2015-08-19,650.3055
2015-08-26,644.6229
2015-09-02,644.8353
2015-09-09,644.8703
2015-09-16,637.9336
2015-09-23,638.9365
2015-09-30,644.5392
2015-10-07,636.3785
2015-10-14,639.5375
2015-10-21,636.0158
2015-10-28,632.6362
2015-11-04,639.944
2015-11-11,641.7337
2015-11-18,645.6822
2015-11-25,649.5654
2015-12-02,654.0457
2015-12-09,662.951
2015-12-16,662.6566
2015-12-23,657.0502
2015-12-30,657.704
2016-01-06,668.4193
2016-01-13,673.0857
2016-01-20,671.8763
2016-01-27,667.7518
2016-02-03,674.5042
2016-02-10,673.2654
2016-02-17,673.475
2016-02-24,674.4251
2016-03-02,681.3905
2016-03-09,680.6036
2016-03-16,678.9267
2016-03-23,677.1974
2016-03-30,676.8283
2016-04-06,678.5212
2016-04-13,686.3824
2016-04-20,682.9501
2016-04-27,687.5466
2016-05-04,692.5615
2016-05-11,689.9636
2016-05-18,696.2828
2016-05-25,693.7351
2016-06-01,700.1401
2016-06-08,697.5841
2016-06-15,702.9228
2016-06-22,702.1931
2016-06-29,706.925
2016-07-06,713.2547
2016-07-13,718.8715
2016-07-20,721.0197
2016-07-27,722.4616
2016-08-03,717.8063
2016-08-10,719.3555
2016-08-17,719.4476
2016-08-24,721.5046
2016-08-31,723.1771
2016-09-07,721.7178
2016-09-14,731.7324
2016-09-21,735.9458
2016-09-28,738.3362
2016-10-05,737.931
2016-10-12,732.7765
2016-10-19,743.0472
2016-10-26,743.1257
2016-11-02,748.0101
2016-11-09,750.5003
2016-11-16,745.4651
2016-11-23,734.7421
