DATE,TREAS1T5
2002-12-18,173935
2002-12-25,173936
2003-01-01,172758
2003-01-08,172758
2003-01-15,174818
2003-01-22,174818
2003-01-29,174818
2003-02-05,175434
2003-02-12,175832
2003-02-19,177990
2003-02-26,178982
2003-03-05,180176
2003-03-12,180179
2003-03-19,180893
2003-03-26,180897
2003-04-02,180779
2003-04-09,181519
2003-04-16,181526
2003-04-23,181533
2003-04-30,188832
2003-05-07,180504
2003-05-14,180509
2003-05-21,180465
2003-05-28,180470
2003-06-04,180193
2003-06-11,180191
2003-06-18,180189
2003-06-25,180187
2003-07-02,179355
2003-07-09,179353
2003-07-16,179352
2003-07-23,179350
2003-07-30,179349
2003-08-06,177684
2003-08-13,177685
2003-08-20,180032
2003-08-27,180033
2003-09-03,178017
2003-09-10,178018
2003-09-17,178019
2003-09-24,178020
2003-10-01,176904
2003-10-08,176907
2003-10-15,176910
2003-10-22,176914
2003-10-29,178364
2003-11-05,179300
2003-11-12,179303
2003-11-19,177811
2003-11-26,178532
2003-12-03,179073
2003-12-10,179072
2003-12-17,179071
2003-12-24,179070
2003-12-31,187056
2004-01-07,180071
2004-01-14,180069
2004-01-21,182299
2004-01-28,182295
2004-02-04,181106
2004-02-11,181930
2004-02-18,182680
2004-02-25,182678
2004-03-03,182347
2004-03-10,183073
2004-03-17,183079
2004-03-24,183661
2004-03-31,183791
2004-04-07,183799
2004-04-14,183807
2004-04-21,183815
2004-04-28,183823
2004-05-05,184872
2004-05-12,184881
2004-05-19,184387
2004-05-26,185179
2004-06-02,185440
2004-06-09,186170
2004-06-16,187210
2004-06-23,187215
2004-06-30,187803
2004-07-07,187811
2004-07-14,189520
2004-07-21,189529
2004-07-28,190934
2004-08-04,192427
2004-08-11,192432
2004-08-18,197632
2004-08-25,197636
2004-09-01,198719
2004-09-08,198716
2004-09-15,199513
2004-09-22,199511
2004-09-29,199624
2004-10-06,201940
2004-10-13,201941
2004-10-20,202112
2004-10-27,203509
2004-11-03,203789
2004-11-10,203793
2004-11-17,206675
2004-11-24,206678
2004-12-01,205870
2004-12-08,208282
2004-12-15,208290
2004-12-22,208298
2004-12-29,208306
2005-01-05,208270
2005-01-12,208270
2005-01-19,209683
2005-01-26,209684
2005-02-02,207754
2005-02-09,207747
2005-02-16,212802
2005-02-23,212794
2005-03-02,212790
2005-03-09,212794
2005-03-16,212798
2005-03-23,212802
2005-03-30,212806
2005-04-06,212482
2005-04-13,212493
2005-04-20,212919
2005-04-27,214130
2005-05-04,213805
2005-05-11,213945
2005-05-18,214280
2005-05-25,215344
2005-06-01,216525
2005-06-08,216538
2005-06-15,216552
2005-06-22,216566
2005-06-29,216580
2005-07-06,215250
2005-07-13,215248
2005-07-20,209727
2005-07-27,209725
2005-08-03,207587
2005-08-10,207588
2005-08-17,212630
2005-08-24,213119
2005-08-31,211783
2005-09-07,211793
2005-09-14,214341
2005-09-21,214351
2005-09-28,215465
2005-10-05,215254
2005-10-12,215264
2005-10-19,210114
2005-10-26,210625
2005-11-02,210651
2005-11-09,210677
2005-11-16,209687
2005-11-23,210812
2005-11-30,210726
