DATE,TREAS911Y
2002-12-18,140816
2002-12-25,141815
2003-01-01,141840
2003-01-08,142557
2003-01-15,142959
2003-01-22,143215
2003-01-29,143207
2003-02-05,142243
2003-02-12,142780
2003-02-19,145010
2003-02-26,146752
2003-03-05,149160
2003-03-12,149837
2003-03-19,149946
2003-03-26,149322
2003-04-02,150962
2003-04-09,152215
2003-04-16,153573
2003-04-23,154035
2003-04-30,153916
2003-05-07,157125
2003-05-14,156610
2003-05-21,154489
2003-05-28,153894
2003-06-04,154845
2003-06-11,155918
2003-06-18,156513
2003-06-25,156748
2003-07-02,158535
2003-07-09,158485
2003-07-16,158993
2003-07-23,159773
2003-07-30,159660
2003-08-06,161900
2003-08-13,162065
2003-08-20,160914
2003-08-27,160830
2003-09-03,162179
2003-09-10,161449
2003-09-17,160569
2003-09-24,159492
2003-10-01,166362
2003-10-08,158422
2003-10-15,158103
2003-10-22,157831
2003-10-29,157733
2003-11-05,156936
2003-11-12,157975
2003-11-19,164942
2003-11-26,165225
2003-12-03,163322
2003-12-10,163532
2003-12-17,164208
2003-12-24,164116
2003-12-31,164071
2004-01-07,162313
2004-01-14,162203
2004-01-21,163385
2004-01-28,163330
2004-02-04,162763
2004-02-11,164122
2004-02-18,158686
2004-02-25,158892
2004-03-03,161152
2004-03-10,161316
2004-03-17,161118
2004-03-24,161315
2004-03-31,169796
2004-04-07,162020
2004-04-14,161460
2004-04-21,160538
2004-04-28,159705
2004-05-05,160782
2004-05-12,160187
2004-05-19,164308
2004-05-26,163583
2004-06-02,161315
2004-06-09,155813
2004-06-16,161528
2004-06-23,161535
2004-06-30,168585
2004-07-07,161187
2004-07-14,161815
2004-07-21,164648
2004-07-28,165151
2004-08-04,165961
2004-08-11,166742
2004-08-18,162157
2004-08-25,162874
2004-09-01,164194
2004-09-08,164877
2004-09-15,165537
2004-09-22,165875
2004-09-29,166092
2004-10-06,166867
2004-10-13,167056
2004-10-20,167785
2004-10-27,169363
2004-11-03,168281
2004-11-10,168865
2004-11-17,171751
2004-11-24,173321
2004-12-01,172435
2004-12-08,172907
2004-12-15,171974
2004-12-22,170913
2004-12-29,170856
2005-01-05,170411
2005-01-12,169865
2005-01-19,170089
2005-01-26,169681
2005-02-02,167654
2005-02-09,167189
2005-02-16,158651
2005-02-23,157795
2005-03-02,158827
2005-03-09,158911
2005-03-16,159093
2005-03-23,159615
2005-03-30,159950
2005-04-06,160318
2005-04-13,159979
2005-04-20,159694
2005-04-27,159032
2005-05-04,161061
2005-05-11,160101
2005-05-18,161583
2005-05-25,160928
2005-06-01,167571
2005-06-08,159891
2005-06-15,159709
2005-06-22,159576
2005-06-29,159160
2005-07-06,160338
2005-07-13,160378
2005-07-20,167660
2005-07-27,168541
2005-08-03,171106
2005-08-10,172293
2005-08-17,169507
2005-08-24,171081
2005-08-31,180980
2005-09-07,174407
2005-09-14,174557
2005-09-21,174748
2005-09-28,176589
2005-10-05,176953
2005-10-12,177494
2005-10-19,183233
2005-10-26,183293
2005-11-02,182848
2005-11-09,182941
2005-11-16,191259
2005-11-23,188251
2005-11-30,187020
2005-12-07,186784
2005-12-14,186613
2005-12-21,186436
2005-12-28,186525
2006-01-04,185897
2006-01-11,185571
2006-01-18,188816
2006-01-25,188864
2006-02-01,186158
2006-02-08,186142
2006-02-15,180520
2006-02-22,180550
2006-03-01,190678
2006-03-08,184149
2006-03-15,184570
2006-03-22,184863
2006-03-29,186079
2006-04-05,185878
2006-04-12,185412
2006-04-19,178998
2006-04-26,177830
2006-05-03,177251
2006-05-10,176385
2006-05-17,180967
2006-05-24,181747
2006-05-31,188284
2006-06-07,179347
2006-06-14,177963
2006-06-21,177012
2006-06-28,177003
2006-07-05,176068
2006-07-12,176677
2006-07-19,174965
2006-07-26,175697
2006-08-02,176154
2006-08-09,176794
2006-08-16,190839
2006-08-23,183512
2006-08-30,184496
2006-09-06,185406
2006-09-13,185863
2006-09-20,186566
2006-09-27,187242
2006-10-04,186680
2006-10-11,186943
2006-10-18,184182
2006-10-25,186185
2006-11-01,193350
2006-11-08,187174
2006-11-15,193265
2006-11-22,189455
2006-11-29,188536
2006-12-06,186733
2006-12-13,186441
2006-12-20,186198
2006-12-27,185595
2007-01-03,184284
2007-01-10,183756
2007-01-17,185391
2007-01-24,184901
2007-01-31,179349
2007-02-07,178853
2007-02-14,167331
2007-02-21,176111
2007-02-28,177267
2007-03-07,174455
2007-03-14,174534
2007-03-21,174608
2007-03-28,174718
2007-04-04,174217
2007-04-11,174180
2007-04-18,173892
2007-04-25,174707
2007-05-02,171410
2007-05-09,170832
2007-05-16,183320
2007-05-23,169907
2007-05-30,169274
2007-06-06,165484
2007-06-13,165322
2007-06-20,165288
2007-06-27,165576
2007-07-04,164722
2007-07-11,165426
2007-07-18,168890
2007-07-25,170324
2007-08-01,178313
2007-08-08,172427
2007-08-15,174350
2007-08-22,173254
2007-08-29,174430
2007-09-05,172421
2007-09-12,172696
2007-09-19,173753
2007-09-26,172365
2007-10-03,169183
2007-10-10,168432
2007-10-17,166660
2007-10-24,166029
2007-10-31,164893
2007-11-07,161289
2007-11-14,160879
2007-11-21,160545
2007-11-28,160446
2007-12-05,159811
2007-12-12,160488
2007-12-19,162951
2007-12-26,157614
2008-01-02,150526
2008-01-09,144703
2008-01-16,148990
2008-01-23,148953
2008-01-30,149079
2008-02-06,146948
2008-02-13,146619
2008-02-20,135884
2008-02-27,134163
2008-03-05,133639
2008-03-12,131959
2008-03-19,114118
2008-03-26,101222
2008-04-02,99009
2008-04-09,99011
2008-04-16,99957
2008-04-23,99437
2008-04-30,102339
2008-05-07,93056
2008-05-14,86731
2008-05-21,87041
2008-05-28,84440
2008-06-04,81468
2008-06-11,79105
2008-06-18,75977
2008-06-25,75981
2008-07-02,73632
2008-07-09,73638
2008-07-16,74878
2008-07-23,71492
2008-07-30,69445
2008-08-06,69497
2008-08-13,69504
2008-08-20,70313
2008-08-27,70320
2008-09-03,69268
2008-09-10,69272
2008-09-17,68101
2008-09-24,68105
2008-10-01,70092
2008-10-08,65272
2008-10-15,65879
2008-10-22,61340
2008-10-29,61340
2008-11-05,61228
2008-11-12,61228
2008-11-19,66692
2008-11-26,66692
2008-12-03,65200
2008-12-10,65200
2008-12-17,64478
2008-12-24,64478
2008-12-31,63330
2009-01-07,63330
2009-01-14,63330
2009-01-21,66655
2009-01-28,66649
2009-02-04,64789
2009-02-11,64785
2009-02-18,61317
2009-02-25,61313
2009-03-04,60732
2009-03-11,60733
2009-03-18,60924
2009-03-25,60925
2009-04-01,61898
2009-04-08,61900
2009-04-15,66351
2009-04-22,65120
2009-04-29,65124
2009-05-06,64996
2009-05-13,64998
2009-05-20,60214
2009-05-27,61765
2009-06-03,60942
2009-06-10,60945
2009-06-17,61204
2009-06-24,61206
2009-07-01,64426
2009-07-08,62445
2009-07-15,63666
2009-07-22,63994
2009-07-29,63997
2009-08-05,64561
2009-08-12,64572
2009-08-19,58903
2009-08-26,58914
2009-09-02,58046
2009-09-09,58044
2009-09-16,58477
2009-09-23,58515
2009-09-30,61663
2009-10-07,58169
2009-10-14,58172
2009-10-21,55497
2009-10-28,55499
2009-11-04,55607
2009-11-11,55608
2009-11-18,48711
2009-11-25,48711
2009-12-02,49713
2009-12-09,49714
2009-12-16,49799
2009-12-23,49800
2009-12-30,49801
2010-01-06,50772
2010-01-13,50773
2010-01-20,46209
2010-01-27,46210
2010-02-03,45689
2010-02-10,45689
2010-02-17,40542
2010-02-24,40542
2010-03-03,44019
2010-03-10,44020
2010-03-17,43617
2010-03-24,43618
2010-03-31,48552
2010-04-07,45336
2010-04-14,45336
2010-04-21,48503
2010-04-28,48503
2010-05-05,51337
2010-05-12,51342
2010-05-19,46915
2010-05-26,46919
2010-06-02,53512
2010-06-09,53514
2010-06-16,53516
2010-06-23,52685
2010-06-30,56099
2010-07-07,52950
2010-07-14,52950
2010-07-21,52371
2010-07-28,52372
2010-08-04,53290
2010-08-11,53289
2010-08-18,53294
2010-08-25,53293
2010-09-01,52786
2010-09-08,52786
2010-09-15,52787
2010-09-22,51827
2010-09-29,51827
2010-10-06,50291
2010-10-13,50292
2010-10-20,48851
2010-10-27,48852
2010-11-03,50651
2010-11-10,50651
2010-11-17,54509
2010-11-24,54509
2010-12-01,53561
2010-12-08,53562
2010-12-15,55978
2010-12-22,55979
2010-12-29,55980
2011-01-05,54254
2011-01-12,54254
2011-01-19,55715
2011-01-26,55715
2011-02-02,52339
2011-02-09,52339
2011-02-16,61118
2011-02-23,61118
2011-03-02,57572
2011-03-09,57572
2011-03-16,67799
2011-03-23,67800
2011-03-30,67800
2011-04-06,68371
2011-04-13,68372
2011-04-20,82277
2011-04-27,82281
2011-05-04,83377
2011-05-11,83385
2011-05-18,89579
2011-05-25,89587
2011-06-01,95392
2011-06-08,92003
2011-06-15,92008
2011-06-22,100513
2011-06-29,100519
2011-07-06,103863
2011-07-13,103867
2011-07-20,114135
2011-07-27,114143
2011-08-03,116238
2011-08-10,116236
2011-08-17,125266
2011-08-24,125265
2011-08-31,125263
2011-09-07,127126
2011-09-14,127127
2011-09-21,129111
2011-09-28,129112
2011-10-05,130712
2011-10-12,121847
2011-10-19,118104
2011-10-26,117752
2011-11-02,115531
2011-11-09,115533
2011-11-16,117004
2011-11-23,99696
2011-11-30,99698
2011-12-07,104194
2011-12-14,94393
2011-12-21,87287
2011-12-28,87285
2012-01-04,87548
2012-01-11,77964
2012-01-18,66893
2012-01-25,66892
2012-02-01,66278
2012-02-08,56826
2012-02-15,52321
2012-02-22,58928
2012-02-29,64782
2012-03-07,55708
2012-03-14,55709
2012-03-21,53727
2012-03-28,52099
2012-04-04,54185
2012-04-11,52712
2012-04-18,49600
2012-04-25,49600
2012-05-02,51248
2012-05-09,42608
2012-05-16,49116
2012-05-23,36607
2012-05-30,36607
2012-06-06,26295
2012-06-13,26295
