DATE,TXINSUREDUR
1986-01-25,2.07
1986-02-01,2.10
1986-02-08,2.11
1986-02-15,2.08
1986-02-22,2.28
1986-03-01,2.20
1986-03-08,2.29
1986-03-15,2.29
1986-03-22,2.27
1986-03-29,2.30
1986-04-05,2.29
1986-04-12,2.45
1986-04-19,2.36
1986-04-26,2.58
1986-05-03,2.47
1986-05-10,2.60
1986-05-17,2.59
1986-05-24,2.56
1986-05-31,2.68
1986-06-07,2.64
1986-06-14,2.72
1986-06-21,2.71
1986-06-28,2.22
1986-07-05,3.11
1986-07-12,2.89
1986-07-19,2.66
1986-07-26,2.83
1986-08-02,2.64
1986-08-09,2.80
1986-08-16,2.77
1986-08-23,2.76
1986-08-30,2.58
1986-09-06,2.84
1986-09-13,2.71
1986-09-20,2.82
1986-09-27,2.60
1986-10-04,2.73
1986-10-11,2.72
1986-10-18,2.85
1986-10-25,2.72
1986-11-01,2.74
1986-11-08,2.54
1986-11-15,2.97
1986-11-22,1.63
1986-11-29,3.81
1986-12-06,2.91
1986-12-13,2.87
1986-12-20,1.88
1986-12-27,2.92
1987-01-03,3.54
1987-01-10,2.95
1987-01-17,3.06
1987-01-24,2.96
1987-01-31,3.00
1987-02-07,2.84
1987-02-14,2.86
1987-02-21,2.92
1987-02-28,2.85
1987-03-07,2.85
1987-03-14,2.85
1987-03-21,2.69
1987-03-28,2.77
1987-04-04,2.55
1987-04-11,2.62
1987-04-18,2.52
1987-04-25,2.50
1987-05-02,2.34
1987-05-09,2.47
1987-05-16,2.34
1987-05-23,2.31
1987-05-30,2.36
1987-06-06,2.32
1987-06-13,2.27
1987-06-20,2.18
1987-06-27,2.40
1987-07-04,2.27
1987-07-11,2.32
1987-07-18,2.24
1987-07-25,2.21
1987-08-01,2.15
1987-08-08,2.09
1987-08-15,2.09
1987-08-22,2.07
1987-08-29,1.96
1987-09-05,1.79
1987-09-12,2.00
1987-09-19,1.83
1987-09-26,1.83
1987-10-03,2.06
1987-10-10,1.86
1987-10-17,1.83
1987-10-24,1.89
1987-10-31,1.79
1987-11-07,1.73
1987-11-14,2.00
1987-11-21,1.35
1987-11-28,2.49
1987-12-05,2.01
1987-12-12,1.98
1987-12-19,1.44
1987-12-26,2.17
1988-01-02,2.24
1988-01-09,2.20
1988-01-16,2.15
1988-01-23,2.14
1988-01-30,.
1988-02-06,2.08
1988-02-13,2.09
1988-02-20,2.25
1988-02-27,2.11
1988-03-05,2.07
1988-03-12,2.10
1988-03-19,2.00
1988-03-26,2.02
1988-04-02,1.90
1988-04-09,1.88
1988-04-16,1.90
1988-04-23,1.82
1988-04-30,1.79
1988-05-07,1.72
1988-05-14,1.76
1988-05-21,1.67
1988-05-28,1.59
1988-06-04,1.74
1988-06-11,1.67
1988-06-18,1.64
1988-06-25,1.64
1988-07-02,1.49
1988-07-09,1.74
1988-07-16,1.69
1988-07-23,1.68
1988-07-30,1.66
1988-08-06,1.64
1988-08-13,1.70
1988-08-20,1.61
1988-08-27,1.66
1988-09-03,1.52
1988-09-10,1.74
1988-09-17,1.62
1988-09-24,1.68
1988-10-01,1.56
1988-10-08,1.57
1988-10-15,1.67
1988-10-22,1.64
1988-10-29,1.64
1988-11-05,1.50
1988-11-12,1.84
1988-11-19,1.32
1988-11-26,2.13
1988-12-03,1.73
1988-12-10,1.87
1988-12-17,1.78
1988-12-24,1.68
1988-12-31,1.90
1989-01-07,1.96
1989-01-14,1.92
1989-01-21,2.02
1989-01-28,1.97
1989-02-04,1.93
1989-02-11,2.06
1989-02-18,1.93
1989-02-25,2.09
1989-03-04,1.91
1989-03-11,2.01
1989-03-18,1.85
1989-03-25,1.90
1989-04-01,1.73
1989-04-08,1.70
1989-04-15,1.74
1989-04-22,1.70
1989-04-29,1.50
1989-05-06,1.74
1989-05-13,1.57
1989-05-20,1.57
1989-05-27,1.46
1989-06-03,1.61
1989-06-10,1.48
1989-06-17,1.54
1989-06-24,1.52
1989-07-01,1.36
1989-07-08,1.65
1989-07-15,1.62
1989-07-22,1.55
1989-07-29,1.64
1989-08-05,1.56
1989-08-12,1.56
1989-08-19,1.51
1989-08-26,1.55
1989-09-02,1.38
1989-09-09,1.62
1989-09-16,1.50
1989-09-23,1.54
1989-09-30,1.51
1989-10-07,1.48
1989-10-14,1.60
1989-10-21,1.55
1989-10-28,1.60
1989-11-04,1.57
1989-11-11,1.68
1989-11-18,1.68
1989-11-25,1.72
1989-12-02,1.75
1989-12-09,1.83
1989-12-16,1.80
1989-12-23,1.84
1989-12-30,1.92
1990-01-06,1.74
1990-01-13,2.01
1990-01-20,2.13
1990-01-27,2.08
1990-02-03,2.12
1990-02-10,1.95
1990-02-17,2.21
1990-02-24,1.90
1990-03-03,2.05
1990-03-10,1.97
1990-03-17,1.97
1990-03-24,1.90
1990-03-31,1.79
1990-04-07,1.71
1990-04-14,1.75
1990-04-21,1.67
1990-04-28,1.66
1990-05-05,1.61
1990-05-12,1.65
1990-05-19,1.56
1990-05-26,1.69
1990-06-02,1.41
1990-06-09,1.53
1990-06-16,1.55
1990-06-23,1.52
1990-06-30,1.56
1990-07-07,1.48
1990-07-14,1.57
1990-07-21,1.53
1990-07-28,1.57
1990-08-04,1.51
1990-08-11,1.58
1990-08-18,1.52
1990-08-25,1.56
1990-09-01,1.55
1990-09-08,1.46
1990-09-15,1.51
1990-09-22,1.51
1990-09-29,1.47
1990-10-06,1.44
1990-10-13,1.53
1990-10-20,1.57
1990-10-27,1.66
1990-11-03,1.62
1990-11-10,1.63
1990-11-17,1.90
1990-11-24,1.63
1990-12-01,1.81
1990-12-08,1.88
1990-12-15,1.90
1990-12-22,1.66
1990-12-29,2.12
1991-01-05,1.84
1991-01-12,2.19
1991-01-19,2.07
1991-01-26,2.11
1991-02-02,2.21
1991-02-09,2.12
1991-02-16,2.37
1991-02-23,2.13
1991-03-02,2.21
1991-03-09,2.19
1991-03-16,2.19
1991-03-23,2.08
1991-03-30,2.07
1991-04-06,2.00
1991-04-13,1.97
