DATE,WCD1M
1965-12-24,4.76
1965-12-31,4.77
1966-01-07,4.78
1966-01-14,4.82
1966-01-21,4.82
1966-01-28,4.84
1966-02-04,4.83
1966-02-11,4.83
1966-02-18,4.9
1966-02-25,4.85
1966-03-04,4.87
1966-03-11,5
1966-03-18,5.01
1966-03-25,5.03
1966-04-01,5.06
1966-04-08,5.04
1966-04-15,5.09
1966-04-22,5.13
1966-04-29,5.16
1966-05-06,5.16
1966-05-13,5.19
1966-05-20,5.25
1966-05-27,5.26
1966-06-03,5.32
1966-06-10,5.33
1966-06-17,5.37
1966-06-24,5.37
1966-07-01,5.41
1966-07-08,5.55
1966-07-15,5.59
1966-07-22,5.59
1966-07-29,5.51
1966-08-05,5.53
1966-08-12,5.54
1966-08-19,5.59
1966-08-26,5.62
1966-09-02,5.74
1966-09-09,5.68
1966-09-16,5.76
1966-09-23,5.75
1966-09-30,5.8
1966-10-07,5.7
1966-10-14,5.7
1966-10-21,5.7
1966-10-28,5.63
1966-11-04,5.58
1966-11-11,5.6
1966-11-18,5.6
1966-11-25,5.54
1966-12-02,5.56
1966-12-09,5.59
1966-12-16,5.53
1966-12-23,5.51
1966-12-30,5.51
1967-01-06,5.48
1967-01-13,5.45
1967-01-20,5.47
1967-01-27,5.26
1967-02-03,5.16
1967-02-10,5.09
1967-02-17,5.09
1967-02-24,5.15
1967-03-03,5.11
1967-03-10,5.06
1967-03-17,4.99
1967-03-24,4.88
1967-03-31,4.81
1967-04-07,4.66
1967-04-14,4.34
1967-04-21,4.3
1967-04-28,4.3
1967-05-05,4.38
1967-05-12,4.37
1967-05-19,4.34
1967-05-26,4.35
1967-06-02,4.36
1967-06-09,4.36
1967-06-16,4.44
1967-06-23,4.49
1967-06-30,4.62
1967-07-07,4.71
1967-07-14,4.74
1967-07-21,4.69
1967-07-28,4.67
1967-08-04,4.63
1967-08-11,4.64
1967-08-18,4.52
1967-08-25,4.57
1967-09-01,4.49
1967-09-08,4.53
1967-09-15,4.56
1967-09-22,4.63
1967-09-29,4.64
1967-10-06,4.71
1967-10-13,4.78
1967-10-20,4.8
1967-10-27,4.73
1967-11-03,4.78
1967-11-10,4.84
1967-11-17,4.8
1967-11-24,4.93
1967-12-01,5.02
1967-12-08,5.25
1967-12-15,5.32
1967-12-22,5.33
1967-12-29,5.35
1968-01-05,5.42
1968-01-12,5.28
1968-01-19,5.18
1968-01-26,5.16
1968-02-02,4.88
1968-02-09,4.98
1968-02-16,5
1968-02-23,5.01
1968-03-01,5.08
1968-03-08,5.12
1968-03-15,5.27
1968-03-22,5.52
1968-03-29,5.52
1968-04-05,5.51
1968-04-12,5.54
1968-04-19,5.58
1968-04-26,5.69
1968-05-03,5.85
1968-05-10,5.95
1968-05-17,6.02
1968-05-24,6.07
1968-05-31,6.07
1968-06-07,6.03
1968-06-14,6
1968-06-21,6.01
1968-06-28,5.97
1968-07-05,5.99
1968-07-12,5.99
1968-07-19,5.99
1968-07-26,5.87
1968-08-02,5.82
1968-08-09,5.77
1968-08-16,5.81
1968-08-23,5.81
1968-08-30,5.8
1968-09-06,5.77
1968-09-13,5.81
1968-09-20,5.75
1968-09-27,5.65
1968-10-04,5.67
1968-10-11,5.75
1968-10-18,5.87
1968-10-25,5.9
1968-11-01,5.9
1968-11-08,5.91
1968-11-15,5.95
1968-11-22,5.95
1968-11-29,5.91
1968-12-06,6.03
1968-12-13,6.07
1968-12-20,6.2
1968-12-27,6.43
1969-01-03,6.46
1969-01-10,6.51
1969-01-17,6.43
1969-01-24,6.37
1969-01-31,6.35
1969-02-07,6.37
1969-02-14,6.36
1969-02-21,6.39
1969-02-28,6.44
1969-03-07,6.5
1969-03-14,6.5
1969-03-21,6.54
1969-03-28,6.62
1969-04-04,6.6
1969-04-11,6.64
1969-04-18,6.72
1969-04-25,6.83
1969-05-02,6.82
1969-05-09,6.99
1969-05-16,7.23
1969-05-23,7.46
