DATE,WCPN1M
1997-01-03,5.33
1997-01-10,5.28
1997-01-17,5.28
1997-01-24,5.27
1997-01-31,5.3
1997-02-07,5.26
1997-02-14,5.24
1997-02-21,5.25
1997-02-28,5.25
1997-03-07,5.28
1997-03-14,5.28
1997-03-21,5.34
1997-03-28,5.51
1997-04-04,5.52
1997-04-11,5.49
1997-04-18,5.49
1997-04-25,5.47
1997-05-02,5.5
1997-05-09,5.5
1997-05-16,5.52
1997-05-23,5.52
1997-05-30,5.5
1997-06-06,5.51
1997-06-13,5.49
1997-06-20,5.51
1997-06-27,5.51
1997-07-04,5.51
1997-07-11,5.47
1997-07-18,5.47
1997-07-25,5.47
1997-08-01,5.48
1997-08-08,5.47
1997-08-15,5.49
1997-08-22,5.47
1997-08-29,5.48
1997-09-05,5.49
1997-09-12,5.48
1997-09-19,5.49
1997-09-26,5.49
1997-10-03,5.49
1997-10-10,5.47
1997-10-17,5.48
1997-10-24,5.49
1997-10-31,5.51
1997-11-07,5.51
1997-11-14,5.53
1997-11-21,5.52
1997-11-28,5.56
1997-12-05,5.68
1997-12-12,5.74
1997-12-19,5.82
1997-12-26,5.90
1998-01-02,5.71
1998-01-09,5.48
1998-01-16,5.44
1998-01-23,5.44
1998-01-30,5.47
1998-02-06,5.46
1998-02-13,5.47
1998-02-20,5.46
1998-02-27,5.49
1998-03-06,5.50
1998-03-13,5.50
1998-03-20,5.50
1998-03-27,5.52
1998-04-03,5.52
1998-04-10,5.49
1998-04-17,5.49
1998-04-24,5.48
1998-05-01,5.49
1998-05-08,5.48
1998-05-15,5.49
1998-05-22,5.49
1998-05-29,5.50
1998-06-05,5.50
1998-06-12,5.49
1998-06-19,5.52
1998-06-26,5.54
1998-07-03,5.53
1998-07-10,5.50
1998-07-17,5.50
1998-07-24,5.51
1998-07-31,5.52
1998-08-07,5.51
1998-08-14,5.50
1998-08-21,5.50
1998-08-28,5.50
1998-09-04,5.50
1998-09-11,5.49
1998-09-18,5.49
1998-09-25,5.45
1998-10-02,5.23
1998-10-09,5.25
1998-10-16,5.22
1998-10-23,5.03
1998-10-30,5.05
1998-11-06,5.11
1998-11-13,5.11
1998-11-20,4.95
1998-11-27,4.84
1998-12-04,5.09
1998-12-11,5.16
1998-12-18,5.26
1998-12-25,5.44
1999-01-01,5.24
1999-01-08,4.81
1999-01-15,4.81
1999-01-22,4.79
1999-01-29,4.79
1999-02-05,4.79
1999-02-12,4.80
1999-02-19,4.81
1999-02-26,4.81
1999-03-05,4.83
