DATE,WDFUELLA
1996-04-19,0.925
1996-04-26,0.958
1996-05-03,0.967
1996-05-10,0.940
1996-05-17,0.814
1996-05-24,0.824
1996-05-31,0.840
1996-06-07,0.828
1996-06-14,0.750
1996-06-21,0.678
1996-06-28,0.726
1996-07-05,0.733
1996-07-12,0.730
1996-07-19,0.674
1996-07-26,0.657
1996-08-02,0.672
1996-08-09,0.694
1996-08-16,0.702
1996-08-23,0.710
1996-08-30,0.718
1996-09-06,0.758
1996-09-13,0.782
1996-09-20,0.766
1996-09-27,0.765
1996-10-04,0.808
1996-10-11,0.838
1996-10-18,0.814
1996-10-25,0.805
1996-11-01,0.807
1996-11-08,0.766
1996-11-15,0.738
1996-11-22,0.715
1996-11-29,0.734
1996-12-06,0.743
1996-12-13,0.718
1996-12-20,0.738
1996-12-27,0.736
1997-01-03,0.751
1997-01-10,0.755
1997-01-17,0.742
1997-01-24,0.754
1997-01-31,0.847
1997-02-07,0.852
1997-02-14,0.805
1997-02-21,0.771
1997-02-28,0.725
1997-03-07,0.727
1997-03-14,0.742
1997-03-21,0.760
1997-03-28,0.774
1997-04-04,0.777
1997-04-11,0.757
1997-04-18,0.736
1997-04-25,0.711
1997-05-02,0.641
1997-05-09,0.601
1997-05-16,0.617
1997-05-23,0.636
1997-05-30,0.647
1997-06-06,0.625
1997-06-13,0.576
1997-06-20,0.578
1997-06-27,0.579
1997-07-04,0.573
1997-07-11,0.552
1997-07-18,0.562
1997-07-25,0.563
1997-08-01,0.620
1997-08-08,0.671
1997-08-15,0.679
1997-08-22,0.700
1997-08-29,0.674
1997-09-05,0.666
1997-09-12,0.637
1997-09-19,0.633
1997-09-26,0.647
1997-10-03,0.651
1997-10-10,0.653
1997-10-17,0.667
1997-10-24,0.698
1997-10-31,0.742
1997-11-07,0.761
1997-11-14,0.722
1997-11-21,0.675
1997-11-28,0.620
1997-12-05,0.600
1997-12-12,0.602
1997-12-19,0.594
1997-12-26,0.603
1998-01-02,0.612
1998-01-09,0.589
1998-01-16,0.571
1998-01-23,0.546
1998-01-30,0.542
1998-02-06,0.525
1998-02-13,0.502
1998-02-20,0.489
1998-02-27,0.472
1998-03-06,0.441
1998-03-13,0.436
1998-03-20,0.433
1998-03-27,0.568
1998-04-03,0.564
1998-04-10,0.532
1998-04-17,0.530
1998-04-24,0.551
1998-05-01,0.598
1998-05-08,0.566
1998-05-15,0.524
1998-05-22,0.487
1998-05-29,0.469
1998-06-05,0.461
1998-06-12,0.471
1998-06-19,0.474
1998-06-26,0.472
1998-07-03,0.470
1998-07-10,0.471
1998-07-17,0.465
1998-07-24,0.470
1998-07-31,0.476
1998-08-07,0.480
1998-08-14,0.465
1998-08-21,0.452
1998-08-28,0.457
1998-09-04,0.458
1998-09-11,0.486
1998-09-18,0.492
1998-09-25,0.486
1998-10-02,0.479
1998-10-09,0.465
1998-10-16,0.467
1998-10-23,0.476
1998-10-30,0.508
1998-11-06,0.507
1998-11-13,0.471
1998-11-20,0.450
1998-11-27,0.438
1998-12-04,0.394
1998-12-11,0.385
1998-12-18,0.391
1998-12-25,0.390
1999-01-01,0.398
1999-01-08,0.410
1999-01-15,0.439
1999-01-22,0.416
1999-01-29,0.403
1999-02-05,0.398
1999-02-12,0.382
1999-02-19,0.379
1999-02-26,0.401
1999-03-05,0.483
1999-03-12,0.608
1999-03-19,0.589
1999-03-26,0.663
1999-04-02,0.705
1999-04-09,0.666
