DATE,WDFUELNYH
2006-06-16,2.099
2006-06-23,2.074
2006-06-30,2.103
2006-07-07,2.169
2006-07-14,2.198
2006-07-21,2.194
2006-07-28,2.257
2006-08-04,2.370
2006-08-11,2.302
2006-08-18,2.187
2006-08-25,2.264
2006-09-01,2.108
2006-09-08,1.959
2006-09-15,1.771
2006-09-22,1.720
2006-09-29,1.771
2006-10-06,1.761
2006-10-13,1.794
2006-10-20,1.842
2006-10-27,1.804
2006-11-03,1.721
2006-11-10,1.793
2006-11-17,1.801
2006-11-24,1.832
2006-12-01,1.917
2006-12-08,1.918
2006-12-15,1.845
2006-12-22,1.802
2006-12-29,1.715
2007-01-05,1.683
2007-01-12,1.610
2007-01-19,1.557
2007-01-26,1.632
2007-02-02,1.713
2007-02-09,1.759
2007-02-16,1.710
2007-02-23,1.757
2007-03-02,1.857
2007-03-09,1.871
2007-03-16,1.839
2007-03-23,1.854
2007-03-30,2.007
2007-04-06,2.046
2007-04-13,2.090
2007-04-20,2.006
2007-04-27,2.067
2007-05-04,2.018
2007-05-11,1.999
2007-05-18,2.062
2007-05-25,2.099
2007-06-01,2.056
2007-06-08,2.083
2007-06-15,2.088
2007-06-22,2.168
2007-06-29,2.146
2007-07-06,2.179
2007-07-13,2.169
2007-07-20,2.129
2007-07-27,2.107
2007-08-03,2.149
2007-08-10,2.055
2007-08-17,2.100
2007-08-24,2.087
2007-08-31,2.162
2007-09-07,2.250
2007-09-14,2.317
2007-09-21,2.369
2007-09-28,2.330
2007-10-05,2.305
2007-10-12,2.332
2007-10-19,2.451
2007-10-26,2.486
2007-11-02,2.605
2007-11-09,2.709
2007-11-16,2.648
2007-11-23,2.769
2007-11-30,2.707
2007-12-07,2.603
2007-12-14,2.618
2007-12-21,2.628
2007-12-28,2.672
2008-01-04,2.719
2008-01-11,2.602
2008-01-18,2.572
2008-01-25,2.522
2008-02-01,2.546
2008-02-08,2.534
2008-02-15,2.736
2008-02-22,2.908
2008-02-29,3.003
2008-03-07,3.136
2008-03-14,3.360
2008-03-21,3.281
2008-03-28,3.241
2008-04-04,3.197
2008-04-11,3.486
2008-04-18,3.591
2008-04-25,3.481
2008-05-02,3.408
2008-05-09,3.661
2008-05-16,3.842
2008-05-23,4.059
2008-05-30,3.900
2008-06-06,3.812
2008-06-13,3.965
2008-06-20,3.859
2008-06-27,3.902
2008-07-04,4.045
2008-07-11,3.987
2008-07-18,3.920
2008-07-25,3.686
2008-08-01,3.582
2008-08-08,3.323
2008-08-15,3.180
2008-08-22,3.249
2008-08-29,3.289
2008-09-05,3.126
2008-09-12,3.015
2008-09-19,2.937
2008-09-26,3.133
2008-10-03,2.923
2008-10-10,2.605
2008-10-17,2.379
2008-10-24,2.220
2008-10-31,2.085
2008-11-07,2.101
2008-11-14,1.973
2008-11-21,1.813
2008-11-28,1.778
2008-12-05,1.574
2008-12-12,1.453
2008-12-19,1.446
2008-12-26,1.306
2009-01-02,1.376
2009-01-09,1.600
2009-01-16,1.511
2009-01-23,1.413
2009-01-30,1.442
2009-02-06,1.374
2009-02-13,1.348
2009-02-20,1.210
2009-02-27,1.271
2009-03-06,1.218
2009-03-13,1.223
2009-03-20,1.345
2009-03-27,1.529
2009-04-03,1.463
2009-04-10,1.498
2009-04-17,1.490
2009-04-24,1.402
2009-05-01,1.382
2009-05-08,1.478
2009-05-15,1.498
2009-05-22,1.535
2009-05-29,1.612
2009-06-05,1.786
2009-06-12,1.847
2009-06-19,1.857
2009-06-26,1.790
2009-07-03,1.782
2009-07-10,1.603
2009-07-17,1.636
2009-07-24,1.802
2009-07-31,1.838
2009-08-07,1.965
2009-08-14,1.932
2009-08-21,1.919
2009-08-28,1.911
2009-09-04,1.788
2009-09-11,1.807
2009-09-18,1.830
2009-09-25,1.771
2009-10-02,1.810
2009-10-09,1.859
2009-10-16,1.983
2009-10-23,2.089
2009-10-30,2.048
2009-11-06,2.024
2009-11-13,1.992
2009-11-20,2.008
2009-11-27,1.963
2009-12-04,2.013
2009-12-11,1.923
2009-12-18,1.918
2009-12-25,1.965
2010-01-01,2.108
2010-01-08,2.190
2010-01-15,2.098
2010-01-22,1.994
2010-01-29,1.965
2010-02-05,2.002
2010-02-12,1.974
2010-02-19,2.077
2010-02-26,2.095
2010-03-05,2.139
2010-03-12,2.160
2010-03-19,2.162
2010-03-26,2.148
2010-04-02,2.225
2010-04-09,2.296
2010-04-16,2.273
2010-04-23,2.260
2010-04-30,2.307
2010-05-07,2.277
2010-05-14,2.218
2010-05-21,2.022
2010-05-28,2.025
2010-06-04,2.071
2010-06-11,2.071
2010-06-18,2.157
2010-06-25,2.144
2010-07-02,2.032
2010-07-09,2.047
2010-07-16,2.082
2010-07-23,2.088
2010-07-30,2.086
2010-08-06,2.229
2010-08-13,2.141
2010-08-20,2.070
2010-08-27,2.064
2010-09-03,2.113
2010-09-10,2.146
2010-09-17,2.176
2010-09-24,2.176
2010-10-01,2.258
2010-10-08,2.335
2010-10-15,2.310
2010-10-22,2.275
2010-10-29,2.274
2010-11-05,2.366
2010-11-12,2.439
2010-11-19,2.336
2010-11-26,2.353
2010-12-03,2.448
2010-12-10,2.475
2010-12-17,2.482
2010-12-24,2.527
2010-12-31,2.529
2011-01-07,2.540
2011-01-14,2.651
2011-01-21,2.680
2011-01-28,2.681
2011-02-04,2.782
2011-02-11,2.777
2011-02-18,2.808
2011-02-25,2.968
2011-03-04,3.112
2011-03-11,3.124
2011-03-18,3.115
2011-03-25,3.145
2011-04-01,3.149
2011-04-08,3.279
2011-04-15,3.268
2011-04-22,3.251
2011-04-29,3.296
2011-05-06,3.132
2011-05-13,3.031
2011-05-20,2.955
2011-05-27,3.005
2011-06-03,3.108
2011-06-10,3.159
2011-06-17,3.116
2011-06-24,2.942
2011-07-01,2.959
2011-07-08,3.126
2011-07-15,3.202
2011-07-22,3.198
2011-07-29,3.180
2011-08-05,3.077
2011-08-12,2.908
2011-08-19,2.986
2011-08-26,3.009
2011-09-02,3.097
2011-09-09,3.078
2011-09-16,2.999
2011-09-23,2.937
2011-09-30,2.886
2011-10-07,2.870
2011-10-14,3.004
2011-10-21,3.054
2011-10-28,3.089
2011-11-04,3.073
2011-11-11,3.170
2011-11-18,3.138
2011-11-25,3.011
2011-12-02,3.029
2011-12-09,2.982
2011-12-16,2.879
2011-12-23,2.905
2011-12-30,2.953
2012-01-06,3.105
2012-01-13,3.094
2012-01-20,3.053
2012-01-27,3.072
2012-02-03,3.083
2012-02-10,3.213
2012-02-17,3.210
2012-02-24,3.310
2012-03-02,3.281
2012-03-09,3.294
2012-03-16,3.328
2012-03-23,3.297
2012-03-30,3.294
2012-04-06,3.303
2012-04-13,3.231
2012-04-20,3.205
2012-04-27,3.240
2012-05-04,3.199
2012-05-11,3.056
2012-05-18,2.950
2012-05-25,2.898
2012-06-01,2.793
2012-06-08,2.725
2012-06-15,2.715
2012-06-22,2.691
2012-06-29,2.709
2012-07-06,2.850
2012-07-13,2.894
2012-07-20,2.984
2012-07-27,2.935
2012-08-03,2.967
2012-08-10,3.114
2012-08-17,3.196
2012-08-24,3.243
2012-08-31,3.278
2012-09-07,3.262
2012-09-14,3.284
2012-09-21,3.180
2012-09-28,3.198
2012-10-05,3.245
2012-10-12,3.322
2012-10-19,3.274
2012-10-26,3.142
2012-11-02,3.154
2012-11-09,3.144
2012-11-16,3.171
2012-11-23,3.268
2012-11-30,3.176
2012-12-07,3.045
2012-12-14,3.054
2012-12-21,3.082
2012-12-28,3.106
2013-01-04,3.070
2013-01-11,3.091
2013-01-18,3.080
2013-01-25,3.125
2013-02-01,3.168
2013-02-08,3.251
2013-02-15,3.304
2013-02-22,3.240
2013-03-01,3.119
2013-03-08,3.085
2013-03-15,3.045
2013-03-22,2.988
2013-03-29,3.025
2013-04-05,3.039
2013-04-12,2.942
2013-04-19,2.780
2013-04-26,2.853
2013-05-03,2.859
2013-05-10,2.924
2013-05-17,2.898
2013-05-24,2.893
2013-05-31,2.850
2013-06-07,2.869
2013-06-14,2.908
2013-06-21,2.924
2013-06-28,2.864
2013-07-05,2.934
2013-07-12,2.998
2013-07-19,3.069
2013-07-26,3.046
2013-08-02,3.050
2013-08-09,2.988
2013-08-16,3.053
2013-08-23,3.077
2013-08-30,3.150
2013-09-06,3.140
2013-09-13,3.099
2013-09-20,3.017
2013-09-27,2.972
2013-10-04,2.987
2013-10-11,3.038
2013-10-18,3.025
2013-10-25,2.952
2013-11-01,2.950
2013-11-08,2.866
2013-11-15,2.907
2013-11-22,2.968
2013-11-29,3.042
2013-12-06,3.052
2013-12-13,3.002
2013-12-20,3.014
2013-12-27,3.106
2014-01-03,3.040
2014-01-10,2.976
2014-01-17,3.034
2014-01-24,3.224
2014-01-31,3.304
2014-02-07,3.389
2014-02-14,3.140
2014-02-21,3.213
2014-02-28,3.164
2014-03-07,3.114
2014-03-14,3.006
2014-03-21,2.928
2014-03-28,2.935
2014-04-04,2.905
2014-04-11,2.932
2014-04-18,3.001
2014-04-25,3.002
2014-05-02,2.945
2014-05-09,2.918
2014-05-16,2.954
2014-05-23,2.951
2014-05-30,2.923
2014-06-06,2.870
2014-06-13,2.927
2014-06-20,3.028
2014-06-27,3.022
2014-07-04,2.944
2014-07-11,2.870
2014-07-18,2.855
2014-07-25,2.872
2014-08-01,2.879
2014-08-08,2.873
2014-08-15,2.858
2014-08-22,2.821
2014-08-29,2.847
2014-09-05,2.825
2014-09-12,2.766
2014-09-19,2.724
2014-09-26,2.689
2014-10-03,2.654
2014-10-10,2.577
2014-10-17,2.492
2014-10-24,2.493
2014-10-31,2.503
2014-11-07,2.473
2014-11-14,2.453
2014-11-21,2.419
2014-11-28,2.363
2014-12-05,2.177
2014-12-12,2.095
2014-12-19,2.012
2014-12-26,1.948
2015-01-02,1.836
2015-01-09,1.729
2015-01-16,1.655
2015-01-23,1.641
2015-01-30,1.653
2015-02-06,1.818
2015-02-13,1.908
2015-02-20,2.061
2015-02-27,2.191
2015-03-06,2.109
2015-03-13,1.865
2015-03-20,1.761
2015-03-27,1.744
2015-04-03,1.719
2015-04-10,1.752
2015-04-17,1.856
2015-04-24,1.894
2015-05-01,1.949
2015-05-08,1.987
2015-05-15,1.992
2015-05-22,1.963
2015-05-29,1.900
2015-06-05,1.897
2015-06-12,1.902
2015-06-19,1.886
2015-06-26,1.878
2015-07-03,1.842
2015-07-10,1.714
2015-07-17,1.680
2015-07-24,1.657
2015-07-31,1.594
2015-08-07,1.532
2015-08-14,1.563
2015-08-21,1.502
2015-08-28,1.435
2015-09-04,1.591
2015-09-11,1.538
2015-09-18,1.488
2015-09-25,1.492
2015-10-02,1.486
2015-10-09,1.548
2015-10-16,1.449
2015-10-23,1.432
2015-10-30,1.452
2015-11-06,1.508
2015-11-13,1.428
2015-11-20,1.358
2015-11-27,1.369
2015-12-04,1.314
2015-12-11,1.191
2015-12-18,1.080
2015-12-25,1.071
2016-01-01,1.058
2016-01-08,1.056
2016-01-15,0.940
2016-01-22,0.907
2016-01-29,1.002
2016-02-05,1.048
2016-02-12,1.004
2016-02-19,1.047
2016-02-26,1.037
2016-03-04,1.102
2016-03-11,1.211
2016-03-18,1.221
2016-03-25,1.219
2016-04-01,1.163
2016-04-08,1.111
2016-04-15,1.247
2016-04-22,1.294
2016-04-29,1.361
2016-05-06,1.338
2016-05-13,1.361
2016-05-20,1.470
2016-05-27,1.495
2016-06-03,1.490
2016-06-10,1.531
2016-06-17,1.473
2016-06-24,1.495
2016-07-01,1.467
2016-07-08,1.431
2016-07-15,1.401
