DATE,WEI
2008-01-05,1.6
2008-01-12,1.57
2008-01-19,1.52
2008-01-26,0.98
2008-02-02,0.68
2008-02-09,0.64
2008-02-16,1.18
2008-02-23,0.97
2008-03-01,1.0
2008-03-08,0.48
2008-03-15,0.75
2008-03-22,0.79
2008-03-29,1.26
2008-04-05,1.19
2008-04-12,0.93
2008-04-19,1.06
2008-04-26,0.58
2008-05-03,0.56
2008-05-10,0.6
2008-05-17,0.47
2008-05-24,0.42
2008-05-31,0.36
2008-06-07,0.62
2008-06-14,0.43
2008-06-21,0.06
2008-06-28,0.56
2008-07-05,0.75
2008-07-12,0.32
2008-07-19,0.25
2008-07-26,0.4
2008-08-02,0.44
2008-08-09,0.22
2008-08-16,-0.05
2008-08-23,0.01
2008-08-30,0.23
2008-09-06,0.08
2008-09-13,-0.28
2008-09-20,-0.62
2008-09-27,-0.81
2008-10-04,-0.89
2008-10-11,-0.99
2008-10-18,-1.03
2008-10-25,-1.0
2008-11-01,-1.09
2008-11-08,-1.78
2008-11-15,-2.16
2008-11-22,-1.03
2008-11-29,-3.18
2008-12-06,-2.69
2008-12-13,-2.61
2008-12-20,-3.41
2008-12-27,-3.46
2009-01-03,-3.87
2009-01-10,-3.58
2009-01-17,-3.53
2009-01-24,-3.27
2009-01-31,-3.56
2009-02-07,-3.45
2009-02-14,-3.99
2009-02-21,-4.14
2009-02-28,-4.36
2009-03-07,-3.82
2009-03-14,-3.82
2009-03-21,-3.42
2009-03-28,-4.03
2009-04-04,-3.76
2009-04-11,-3.85
2009-04-18,-4.08
2009-04-25,-3.76
2009-05-02,-3.71
2009-05-09,-3.84
2009-05-16,-3.75
2009-05-23,-3.67
2009-05-30,-3.85
2009-06-06,-4.21
2009-06-13,-4.1
2009-06-20,-3.8
2009-06-27,-4.03
2009-07-04,-3.66
2009-07-11,-4.07
2009-07-18,-3.8
2009-07-25,-3.96
2009-08-01,-3.71
2009-08-08,-3.57
2009-08-15,-3.05
2009-08-22,-2.99
2009-08-29,-3.01
2009-09-05,-2.35
2009-09-12,-2.89
2009-09-19,-2.05
2009-09-26,-1.94
2009-10-03,-1.74
2009-10-10,-1.39
2009-10-17,-1.26
2009-10-24,-1.0
2009-10-31,-0.7
2009-11-07,-0.31
2009-11-14,0.19
2009-11-21,0.52
2009-11-28,1.08
