DATE,WHOILNYH
1986-06-06,0.389
1986-06-13,0.384
1986-06-20,0.375
1986-06-27,0.374
1986-07-04,0.363
1986-07-11,0.330
1986-07-18,0.335
1986-07-25,0.327
1986-08-01,0.326
1986-08-08,0.401
1986-08-15,0.412
1986-08-22,0.417
1986-08-29,0.417
1986-09-05,0.438
1986-09-12,0.401
1986-09-19,0.385
1986-09-26,0.391
1986-10-03,0.409
1986-10-10,0.401
1986-10-17,0.388
1986-10-24,0.397
1986-10-31,0.376
1986-11-07,0.408
1986-11-14,0.430
1986-11-21,0.430
1986-11-28,0.418
1986-12-05,0.434
1986-12-12,0.435
1986-12-19,0.447
1986-12-26,0.464
1987-01-02,0.478
1987-01-09,0.500
1987-01-16,0.544
1987-01-23,0.532
1987-01-30,0.515
1987-02-06,0.501
1987-02-13,0.482
1987-02-20,0.470
1987-02-27,0.442
1987-03-06,0.464
1987-03-13,0.501
1987-03-20,0.512
1987-03-27,0.493
1987-04-03,0.489
1987-04-10,0.481
1987-04-17,0.475
1987-04-24,0.483
1987-05-01,0.493
1987-05-08,0.507
1987-05-15,0.522
1987-05-22,0.526
1987-05-29,0.521
1987-06-05,0.517
1987-06-12,0.523
1987-06-19,0.529
1987-06-26,0.517
1987-07-03,0.539
1987-07-10,0.543
1987-07-17,0.556
1987-07-24,0.550
1987-07-31,0.542
1987-08-07,0.554
1987-08-14,0.537
1987-08-21,0.505
1987-08-28,0.502
1987-09-04,0.519
1987-09-11,0.518
1987-09-18,0.519
1987-09-25,0.525
1987-10-02,0.541
1987-10-09,0.554
1987-10-16,0.561
1987-10-23,0.570
1987-10-30,0.572
1987-11-06,0.557
1987-11-13,0.563
1987-11-20,0.553
1987-11-27,0.562
1987-12-04,0.569
1987-12-11,0.558
1987-12-18,0.515
1987-12-25,0.519
1988-01-01,0.514
1988-01-08,0.543
1988-01-15,0.526
1988-01-22,0.508
1988-01-29,0.493
1988-02-05,0.492
1988-02-12,0.497
1988-02-19,0.471
1988-02-26,0.465
1988-03-04,0.465
1988-03-11,0.462
1988-03-18,0.465
1988-03-25,0.495
1988-04-01,0.493
1988-04-08,0.474
1988-04-15,0.510
1988-04-22,0.529
1988-04-29,0.546
1988-05-06,0.516
1988-05-13,0.517
1988-05-20,0.504
1988-05-27,0.500
1988-06-03,0.490
1988-06-10,0.464
1988-06-17,0.443
1988-06-24,0.435
1988-07-01,0.417
1988-07-08,0.426
1988-07-15,0.404
1988-07-22,0.441
1988-07-29,0.441
1988-08-05,0.432
1988-08-12,0.438
1988-08-19,0.437
1988-08-26,0.431
1988-09-02,0.428
1988-09-09,0.410
1988-09-16,0.415
1988-09-23,0.401
1988-09-30,0.388
1988-10-07,0.368
1988-10-14,0.398
1988-10-21,0.423
1988-10-28,0.415
1988-11-04,0.437
1988-11-11,0.440
1988-11-18,0.440
1988-11-25,0.455
1988-12-02,0.486
1988-12-09,0.486
1988-12-16,0.508
1988-12-23,0.523
1988-12-30,0.536
1989-01-06,0.546
1989-01-13,0.555
1989-01-20,0.556
1989-01-27,0.525
1989-02-03,0.528
1989-02-10,0.513
1989-02-17,0.501
1989-02-24,0.510
1989-03-03,0.540
1989-03-10,0.569
1989-03-17,0.580
1989-03-24,0.581
1989-03-31,0.563
1989-04-07,0.550
1989-04-14,0.542
1989-04-21,0.536
1989-04-28,0.524
1989-05-05,0.508
1989-05-12,0.503
1989-05-19,0.510
1989-05-26,0.510
1989-06-02,0.504
1989-06-09,0.502
1989-06-16,0.458
1989-06-23,0.477
1989-06-30,0.495
1989-07-07,0.499
1989-07-14,0.489
1989-07-21,0.502
