DATE,WLDLCL
2002-12-18,24923
2002-12-25,29704
2003-01-01,28249
2003-01-08,31135
2003-01-15,32648
2003-01-22,44098
2003-01-29,25671
2003-02-05,29814
2003-02-12,21565
2003-02-19,32828
2003-02-26,28898
2003-03-05,26825
2003-03-12,21343
2003-03-19,33960
2003-03-26,28079
2003-04-02,30583
2003-04-09,25309
2003-04-16,42795
2003-04-23,30369
2003-04-30,43007
2003-05-07,27872
2003-05-14,35188
2003-05-21,29144
2003-05-28,33558
2003-06-04,22192
2003-06-11,35693
2003-06-18,27211
2003-06-25,36986
2003-07-02,26422
2003-07-09,33479
2003-07-16,29600
2003-07-23,39452
2003-07-30,33151
2003-08-06,25188
2003-08-13,27215
2003-08-20,42103
2003-08-27,31731
2003-09-03,34317
2003-09-10,26161
2003-09-17,34823
2003-09-24,32208
2003-10-01,38548
2003-10-08,23618
2003-10-15,35130
2003-10-22,29303
2003-10-29,32601
2003-11-05,24960
2003-11-12,27724
2003-11-19,25924
2003-11-26,32954
2003-12-03,24433
2003-12-10,31823
2003-12-17,26510
2003-12-24,30293
2003-12-31,29660
2004-01-07,25080
2004-01-14,27310
2004-01-21,48816
2004-01-28,31035
2004-02-04,27507
2004-02-11,23408
2004-02-18,26331
2004-02-25,25434
2004-03-03,28201
2004-03-10,24155
2004-03-17,34489
2004-03-24,25447
2004-03-31,31153
2004-04-07,24882
2004-04-14,34058
2004-04-21,29736
2004-04-28,43274
2004-05-05,25174
2004-05-12,33811
2004-05-19,25658
2004-05-26,36473
2004-06-02,21842
2004-06-09,33598
2004-06-16,26646
2004-06-23,38169
2004-06-30,36166
2004-07-07,26739
2004-07-14,28231
2004-07-21,31774
2004-07-28,29469
2004-08-04,23903
2004-08-11,21048
2004-08-18,19065
2004-08-25,27208
2004-09-01,30690
2004-09-08,28394
2004-09-15,32493
2004-09-22,27087
2004-09-29,30704
2004-10-06,22452
2004-10-13,31292
2004-10-20,23503
2004-10-27,29945
2004-11-03,25109
2004-11-10,29792
2004-11-17,22065
2004-11-24,32275
2004-12-01,30446
2004-12-08,32400
2004-12-15,30501
2004-12-22,29806
2004-12-29,27476
2005-01-05,36930
2005-01-12,26032
2005-01-19,32148
2005-01-26,33368
2005-02-02,29741
2005-02-09,20097
2005-02-16,22459
2005-02-23,28345
2005-03-02,25177
2005-03-09,23139
2005-03-16,31373
2005-03-23,22691
2005-03-30,31783
2005-04-06,20703
2005-04-13,29496
2005-04-20,24326
2005-04-27,31652
2005-05-04,22164
2005-05-11,29416
2005-05-18,22857
2005-05-25,29757
2005-06-01,30965
2005-06-08,30360
2005-06-15,30165
2005-06-22,29112
2005-06-29,24635
2005-07-06,29344
2005-07-13,19771
2005-07-20,27905
2005-07-27,25644
2005-08-03,31373
2005-08-10,20428
2005-08-17,26443
2005-08-24,25048
2005-08-31,31698
2005-09-07,24846
2005-09-14,28718
2005-09-21,21709
2005-09-28,32607
2005-10-05,20773
2005-10-12,24057
2005-10-19,19824
2005-10-26,26699
2005-11-02,18734
2005-11-09,25177
2005-11-16,19718
2005-11-23,26896
2005-11-30,25174
2005-12-07,25626
2005-12-14,21546
2005-12-21,32061
2005-12-28,21666
2006-01-04,30103
2006-01-11,19314
2006-01-18,24635
2006-01-25,25845
2006-02-01,24905
2006-02-08,18924
2006-02-15,25518
2006-02-22,26048
2006-03-01,25899
2006-03-08,25722
2006-03-15,29301
2006-03-22,25480
2006-03-29,22881
2006-04-05,20022
2006-04-12,21355
2006-04-19,20194
2006-04-26,30259
2006-05-03,25049
2006-05-10,19297
2006-05-17,21758
2006-05-24,22880
2006-05-31,26360
2006-06-07,28059
2006-06-14,25172
2006-06-21,25360
2006-06-28,19439
2006-07-05,23397
2006-07-12,18658
2006-07-19,26795
2006-07-26,20121
2006-08-02,26912
2006-08-09,17314
2006-08-16,20922
2006-08-23,18725
2006-08-30,28831
2006-09-06,21565
2006-09-13,19162
2006-09-20,17655
2006-09-27,27063
2006-10-04,19523
2006-10-11,30890
2006-10-18,15996
2006-10-25,26736
2006-11-01,27192
2006-11-08,27306
2006-11-15,22869
2006-11-22,29228
2006-11-29,19242
2006-12-06,26459
2006-12-13,17209
2006-12-20,22272
2006-12-27,17591
2007-01-03,26529
2007-01-10,15426
2007-01-17,19642
2007-01-24,19013
2007-01-31,30657
2007-02-07,16144
2007-02-14,22640
2007-02-21,20374
2007-02-28,28464
2007-03-07,16805
2007-03-14,27188
2007-03-21,16321
2007-03-28,23524
2007-04-04,16157
2007-04-11,19753
2007-04-18,16201
2007-04-25,34982
2007-05-02,37594
2007-05-09,27583
2007-05-16,15714
2007-05-23,27894
2007-05-30,24032
2007-06-06,24454
2007-06-13,19153
2007-06-20,22478
2007-06-27,20574
2007-07-04,21238
2007-07-11,16010
2007-07-18,24603
2007-07-25,17886
2007-08-01,22243
2007-08-08,18494
2007-08-15,18056
2007-08-22,18769
2007-08-29,26861
2007-09-05,16112
2007-09-12,37220
2007-09-19,18218
2007-09-26,39511
2007-10-03,16793
2007-10-10,30329
2007-10-17,15793
2007-10-24,26243
2007-10-31,25915
2007-11-07,25068
2007-11-14,26388
2007-11-21,26693
2007-11-28,19576
2007-12-05,21506
2007-12-12,18611
2007-12-19,22602
2007-12-26,16358
2008-01-02,47444
2008-01-09,18561
2008-01-16,34328
2008-01-23,21255
2008-01-30,43998
2008-02-06,14694
2008-02-13,23404
2008-02-20,15249
2008-02-27,27595
2008-03-05,14895
2008-03-12,30612
2008-03-19,15925
2008-03-26,27011
2008-04-02,17840
2008-04-09,29609
2008-04-16,17769
2008-04-23,23090
2008-04-30,25645
2008-05-07,25463
2008-05-14,14959
2008-05-21,32557
2008-05-28,31661
2008-06-04,21383
2008-06-11,19107
2008-06-18,28688
2008-06-25,17387
2008-07-02,20730
2008-07-09,15693
2008-07-16,28403
2008-07-23,18111
2008-07-30,33417
2008-08-06,16065
