DATE,WLODLL
2002-12-18,17943
2002-12-25,24701
2003-01-01,22541
2003-01-08,25196
2003-01-15,26991
2003-01-22,37629
2003-01-29,18327
2003-02-05,23756
2003-02-12,17707
2003-02-19,28006
2003-02-26,23556
2003-03-05,20980
2003-03-12,16219
2003-03-19,29942
2003-03-26,21815
2003-04-02,24004
2003-04-09,18058
2003-04-16,33637
2003-04-23,20745
2003-04-30,31880
2003-05-07,21417
2003-05-14,27603
2003-05-21,21162
2003-05-28,28360
2003-06-04,15747
2003-06-11,29349
2003-06-18,18800
2003-06-25,31055
2003-07-02,20019
2003-07-09,26571
2003-07-16,23429
2003-07-23,32837
2003-07-30,25879
2003-08-06,18340
2003-08-13,20690
2003-08-20,35188
2003-08-27,25927
2003-09-03,28866
2003-09-10,20755
2003-09-17,27034
2003-09-24,25027
2003-10-01,32794
2003-10-08,18268
2003-10-15,29820
2003-10-22,23802
2003-10-29,26560
2003-11-05,19567
2003-11-12,22650
2003-11-19,20365
2003-11-26,27239
2003-12-03,19660
2003-12-10,26336
2003-12-17,18735
2003-12-24,25242
2003-12-31,23058
2004-01-07,19856
2004-01-14,21503
2004-01-21,40544
2004-01-28,25329
2004-02-04,21282
2004-02-11,17688
2004-02-18,20938
2004-02-25,19815
2004-03-03,23087
2004-03-10,19278
2004-03-17,27635
2004-03-24,20716
2004-03-31,24955
2004-04-07,19886
2004-04-14,28722
2004-04-21,23388
2004-04-28,36341
2004-05-05,18852
2004-05-12,28521
2004-05-19,20861
2004-05-26,31282
2004-06-02,19870
2004-06-09,28051
2004-06-16,19208
2004-06-23,30657
2004-06-30,29628
2004-07-07,23476
2004-07-14,22431
2004-07-21,26508
2004-07-28,24655
2004-08-04,18422
2004-08-11,16084
2004-08-18,14001
2004-08-25,23028
2004-09-01,23918
2004-09-08,24346
2004-09-15,24535
2004-09-22,21913
2004-09-29,24943
2004-10-06,16462
2004-10-13,25447
2004-10-20,18343
2004-10-27,24947
2004-11-03,19684
2004-11-10,24842
2004-11-17,16825
2004-11-24,27320
2004-12-01,24780
2004-12-08,27228
2004-12-15,25104
2004-12-22,25406
2004-12-29,21433
2005-01-05,31818
2005-01-12,20709
2005-01-19,26540
2005-01-26,27858
2005-02-02,24179
2005-02-09,14979
2005-02-16,17067
2005-02-23,23502
2005-03-02,19888
2005-03-09,18173
2005-03-16,26291
2005-03-23,17693
2005-03-30,26249
2005-04-06,15791
2005-04-13,24181
2005-04-20,19824
2005-04-27,24915
2005-05-04,17110
2005-05-11,24025
2005-05-18,17391
2005-05-25,23881
2005-06-01,26531
2005-06-08,25122
2005-06-15,19971
2005-06-22,23662
2005-06-29,20127
2005-07-06,24424
2005-07-13,14577
