DATE,WLTIIT
2000-01-07,4.31
2000-01-14,4.35
2000-01-21,4.39
2000-01-28,4.33
2000-02-04,4.19
2000-02-11,4.15
2000-02-18,4.17
2000-02-25,4.15
2000-03-03,4.15
2000-03-10,4.14
2000-03-17,4.12
2000-03-24,4.06
2000-03-31,3.97
2000-04-07,3.89
2000-04-14,3.89
2000-04-21,3.88
2000-04-28,3.88
2000-05-05,3.88
2000-05-12,3.96
2000-05-19,4.01
2000-05-26,4.01
2000-06-02,3.97
2000-06-09,3.92
2000-06-16,3.92
2000-06-23,3.91
2000-06-30,3.91
2000-07-07,3.87
2000-07-14,3.86
2000-07-21,3.86
2000-07-28,3.85
2000-08-04,3.85
2000-08-11,3.86
2000-08-18,3.88
2000-08-25,3.89
2000-09-01,3.89
2000-09-08,3.90
2000-09-15,3.91
2000-09-22,3.96
2000-09-29,3.94
2000-10-06,3.93
2000-10-13,3.92
2000-10-20,3.89
2000-10-27,3.85
2000-11-03,3.85
2000-11-10,3.87
2000-11-17,3.86
2000-11-24,3.84
2000-12-01,3.80
2000-12-08,3.78
2000-12-15,3.76
2000-12-22,3.72
2000-12-29,3.73
2001-01-05,3.64
2001-01-12,3.62
2001-01-19,3.63
2001-01-26,3.62
2001-02-02,3.61
2001-02-09,3.53
2001-02-16,3.51
2001-02-23,3.53
2001-03-02,3.47
2001-03-09,3.44
2001-03-16,3.44
2001-03-23,3.45
2001-03-30,3.52
2001-04-06,3.52
2001-04-13,3.57
2001-04-20,3.57
2001-04-27,3.53
2001-05-04,3.49
2001-05-11,3.46
2001-05-18,3.46
2001-05-25,3.47
2001-06-01,3.45
2001-06-08,3.46
2001-06-15,3.48
2001-06-22,3.47
2001-06-29,3.46
2001-07-06,3.49
2001-07-13,3.50
2001-07-20,3.46
2001-07-27,3.47
2001-08-03,3.40
2001-08-10,3.41
2001-08-17,3.39
2001-08-24,3.43
2001-08-31,3.42
2001-09-07,3.45
2001-09-14,3.41
2001-09-21,3.42
2001-09-28,3.44
2001-10-05,3.45
2001-10-12,3.48
2001-10-19,3.46
2001-10-26,3.43
2001-11-02,3.24
2001-11-09,3.15
2001-11-16,3.26
2001-11-23,3.39
2001-11-30,3.44
2001-12-07,3.48
2001-12-14,3.56
2001-12-21,3.53
2001-12-28,3.45
2002-01-04,3.48
2002-01-11,3.47
2002-01-18,3.46
2002-01-25,3.48
2002-02-01,3.50
2002-02-08,3.49
2002-02-15,3.50
2002-02-22,3.41
2002-03-01,3.39
2002-03-08,3.45
2002-03-15,3.50
2002-03-22,3.51
2002-03-29,3.49
2002-04-05,3.46
2002-04-12,3.41
2002-04-19,3.35
2002-04-26,3.33
2002-05-03,3.34
2002-05-10,3.32
2002-05-17,3.33
2002-05-24,3.30
2002-05-31,3.25
2002-06-07,3.22
2002-06-14,3.20
2002-06-21,3.14
2002-06-28,3.14
2002-07-05,3.15
2002-07-12,3.17
2002-07-19,3.10
2002-07-26,3.05
2002-08-02,3.08
2002-08-09,3.01
2002-08-16,2.85
2002-08-23,2.82
2002-08-30,2.79
2002-09-06,2.73
2002-09-13,2.73
2002-09-20,2.66
2002-09-27,2.65
2002-10-04,2.68
2002-10-11,2.70
2002-10-18,2.91
2002-10-25,3.01
2002-11-01,3.00
2002-11-08,2.94
2002-11-15,2.84
2002-11-22,2.87
2002-11-29,2.91
2002-12-06,2.89
2002-12-13,2.85
2002-12-20,2.82
2002-12-27,2.76
2003-01-03,2.72
2003-01-10,2.79
2003-01-17,2.73
2003-01-24,2.66
2003-01-31,2.66
2003-02-07,2.60
2003-02-14,2.52
2003-02-21,2.49
2003-02-28,2.40
2003-03-07,2.35
2003-03-14,2.38
2003-03-21,2.64
2003-03-28,2.68
2003-04-04,2.65
2003-04-11,2.72
2003-04-18,2.76
2003-04-25,2.75
2003-05-02,2.70
2003-05-09,2.55
2003-05-16,2.37
2003-05-23,2.25
2003-05-30,2.30
2003-06-06,2.27
2003-06-13,2.18
2003-06-20,2.26
