DATE,WPROPANEMBTX
1992-07-03,0.344
1992-07-10,0.326
1992-07-17,0.336
1992-07-24,0.343
1992-07-31,0.355
1992-08-07,0.356
1992-08-14,0.349
1992-08-21,0.351
1992-08-28,0.356
1992-09-04,0.367
1992-09-11,0.378
1992-09-18,0.380
1992-09-25,0.375
1992-10-02,0.372
1992-10-09,0.364
1992-10-16,0.356
1992-10-23,0.354
1992-10-30,0.336
1992-11-06,0.342
1992-11-13,0.327
1992-11-20,0.322
1992-11-27,0.316
1992-12-04,0.300
1992-12-11,0.299
1992-12-18,0.307
1992-12-25,0.332
1993-01-01,0.329
1993-01-08,0.333
1993-01-15,0.356
1993-01-22,0.330
1993-01-29,0.330
1993-02-05,0.323
1993-02-12,0.327
1993-02-19,0.326
1993-02-26,0.342
1993-03-05,0.331
1993-03-12,0.334
1993-03-19,0.347
1993-03-26,0.351
1993-04-02,0.347
1993-04-09,0.348
1993-04-16,0.349
1993-04-23,0.341
1993-04-30,0.337
1993-05-07,0.332
1993-05-14,0.325
1993-05-21,0.329
1993-05-28,0.326
1993-06-04,0.323
1993-06-11,0.328
1993-06-18,0.331
1993-06-25,0.329
1993-07-02,0.328
1993-07-09,0.325
1993-07-16,0.313
1993-07-23,0.307
1993-07-30,0.309
1993-08-06,0.307
1993-08-13,0.301
1993-08-20,0.307
1993-08-27,0.305
1993-09-03,0.306
1993-09-10,0.299
1993-09-17,0.295
1993-09-24,0.297
1993-10-01,0.305
1993-10-08,0.306
1993-10-15,0.299
1993-10-22,0.288
1993-10-29,0.276
1993-11-05,0.284
1993-11-12,0.280
1993-11-19,0.267
1993-11-26,0.275
1993-12-03,0.257
1993-12-10,0.239
1993-12-17,0.237
1993-12-24,0.249
1993-12-31,0.253
1994-01-07,0.254
1994-01-14,0.260
1994-01-21,0.267
1994-01-28,0.268
1994-02-04,0.303
1994-02-11,0.293
1994-02-18,0.277
1994-02-25,0.287
1994-03-04,0.282
1994-03-11,0.280
1994-03-18,0.288
1994-03-25,0.289
1994-04-01,0.280
1994-04-08,0.286
1994-04-15,0.285
1994-04-22,0.289
1994-04-29,0.295
1994-05-06,0.297
1994-05-13,0.304
1994-05-20,0.295
1994-05-27,0.291
1994-06-03,0.288
1994-06-10,0.287
1994-06-17,0.287
1994-06-24,0.292
1994-07-01,0.286
1994-07-08,0.289
1994-07-15,0.293
1994-07-22,0.291
1994-07-29,0.297
1994-08-05,0.304
1994-08-12,0.303
1994-08-19,0.301
1994-08-26,0.296
1994-09-02,0.294
1994-09-09,0.298
1994-09-16,0.298
1994-09-23,0.298
1994-09-30,0.304
1994-10-07,0.320
1994-10-14,0.325
1994-10-21,0.324
1994-10-28,0.326
1994-11-04,0.337
1994-11-11,0.339
1994-11-18,0.346
1994-11-25,0.352
1994-12-02,0.346
1994-12-09,0.332
1994-12-16,0.343
1994-12-23,0.329
1994-12-30,0.329
1995-01-06,0.341
1995-01-13,0.327
1995-01-20,0.330
1995-01-27,0.323
1995-02-03,0.305
1995-02-10,0.312
1995-02-17,0.315
1995-02-24,0.324
1995-03-03,0.334
1995-03-10,0.327
1995-03-17,0.332
1995-03-24,0.322
1995-03-31,0.323
1995-04-07,0.320
1995-04-14,0.319
1995-04-21,0.321
1995-04-28,0.331
1995-05-05,0.335
1995-05-12,0.329
1995-05-19,0.328
1995-05-26,0.321
1995-06-02,0.321
1995-06-09,0.324
1995-06-16,0.319
1995-06-23,0.311
1995-06-30,0.315
1995-07-07,0.310
1995-07-14,0.307
1995-07-21,0.306
1995-07-28,0.309
1995-08-04,0.317
1995-08-11,0.317
1995-08-18,0.308
1995-08-25,0.314
1995-09-01,0.309
1995-09-08,0.313
1995-09-15,0.312
1995-09-22,0.316
1995-09-29,0.312
1995-10-06,0.312
1995-10-13,0.311
1995-10-20,0.307
1995-10-27,0.306
1995-11-03,0.309
1995-11-10,0.310
1995-11-17,0.306
1995-11-24,0.310
1995-12-01,0.311
1995-12-08,0.323
1995-12-15,0.340
1995-12-22,0.382
1995-12-29,0.387
1996-01-05,0.390
1996-01-12,0.361
1996-01-19,0.348
1996-01-26,0.333
1996-02-02,0.346
1996-02-09,0.372
1996-02-16,0.427
1996-02-23,0.386
1996-03-01,0.386
1996-03-08,0.364
1996-03-15,0.360
1996-03-22,0.380
1996-03-29,0.371
1996-04-05,0.352
1996-04-12,0.358
1996-04-19,0.352
1996-04-26,0.358
1996-05-03,0.356
1996-05-10,0.346
1996-05-17,0.345
1996-05-24,0.347
1996-05-31,0.355
1996-06-07,0.346
1996-06-14,0.348
1996-06-21,0.349
1996-06-28,0.351
1996-07-05,0.360
1996-07-12,0.361
1996-07-19,0.354
1996-07-26,0.350
1996-08-02,0.356
1996-08-09,0.366
1996-08-16,0.376
1996-08-23,0.392
1996-08-30,0.410
1996-09-06,0.424
1996-09-13,0.468
1996-09-20,0.487
1996-09-27,0.487
1996-10-04,0.507
1996-10-11,0.492
1996-10-18,0.497
1996-10-25,0.537
1996-11-01,0.538
1996-11-08,0.515
1996-11-15,0.548
1996-11-22,0.621
1996-11-29,0.676
1996-12-06,0.682
1996-12-13,0.580
1996-12-20,0.646
1996-12-27,0.564
1997-01-03,0.506
1997-01-10,0.536
1997-01-17,0.487
1997-01-24,0.443
1997-01-31,0.409
1997-02-07,0.382
1997-02-14,0.373
1997-02-21,0.383
1997-02-28,0.408
1997-03-07,0.388
1997-03-14,0.392
1997-03-21,0.383
1997-03-28,0.378
1997-04-04,0.353
1997-04-11,0.347
1997-04-18,0.343
1997-04-25,0.354
1997-05-02,0.351
1997-05-09,0.349
1997-05-16,0.351
1997-05-23,0.359
1997-05-30,0.353
1997-06-06,0.351
1997-06-13,0.343
1997-06-20,0.340
1997-06-27,0.341
1997-07-04,0.349
1997-07-11,0.346
1997-07-18,0.346
1997-07-25,0.349
1997-08-01,0.354
1997-08-08,0.364
1997-08-15,0.367
1997-08-22,0.374
1997-08-29,0.375
1997-09-05,0.383
1997-09-12,0.383
1997-09-19,0.386
1997-09-26,0.389
1997-10-03,0.406
1997-10-10,0.404
1997-10-17,0.393
1997-10-24,0.397
1997-10-31,0.393
1997-11-07,0.375
1997-11-14,0.367
1997-11-21,0.356
1997-11-28,0.333
1997-12-05,0.322
1997-12-12,0.336
1997-12-19,0.341
1997-12-26,0.349
1998-01-02,0.333
1998-01-09,0.318
1998-01-16,0.299
1998-01-23,0.288
1998-01-30,0.297
1998-02-06,0.303
1998-02-13,0.302
1998-02-20,0.300
1998-02-27,0.288
1998-03-06,0.278
1998-03-13,0.261
1998-03-20,0.261
1998-03-27,0.296
1998-04-03,0.281
1998-04-10,0.289
1998-04-17,0.291
1998-04-24,0.299
1998-05-01,0.291
1998-05-08,0.286
1998-05-15,0.279
1998-05-22,0.268
1998-05-29,0.259
1998-06-05,0.259
1998-06-12,0.243
1998-06-19,0.236
1998-06-26,0.242
1998-07-03,0.245
1998-07-10,0.242
1998-07-17,0.246
1998-07-24,0.249
1998-07-31,0.246
1998-08-07,0.245
1998-08-14,0.240
1998-08-21,0.241
1998-08-28,0.241
1998-09-04,0.234
1998-09-11,0.238
1998-09-18,0.254
1998-09-25,0.261
1998-10-02,0.254
1998-10-09,0.255
1998-10-16,0.255
1998-10-23,0.258
1998-10-30,0.260
1998-11-06,0.257
1998-11-13,0.258
1998-11-20,0.246
1998-11-27,0.232
1998-12-04,0.207
1998-12-11,0.211
1998-12-18,0.213
1998-12-25,0.209
1999-01-01,0.206
1999-01-08,0.216
1999-01-15,0.215
1999-01-22,0.216
1999-01-29,0.221
1999-02-05,0.224
1999-02-12,0.224
1999-02-19,0.223
1999-02-26,0.226
