DATE,WSECOUT
1989-03-22,235.445
1989-03-29,235.244
1989-04-05,234.625
1989-04-12,238.328
1989-04-19,238.637
1989-04-26,237.972
1989-05-03,240.051
1989-05-10,240.777
1989-05-17,239.341
1989-05-24,236.682
1989-05-31,232.132
1989-06-07,234.015
1989-06-14,232.291
1989-06-21,231.296
1989-06-28,237.274
1989-07-05,235.620
1989-07-12,233.121
1989-07-19,228.080
1989-07-26,226.361
1989-08-02,225.204
1989-08-09,226.086
1989-08-16,225.784
1989-08-23,224.353
1989-08-30,225.290
1989-09-06,225.007
1989-09-13,225.606
1989-09-20,224.917
1989-09-27,225.654
1989-10-04,227.723
1989-10-11,223.402
1989-10-18,222.826
1989-10-25,219.401
1989-11-01,221.487
1989-11-08,223.276
1989-11-15,221.415
1989-11-22,223.397
1989-11-29,222.779
1989-12-06,229.528
1989-12-13,229.565
1989-12-20,229.133
1989-12-27,228.467
1990-01-03,231.800
1990-01-10,230.670
1990-01-17,228.934
1990-01-24,227.083
1990-01-31,223.752
1990-02-07,220.861
1990-02-14,221.420
1990-02-21,222.665
1990-02-28,224.335
1990-03-07,226.990
1990-03-14,225.723
1990-03-21,225.501
1990-03-28,224.594
1990-04-04,226.051
1990-04-11,230.528
1990-04-18,230.203
1990-04-25,230.799
1990-05-02,230.442
1990-05-09,231.017
1990-05-16,230.803
1990-05-23,229.522
1990-05-30,231.388
1990-06-06,233.840
1990-06-13,234.244
1990-06-20,235.428
1990-06-27,236.022
1990-07-04,237.722
1990-07-11,236.390
1990-07-18,236.792
1990-07-25,237.169
1990-08-01,237.586
1990-08-08,238.441
1990-08-15,238.820
1990-08-22,236.553
1990-08-29,236.638
1990-09-05,239.905
1990-09-12,239.309
1990-09-19,240.064
1990-09-26,240.591
1990-10-03,240.508
1990-10-10,241.267
1990-10-17,240.601
1990-10-24,240.986
1990-10-31,241.223
1990-11-07,245.269
1990-11-14,244.961
1990-11-21,244.665
1990-11-28,244.710
1990-12-05,248.165
1990-12-12,248.003
1990-12-19,245.644
1990-12-26,245.243
1991-01-02,242.027
1991-01-09,241.587
1991-01-16,241.555
1991-01-23,239.184
1991-01-30,241.204
1991-02-06,239.435
1991-02-13,242.585
1991-02-20,241.915
1991-02-27,242.124
1991-03-06,244.407
1991-03-13,244.818
1991-03-20,243.818
1991-03-27,243.626
1991-04-03,247.208
1991-04-10,248.270
1991-04-17,246.434
1991-04-24,246.754
1991-05-01,247.557
1991-05-08,247.179
1991-05-15,249.122
1991-05-22,249.679
1991-05-29,250.069
1991-06-05,254.771
1991-06-12,253.951
1991-06-19,252.534
1991-06-26,252.370
1991-07-03,253.316
1991-07-10,254.217
1991-07-17,255.251
1991-07-24,257.020
1991-07-31,255.477
1991-08-07,255.924
1991-08-14,257.843
1991-08-21,257.654
1991-08-28,259.081
1991-09-04,261.213
1991-09-11,261.846
1991-09-18,263.273
1991-09-25,262.966
1991-10-02,264.169
1991-10-09,262.679
1991-10-16,262.517
1991-10-23,262.491
1991-10-30,262.571
1991-11-06,266.308
1991-11-13,266.702
1991-11-20,268.605
1991-11-27,268.428
1991-12-04,271.668
1991-12-11,274.468
1991-12-18,272.870
1991-12-25,272.529
1992-01-01,271.563
1992-01-08,272.780
1992-01-15,271.903
1992-01-22,270.615
1992-01-29,268.373
1992-02-05,266.933
1992-02-12,268.046
1992-02-19,269.593
1992-02-26,270.948
1992-03-04,270.760
1992-03-11,270.461
1992-03-18,270.602
1992-03-25,272.749
1992-04-01,272.219
1992-04-08,273.471
1992-04-15,271.921
1992-04-22,272.283
1992-04-29,271.674
1992-05-06,272.620
1992-05-13,272.601
1992-05-20,272.254
1992-05-27,273.622
1992-06-03,276.800
1992-06-10,280.223
1992-06-17,279.822
1992-06-24,280.272
1992-07-01,280.615
1992-07-08,278.750
1992-07-15,280.755
1992-07-22,280.869
1992-07-29,280.040
1992-08-05,280.671
1992-08-12,281.156
1992-08-19,281.662
1992-08-26,282.035
1992-09-02,282.659
1992-09-09,287.239
1992-09-16,286.030
1992-09-23,286.128
1992-09-30,287.066
1992-10-07,286.666
1992-10-14,287.571
1992-10-21,287.694
1992-10-28,287.440
1992-11-04,291.227
1992-11-11,290.602
1992-11-18,291.898
1992-11-25,297.362
1992-12-02,298.436
1992-12-09,299.054
1992-12-16,300.413
1992-12-23,301.588
