DATE,WSHONBIIL
2002-12-18,12242
2002-12-25,12242
2003-01-01,12242
2003-01-08,12242
2003-01-15,12242
2003-01-22,12242
2003-01-29,12242
2003-02-05,12242
2003-02-12,12242
2003-02-19,12242
2003-02-26,12242
2003-03-05,12242
2003-03-12,12242
2003-03-19,12242
2003-03-26,12814
2003-04-02,12814
2003-04-09,12814
2003-04-16,12814
2003-04-23,12814
2003-04-30,12814
2003-05-07,12814
2003-05-14,12814
2003-05-21,12814
2003-05-28,12814
2003-06-04,12814
2003-06-11,12814
2003-06-18,12814
2003-06-25,12814
2003-07-02,12814
2003-07-09,12814
2003-07-16,12814
2003-07-23,12814
2003-07-30,12814
2003-08-06,12814
2003-08-13,12814
2003-08-20,12814
2003-08-27,12814
2003-09-03,12814
2003-09-10,13454
2003-09-17,13454
2003-09-24,13454
2003-10-01,13454
2003-10-08,13454
2003-10-15,13454
2003-10-22,13454
2003-10-29,13454
2003-11-05,13454
2003-11-12,13454
2003-11-19,13454
2003-11-26,13454
2003-12-03,13994
2003-12-10,13994
2003-12-17,13994
2003-12-24,13994
2003-12-31,13994
2004-01-07,13994
2004-01-14,13994
2004-01-21,13994
2004-01-28,13994
2004-02-04,13994
2004-02-11,13994
2004-02-18,13994
2004-02-25,13994
2004-03-03,13994
2004-03-10,14464
2004-03-17,14464
2004-03-24,14464
2004-03-31,14464
2004-04-07,14464
2004-04-14,14464
2004-04-21,14464
2004-04-28,14464
2004-05-05,14464
2004-05-12,14464
2004-05-19,14464
2004-05-26,14464
2004-06-02,14464
2004-06-09,14464
2004-06-16,14464
2004-06-23,14464
2004-06-30,14464
2004-07-07,14464
2004-07-14,14862
2004-07-21,14862
2004-07-28,14862
2004-08-04,14862
2004-08-11,14862
2004-08-18,14862
2004-08-25,14862
2004-09-01,14862
2004-09-08,14862
2004-09-15,14862
2004-09-22,14862
2004-09-29,15262
2004-10-06,15262
2004-10-13,15262
2004-10-20,15262
2004-10-27,15262
2004-11-03,15262
2004-11-10,15683
2004-11-17,15683
2004-11-24,15683
2004-12-01,15683
2004-12-08,15683
2004-12-15,16108
2004-12-22,16108
2004-12-29,16108
2005-01-05,16108
2005-01-12,16108
2005-01-19,16108
2005-01-26,16108
2005-02-02,19108
2005-02-09,19108
2005-02-16,19108
2005-02-23,19108
2005-03-02,19108
2005-03-09,19108
2005-03-16,19108
2005-03-23,19108
2005-03-30,19108
2005-04-06,19108
2005-04-13,19108
2005-04-20,19108
2005-04-27,19108
2005-05-04,19108
2005-05-11,19108
2005-05-18,19108
2005-05-25,19108
2005-06-01,19108
