DATE,WSHONBNL
2002-12-18,389219
2002-12-25,389219
2003-01-01,389219
2003-01-08,389219
2003-01-15,389219
2003-01-22,389219
2003-01-29,389219
2003-02-05,389219
2003-02-12,390217
2003-02-19,390217
2003-02-26,391913
2003-03-05,392593
2003-03-12,393911
2003-03-19,394621
2003-03-26,394621
2003-04-02,394621
2003-04-09,395354
2003-04-16,396776
2003-04-23,396776
2003-04-30,396776
2003-05-07,396776
2003-05-14,396776
2003-05-21,398853
2003-05-28,398853
2003-06-04,398853
2003-06-11,398853
2003-06-18,398853
2003-06-25,398853
2003-07-02,398853
2003-07-09,398853
2003-07-16,398853
2003-07-23,398853
2003-07-30,398853
2003-08-06,398853
2003-08-13,398853
2003-08-20,398853
2003-08-27,398853
2003-09-03,398853
2003-09-10,399595
2003-09-17,399595
2003-09-24,399595
2003-10-01,399595
2003-10-08,399595
2003-10-15,399595
2003-10-22,399595
2003-10-29,401322
2003-11-05,401322
2003-11-12,402422
2003-11-19,404669
2003-11-26,406173
2003-12-03,406173
2003-12-10,406173
2003-12-17,406173
2003-12-24,406173
2003-12-31,406173
2004-01-07,406173
2004-01-14,406173
2004-01-21,406173
2004-01-28,406173
2004-02-04,406173
2004-02-11,408394
2004-02-18,409124
2004-02-25,409784
2004-03-03,409784
2004-03-10,410563
2004-03-17,410563
2004-03-24,411388
2004-03-31,411388
2004-04-07,411388
2004-04-14,411388
2004-04-21,411388
2004-04-28,411388
2004-05-05,411388
2004-05-12,411388
2004-05-19,413080
2004-05-26,413863
2004-06-02,414659
2004-06-09,415659
2004-06-16,416694
2004-06-23,416694
2004-06-30,416694
2004-07-07,416694
2004-07-14,418251
2004-07-21,420150
2004-07-28,421546
2004-08-04,421546
2004-08-11,421546
2004-08-18,422541
2004-08-25,422541
2004-09-01,422541
2004-09-08,422541
2004-09-15,423341
2004-09-22,424141
2004-09-29,424141
2004-10-06,425339
2004-10-13,425339
2004-10-20,426333
2004-10-27,430125
2004-11-03,431328
2004-11-10,431328
2004-11-17,432526
2004-11-24,432526
2004-12-01,432526
2004-12-08,436429
2004-12-15,436429
2004-12-22,436429
2004-12-29,436429
2005-01-05,436429
2005-01-12,436429
2005-01-19,436429
2005-01-26,436429
2005-02-02,433429
2005-02-09,433429
2005-02-16,433429
2005-02-23,433429
2005-03-02,433096
2005-03-09,433096
2005-03-16,433096
2005-03-23,433096
2005-03-30,433096
2005-04-06,432885
2005-04-13,432885
2005-04-20,432885
2005-04-27,434085
2005-05-04,434785
2005-05-11,435683
2005-05-18,435683
2005-05-25,436781
2005-06-01,438678
2005-06-08,438678
2005-06-15,438678
2005-06-22,438678
2005-06-29,438678
2005-07-06,437374
2005-07-13,437374
2005-07-20,437374
2005-07-27,437374
2005-08-03,437374
2005-08-10,437374
2005-08-17,438764
2005-08-24,439752
2005-08-31,440292
2005-09-07,440292
2005-09-14,442593
2005-09-21,442593
2005-09-28,443697
2005-10-05,444890
2005-10-12,444890
2005-10-19,444890
2005-10-26,445890
2005-11-02,446792
2005-11-09,447592
2005-11-16,448688
2005-11-23,449784
2005-11-30,449595
2005-12-07,449595
2005-12-14,449595
2005-12-21,449595
2005-12-28,449595
2006-01-04,448274
2006-01-11,449118
2006-01-18,449118
2006-01-25,450065
2006-02-01,450580
2006-02-08,450580
2006-02-15,451830
2006-02-22,453078
2006-03-01,455227
2006-03-08,456077
2006-03-15,457177
2006-03-22,457177
2006-03-29,457177
2006-04-05,457177
2006-04-12,457177
2006-04-19,457177
2006-04-26,458273
2006-05-03,458273
2006-05-10,458273
2006-05-17,458155
2006-05-24,460850
2006-05-31,460850
2006-06-07,463264
2006-06-14,464580
2006-06-21,464580
2006-06-28,464580
2006-07-05,464580
2006-07-12,464580
2006-07-19,459061
2006-07-26,459061
2006-08-02,457826
2006-08-09,457826
2006-08-16,457826
2006-08-23,457826
2006-08-30,459695
2006-09-06,459695
2006-09-13,461791
2006-09-20,461791
2006-09-27,461791
2006-10-04,461791
2006-10-11,461791
2006-10-18,458058
2006-10-25,459815
2006-11-01,459065
2006-11-08,459065
2006-11-15,458730
2006-11-22,460598
2006-11-29,461368
2006-12-06,463015
2006-12-13,464445
2006-12-20,466522
2006-12-27,467864
2007-01-03,467864
2007-01-10,467864
2007-01-17,467864
2007-01-24,467864
2007-01-31,466675
2007-02-07,466675
2007-02-14,466675
2007-02-21,466675
2007-02-28,468553
2007-03-07,468553
2007-03-14,468553
2007-03-21,468553
2007-03-28,468553
2007-04-04,468553
2007-04-11,470399
2007-04-18,470399
2007-04-25,474059
2007-05-02,471936
2007-05-09,474672
2007-05-16,474672
2007-05-23,474672
2007-05-30,474672
2007-06-06,474672
2007-06-13,474672
2007-06-20,474672
2007-06-27,474672
2007-07-04,474672
2007-07-11,474672
2007-07-18,474672
2007-07-25,474672
2007-08-01,473378
2007-08-08,473378
2007-08-15,472142
2007-08-22,472142
2007-08-29,472142
2007-09-05,472142
2007-09-12,472142
2007-09-19,472142
2007-09-26,472142
2007-10-03,472142
2007-10-10,472142
2007-10-17,472142
2007-10-24,472142
2007-10-31,470984
2007-11-07,470984
2007-11-14,470984
2007-11-21,470984
2007-11-28,470984
2007-12-05,470984
2007-12-12,470984
2007-12-19,470984
2007-12-26,470984
2008-01-02,470984
2008-01-09,470984
2008-01-16,470984
2008-01-23,470984
2008-01-30,470984
2008-02-06,470010
2008-02-13,470010
2008-02-20,470010
2008-02-27,470010
2008-03-05,470010
2008-03-12,470010
2008-03-19,465010
2008-03-26,455052
2008-04-02,445050
2008-04-09,435051
2008-04-16,435051
2008-04-23,435051
2008-04-30,434317
2008-05-07,426818
2008-05-14,421816
2008-05-21,417391
2008-05-28,412392
2008-06-04,412392
2008-06-11,412392
2008-06-18,412392
2008-06-25,412392
2008-07-02,412392
2008-07-09,412392
2008-07-16,412392
2008-07-23,412392
2008-07-30,412392
2008-08-06,411731
2008-08-13,411731
2008-08-20,411731
2008-08-27,411731
2008-09-03,411731
2008-09-10,411731
2008-09-17,411731
2008-09-24,411731
2008-10-01,411731
2008-10-08,411731
2008-10-15,410757
2008-10-22,410757
2008-10-29,410757
2008-11-05,410491
2008-11-12,410491
2008-11-19,410491
2008-11-26,410491
2008-12-03,410491
2008-12-10,410491
2008-12-17,410491
2008-12-24,410491
2008-12-31,410491
2009-01-07,410491
2009-01-14,410491
2009-01-21,412914
2009-01-28,412914
2009-02-04,412914
2009-02-11,412914
2009-02-18,412914
2009-02-25,412914
2009-03-04,412914
2009-03-11,412914
2009-03-18,412914
2009-03-25,412914
2009-04-01,430454
2009-04-08,446488
2009-04-15,464032
2009-04-22,471032
2009-04-29,485057
2009-05-06,496305
2009-05-13,512770
2009-05-20,518925
2009-05-27,534022
2009-06-03,540022
2009-06-10,562516
2009-06-17,572466
2009-06-24,586963
2009-07-01,597212
2009-07-08,607211
2009-07-15,617575
2009-07-22,624575
2009-07-29,627575
2009-08-05,636919
2009-08-12,660465
2009-08-19,667481
2009-08-26,676176
2009-09-02,684075
2009-09-09,689025
2009-09-16,691074
2009-09-23,696923
2009-09-30,700468
2009-10-07,700468
2009-10-14,704717
2009-10-21,704663
2009-10-28,705713
2009-11-04,707649
2009-11-11,707649
2009-11-18,707649
2009-11-25,707649
2009-12-02,707649
2009-12-09,707649
2009-12-16,707649
2009-12-23,707649
2009-12-30,707649
2010-01-06,707649
2010-01-13,707649
2010-01-20,708872
2010-01-27,708872
2010-02-03,708872
2010-02-10,708872
2010-02-17,708872
2010-02-24,708872
2010-03-03,708872
2010-03-10,708872
2010-03-17,708872
2010-03-24,708872
2010-03-31,708872
2010-04-07,708872
2010-04-14,708872
2010-04-21,712258
2010-04-28,712258
2010-05-05,712023
2010-05-12,712023
2010-05-19,712023
2010-05-26,712023
2010-06-02,712023
2010-06-09,712023
2010-06-16,712023
2010-06-23,712023
2010-06-30,712023
2010-07-07,712023
2010-07-14,712023
2010-07-21,712020
2010-07-28,712020
2010-08-04,712020
2010-08-11,712020
2010-08-18,714571
2010-08-25,719530
2010-09-01,720773
2010-09-08,724381
2010-09-15,729023
2010-09-22,739482
2010-09-29,745442
2010-10-06,752832
2010-10-13,754901
2010-10-20,765851
2010-10-27,770841
2010-11-03,774990
2010-11-10,786015
2010-11-17,806318
2010-11-24,832126
2010-12-01,848332
2010-12-08,880479
2010-12-15,896578
2010-12-22,934527
2010-12-29,943377
2011-01-05,956554
2011-01-12,987625
2011-01-19,1004739
2011-01-26,1039604
2011-02-02,1061215
2011-02-09,1090111
2011-02-16,1111685
2011-02-23,1134743
2011-03-02,1157044
