DATE,WSWP7
2000-07-07,7.15
2000-07-14,7.18
2000-07-21,7.27
2000-07-28,7.18
2000-08-04,7.15
2000-08-11,7.03
2000-08-18,7.06
2000-08-25,7.00
2000-09-01,6.99
2000-09-08,6.92
2000-09-15,6.95
2000-09-22,6.95
2000-09-29,6.88
2000-10-06,6.88
2000-10-13,6.86
2000-10-20,6.76
2000-10-27,6.71
2000-11-03,6.79
2000-11-10,6.87
2000-11-17,6.78
2000-11-24,6.75
2000-12-01,6.65
2000-12-08,6.40
2000-12-15,6.22
2000-12-22,6.03
2000-12-29,6.04
2001-01-05,5.83
2001-01-12,5.77
2001-01-19,5.89
2001-01-26,5.98
2001-02-02,5.83
2001-02-09,5.87
2001-02-16,5.89
2001-02-23,5.89
2001-03-02,5.70
2001-03-09,5.71
2001-03-16,5.66
2001-03-23,5.54
2001-03-30,5.69
2001-04-06,5.64
2001-04-13,5.70
2001-04-20,5.84
2001-04-27,5.79
2001-05-04,5.81
2001-05-11,5.76
2001-05-18,5.99
2001-05-25,5.96
2001-06-01,5.98
2001-06-08,5.87
2001-06-15,5.82
2001-06-22,5.82
2001-06-29,5.87
2001-07-06,6.04
2001-07-13,5.93
2001-07-20,5.79
2001-07-27,5.72
2001-08-03,5.67
2001-08-10,5.68
2001-08-17,5.56
2001-08-24,5.54
2001-08-31,5.42
2001-09-07,5.47
2001-09-14,5.25
2001-09-21,5.11
2001-09-28,4.98
2001-10-05,4.86
2001-10-12,4.99
2001-10-19,4.93
2001-10-26,4.92
2001-11-02,4.69
2001-11-09,4.57
2001-11-16,4.86
2001-11-23,5.24
2001-11-30,5.30
2001-12-07,5.28
2001-12-14,5.48
2001-12-21,5.62
2001-12-28,5.64
2002-01-04,5.55
2002-01-11,5.40
2002-01-18,5.20
2002-01-25,5.37
2002-02-01,5.41
2002-02-08,5.31
2002-02-15,5.32
2002-02-22,5.24
2002-03-01,5.25
2002-03-08,5.47
2002-03-15,5.70
2002-03-22,5.75
2002-03-29,5.74
2002-04-05,5.67
2002-04-12,5.54
2002-04-19,5.51
2002-04-26,5.40
2002-05-03,5.32
2002-05-10,5.37
2002-05-17,5.44
2002-05-24,5.29
2002-05-31,5.24
2002-06-07,5.18
2002-06-14,5.13
2002-06-21,4.98
2002-06-28,4.95
2002-07-05,4.95
2002-07-12,4.85
2002-07-19,4.77
2002-07-26,4.57
2002-08-02,4.63
