DATE,WTB1YS
1959-07-17,4.51
1959-07-24,4.35
1959-07-31,4.23
1959-08-07,4.19
1959-08-14,4.19
1959-08-21,4.34
1959-08-28,4.44
1959-09-04,4.64
1959-09-11,4.72
1959-09-18,4.95
1959-09-25,4.83
1959-10-02,4.95
1959-10-09,4.69
1959-10-16,4.82
1959-10-23,4.66
1959-10-30,4.54
1959-11-06,4.42
1959-11-13,4.43
1959-11-20,4.55
1959-11-27,4.66
1959-12-04,4.98
1959-12-11,4.97
1959-12-18,4.96
1959-12-25,5.01
1960-01-01,5.03
1960-01-08,5.15
1960-01-15,4.96
1960-01-22,4.92
1960-01-29,4.76
1960-02-05,4.56
1960-02-12,4.41
1960-02-19,4.41
1960-02-26,4.39
1960-03-04,4.31
1960-03-11,3.97
1960-03-18,3.56
1960-03-25,3.27
1960-04-01,3.32
1960-04-08,3.3
1960-04-15,3.91
1960-04-22,4.17
1960-04-29,4.08
1960-05-06,4.01
1960-05-13,4.05
1960-05-20,4.09
1960-05-27,3.95
1960-06-03,3.57
1960-06-10,3.23
1960-06-17,2.9
1960-06-24,3.04
1960-07-01,2.95
1960-07-08,3.03
1960-07-15,3.07
1960-07-22,3.12
1960-07-29,2.92
1960-08-05,2.81
1960-08-12,2.79
1960-08-19,2.83
1960-08-26,2.81
1960-09-02,2.87
1960-09-09,2.87
1960-09-16,2.89
1960-09-23,2.82
1960-09-30,2.87
1960-10-07,2.93
1960-10-14,2.96
1960-10-21,2.99
1960-10-28,2.86
1960-11-04,2.82
1960-11-11,2.85
1960-11-18,2.91
1960-11-25,2.87
1960-12-02,2.86
1960-12-09,2.77
1960-12-16,2.63
1960-12-23,2.56
1960-12-30,2.51
1961-01-06,2.56
1961-01-13,2.57
1961-01-20,2.71
1961-01-27,2.66
1961-02-03,2.68
1961-02-10,2.71
1961-02-17,2.73
1961-02-24,2.83
1961-03-03,2.86
1961-03-10,2.76
1961-03-17,2.71
1961-03-24,2.71
1961-03-31,2.78
1961-04-07,2.75
1961-04-14,2.68
1961-04-21,2.77
1961-04-28,2.76
1961-05-05,2.69
1961-05-12,2.66
1961-05-19,2.7
1961-05-26,2.8
1961-06-02,2.83
1961-06-09,2.83
1961-06-16,2.78
1961-06-23,2.78
1961-06-30,2.77
1961-07-07,2.8
1961-07-14,2.72
1961-07-21,2.81
1961-07-28,2.83
1961-08-04,2.85
1961-08-11,2.93
1961-08-18,2.95
1961-08-25,2.89
1961-09-01,2.9
1961-09-08,2.89
1961-09-15,2.88
1961-09-22,2.87
1961-09-29,2.87
1961-10-06,2.83
1961-10-13,2.85
1961-10-20,2.97
1961-10-27,2.94
1961-11-03,2.88
1961-11-10,2.87
1961-11-17,2.93
1961-11-24,2.91
1961-12-01,2.91
1961-12-08,2.97
1961-12-15,2.97
1961-12-22,2.95
1961-12-29,3.02
1962-01-05,3.07
1962-01-12,3.12
1962-01-19,3.27
1962-01-26,3.25
1962-02-02,3.26
1962-02-09,3.24
1962-02-16,3.26
1962-02-23,3.19
1962-03-02,3.1
1962-03-09,3.05
1962-03-16,3.02
1962-03-23,2.93
1962-03-30,2.9
1962-04-06,2.86
1962-04-13,2.86
1962-04-20,2.95
1962-04-27,2.95
1962-05-04,2.94
1962-05-11,2.9
1962-05-18,2.91
1962-05-25,2.92
1962-06-01,2.89
1962-06-08,2.86
1962-06-15,2.86
1962-06-22,2.88
1962-06-29,2.97
1962-07-06,3.06
1962-07-13,3.12
1962-07-20,3.26
1962-07-27,3.22
1962-08-03,3.19
1962-08-10,3.19
1962-08-17,3.11
1962-08-24,3.04
1962-08-31,3.02
1962-09-07,3.05
1962-09-14,3
1962-09-21,2.98
1962-09-28,2.93
1962-10-05,2.9
1962-10-12,2.87
1962-10-19,2.92
1962-10-26,2.91
1962-11-02,2.9
1962-11-09,2.92
1962-11-16,2.94
1962-11-23,2.95
1962-11-30,2.97
1962-12-07,2.94
1962-12-14,2.93
1962-12-21,2.94
1962-12-28,2.95
1963-01-04,2.95
1963-01-11,2.96
1963-01-18,3
1963-01-25,3.03
1963-02-01,3.02
1963-02-08,3.02
1963-02-15,3.01
1963-02-22,2.99
1963-03-01,2.98
1963-03-08,2.97
1963-03-15,2.95
1963-03-22,2.97
1963-03-29,2.99
1963-04-05,2.99
1963-04-12,3
1963-04-19,3.07
1963-04-26,3.05
1963-05-03,3.05
1963-05-10,3.04
1963-05-17,3.04
1963-05-24,3.06
1963-05-31,3.09
1963-06-07,3.12
1963-06-14,3.11
1963-06-21,3.11
1963-06-28,3.11
1963-07-05,3.17
1963-07-12,3.39
1963-07-19,3.48
1963-07-26,3.47
1963-08-02,3.46
1963-08-09,3.48
1963-08-16,3.5
1963-08-23,3.52
1963-08-30,3.54
1963-09-06,3.57
1963-09-13,3.57
1963-09-20,3.58
1963-09-27,3.56
1963-10-04,3.59
1963-10-11,3.6
1963-10-18,3.61
1963-10-25,3.62
1963-11-01,3.6
1963-11-08,3.68
1963-11-15,3.69
1963-11-22,3.67
1963-11-29,3.66
1963-12-06,3.69
1963-12-13,3.68
1963-12-20,3.69
1963-12-27,3.69
1964-01-03,3.7
1964-01-10,3.72
1964-01-17,3.69
1964-01-24,3.66
1964-01-31,3.65
1964-02-07,3.65
1964-02-14,3.7
1964-02-21,3.71
1964-02-28,3.76
1964-03-06,3.78
1964-03-13,3.78
1964-03-20,3.77
1964-03-27,3.8
1964-04-03,3.77
1964-04-10,3.77
1964-04-17,3.78
1964-04-24,3.74
1964-05-01,3.69
1964-05-08,3.72
