DATE,WTB3MA
1960-01-08,4.60
1960-01-15,4.59
1960-01-22,4.44
1960-01-29,4.12
1960-02-05,4.04
1960-02-12,3.56
1960-02-19,4.05
1960-02-26,4.17
1960-03-04,4.28
1960-03-11,3.64
1960-03-18,3.45
1960-03-25,3.03
1960-04-01,2.79
1960-04-08,2.73
1960-04-15,3.62
1960-04-22,3.31
1960-04-29,3.32
1960-05-06,3.00
1960-05-13,3.27
1960-05-20,3.79
1960-05-27,3.50
1960-06-03,3.18
1960-06-10,2.72
1960-06-17,2.29
1960-06-24,2.61
1960-07-01,2.40
1960-07-08,2.31
1960-07-15,2.57
1960-07-22,2.31
1960-07-29,2.40
1960-08-05,2.13
1960-08-12,2.22
1960-08-19,2.28
1960-08-26,2.52
1960-09-02,2.55
1960-09-09,2.52
1960-09-16,2.65
1960-09-23,2.43
1960-09-30,2.29
1960-10-07,2.47
1960-10-14,2.70
1960-10-21,2.41
1960-10-28,2.13
1960-11-04,2.13
1960-11-11,2.39
1960-11-18,2.62
1960-11-25,2.40
1960-12-02,2.33
1960-12-09,2.33
1960-12-16,2.33
1960-12-23,2.22
1960-12-30,2.15
1961-01-06,2.23
1961-01-13,2.39
1961-01-20,2.36
1961-01-27,2.23
1961-02-03,2.30
1961-02-10,2.37
1961-02-17,2.46
1961-02-24,2.50
1961-03-03,2.59
1961-03-10,2.49
1961-03-17,2.35
1961-03-24,2.28
1961-03-31,2.39
1961-04-07,2.47
1961-04-14,2.36
1961-04-21,2.29
1961-04-28,2.19
1961-05-05,2.30
1961-05-12,2.23
1961-05-19,2.26
1961-05-26,2.35
1961-06-02,2.44
1961-06-09,2.52
1961-06-16,2.30
1961-06-23,2.33
1961-06-30,2.22
1961-07-07,2.31
1961-07-14,2.32
1961-07-21,2.20
1961-07-28,2.24
1961-08-04,2.30
1961-08-11,2.37
1961-08-18,2.52
1961-08-25,2.50
1961-09-01,2.32
1961-09-08,2.39
1961-09-15,2.33
1961-09-22,2.26
1961-09-29,2.23
1961-10-06,2.30
1961-10-13,2.39
1961-10-20,2.38
1961-10-27,2.33
1961-11-03,2.28
1961-11-10,2.35
1961-11-17,2.52
1961-11-24,2.54
1961-12-01,2.61
1961-12-08,2.63
1961-12-15,2.58
1961-12-22,2.67
1961-12-29,2.59
1962-01-05,2.70
1962-01-12,2.82
1962-01-19,2.77
1962-01-26,2.69
1962-02-02,2.71
1962-02-09,2.70
1962-02-16,2.76
1962-02-23,2.85
1962-03-02,2.66
1962-03-09,2.72
1962-03-16,2.80
1962-03-23,2.69
1962-03-30,2.72
1962-04-06,2.76
1962-04-13,2.72
1962-04-20,2.72
1962-04-27,2.74
1962-05-04,2.75
1962-05-11,2.72
1962-05-18,2.65
1962-05-25,2.70
1962-06-01,2.66
1962-06-08,2.69
1962-06-15,2.67
1962-06-22,2.72
1962-06-29,2.79
1962-07-06,2.93
1962-07-13,2.97
1962-07-20,2.98
1962-07-27,2.89
1962-08-03,2.87
1962-08-10,2.80
1962-08-17,2.87
1962-08-24,2.84
1962-08-31,2.81
1962-09-07,2.83
1962-09-14,2.79
1962-09-21,2.80
1962-09-28,2.75
1962-10-05,2.75
1962-10-12,2.76
1962-10-19,2.75
1962-10-26,2.74
1962-11-02,2.69
1962-11-09,2.84
1962-11-16,2.80
1962-11-23,2.83
1962-11-30,2.85
1962-12-07,2.86
1962-12-14,2.81
1962-12-21,2.86
1962-12-28,2.89
1963-01-04,2.93
1963-01-11,2.92
1963-01-18,2.88
1963-01-25,2.92
1963-02-01,2.92
1963-02-08,2.95
1963-02-15,2.94
1963-02-22,2.91
1963-03-01,2.87
1963-03-08,2.90
1963-03-15,2.87
1963-03-22,2.90
1963-03-29,2.92
1963-04-05,2.92
1963-04-12,2.91
1963-04-19,2.92
1963-04-26,2.88
